	Ctgf_tdTpositive_cell_7	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110038F14Rik	0.0	0.0	0.2	26.61	27.49	24.69
1110050K14Rik	0.0	0.0	0.09	1.12	1.49	1.46
3110082J24Rik	0.0	0.0	0.3	1.44	3.15	2.05
3930402G23Rik	0.0	0.0	0.08	0.14	0.13	0.21
4930529M08Rik	0.0	0.0	0.0	1.41	0.92	1.57
4930555I21Rik	0.0	0.0	0.09	1.58	2.35	2.06
5430416O09Rik	0.0	0.05	0.11	0.7	0.63	0.99
5430435G22Rik	0.0	0.0	0.09	2.82	2.77	1.95
A330023F24Rik	0.0	0.0	11.94	46.6	40.72	42.01
A330070K13Rik	0.0	0.0	0.0	1.63	0.77	1.57
AI607873	0.0	0.0	0.06	0.31	0.51	0.21
AI662270	0.0	0.0	0.16	0.5	0.47	0.29
Adam12	0.0	0.0	0.08	2.32	2.26	2.33
Adamts7	0.0	0.0	0.04	0.22	0.31	0.26
Adamtsl3	0.0	0.0	0.03	0.75	0.87	0.65
Agbl2	0.0	0.0	0.06	1.34	0.88	1.14
Ankrd9	0.0	0.0	0.08	8.46	10.62	8.41
Anpep	0.0	0.0	0.12	2.41	2.92	2.91
Arhgef37	0.0	0.0	0.07	1.59	1.84	1.79
Asb7	0.0	0.0	0.04	10.77	10.71	8.44
Ascl4	0.0	0.0	0.19	0.26	0.58	0.09
Bmpr1a	0.0	0.0	0.12	26.12	23.76	26.09
Btbd17	0.0	0.0	1.05	17.69	19.15	17.54
C230052I12Rik	0.0	0.0	0.24	6.38	6.06	6.03
C3	0.0	0.0	0.04	0.1	0.23	0.28
C430002E04Rik	0.0	0.07	0.1	1.42	0.89	1.07
Cacna1f	0.0	0.0	0.04	0.31	0.15	0.3
Calcr	0.0	0.0	0.06	0.54	0.37	0.26
Capn1	0.0	0.0	0.07	20.82	21.05	20.65
Ccdc15	0.0	0.0	0.06	1.59	2.05	1.79
Ccl27b	0.0	0.0	20.98	30.63	28.29	22.96
Ccnb1	0.0	0.0	0.09	0.98	0.81	1.23
Ccnjl	0.0	0.0	0.08	3.36	3.34	3.62
Cd163l1	0.0	0.0	0.06	0.09	0.13	0.21
Cdc42bpb	0.0	0.07	2.75	81.28	84.68	83.31
Cdca2	0.0	0.0	0.06	0.23	0.24	0.4
Cdca3	0.0	0.0	0.15	1.27	1.01	0.9
Cdr2	0.0	0.0	0.09	10.68	13.01	12.52
Chrm5	0.0	0.0	0.12	1.14	1.23	1.11
Ckap2	0.0	0.0	0.08	0.46	0.86	0.71
Col6a4	0.0	0.0	0.03	1.29	1.14	1.38
Col6a5	0.0	0.0	0.02	0.43	0.39	0.49
Cyp1b1	0.0	0.0	0.04	1.38	1.6	1.42
D930028M14Rik	0.0	0.0	0.25	0.56	0.21	0.73
Dmpk	0.0	0.0	0.16	13.4	14.25	12.51
Dnahc7a	0.0	0.0	0.02	0.69	0.51	0.54
E130203B14Rik	0.0	0.0	0.08	2.41	3.08	3.23
Edar	0.0	0.0	0.06	0.53	0.3	0.36
Emilin3	0.0	0.0	0.06	0.14	0.13	0.2
En2	0.0	0.0	0.18	0.36	0.68	0.75
Epx	0.0	0.0	0.08	0.26	0.28	0.15
Erbb2	0.0	0.0	0.04	1.92	1.57	1.46
Espl1	0.0	0.0	0.03	0.55	0.65	0.49
Fam151b	0.0	0.0	0.48	7.19	8.52	8.88
Fam83f	0.0	0.0	0.07	0.23	0.38	0.56
Fate1	0.0	0.0	0.24	0.32	0.2	0.22
Fbln7	0.0	0.0	0.07	1.73	1.82	1.71
Fgfr1	0.0	0.0	1.35	29.47	32.27	32.22
Foxc2	0.0	0.0	0.08	1.01	1.47	0.71
Foxo3	0.0	0.0	0.07	31.5	30.55	34.03
Frem2	0.0	0.0	0.03	1.2	1.04	1.38
Fst	0.0	0.0	0.18	3.17	3.51	3.1
Fzd10	0.0	0.0	0.07	1.85	1.52	1.87
G630025P09Rik	0.0	0.0	0.18	0.79	0.84	0.67
Gbp9	0.0	0.0	0.06	3.7	2.9	4.05
Gen1	0.0	0.0	0.07	0.96	0.85	1.18
Gm106	0.0	0.0	0.15	1.4	1.25	1.41
Gm13306	0.0	0.0	20.98	30.63	28.29	22.96
Gm14379	0.0	0.0	0.12	0.48	0.25	0.55
Gm14430	0.0	0.0	7.21	7.67	5.07	7.49
Gm14434	0.0	0.0	7.21	7.67	5.07	7.49
Gm20605	0.0	0.0	0.12	10.74	13.39	12.28
Gm2506	0.0	0.0	20.98	30.63	28.29	22.96
Gm4724	0.0	0.0	7.21	7.67	5.07	7.49
Gm5801	0.0	0.0	0.0	51.32	52.9	48.8
Gm9899	0.0	0.0	0.57	11.38	10.75	9.92
Gpat2	0.0	0.0	0.16	0.3	0.25	0.27
Gpr63	0.0	0.0	0.09	6.76	5.31	5.13
Grin2c	0.0	0.0	0.09	28.87	31.07	35.66
Gsg2	0.0	0.0	0.08	0.18	0.2	0.25
Gsto2	0.0	0.0	0.18	1.54	1.3	1.19
H2-Q8	0.0	0.0	0.19	1.44	1.32	1.79
Htr1d	0.0	0.0	0.07	2.58	2.4	3.01
Ifi204	0.0	0.0	0.19	0.33	0.12	0.26
Insrr	0.0	0.0	0.04	0.27	0.27	0.3
Itih3	0.0	0.0	5.48	15.68	14.37	13.26
Kbtbd13	0.0	0.0	0.07	0.2	0.19	0.34
Kcng2	0.0	0.0	0.08	6.48	7.22	6.47
Kcnj14	0.0	0.0	0.16	1.8	1.97	2.05
Kcnk5	0.0	0.0	0.06	0.44	0.69	0.33
Kcnq4	0.0	0.0	0.09	4.44	5.26	6.58
Kif18b	0.0	0.0	0.06	0.21	0.42	0.4
Klc3	0.0	0.0	0.12	1.79	3.12	1.76
Klf15	0.0	0.0	0.09	18.98	23.44	19.68
Krt1	0.0	0.0	0.09	3.32	3.2	2.92
Krt26	0.0	0.0	0.08	0.27	0.21	0.27
Krt80	0.0	0.0	0.12	5.1	3.98	4.4
Ldlr	0.0	0.0	0.24	14.78	14.81	11.86
Loxl4	0.0	0.0	0.04	0.13	0.12	0.17
Lrp2	0.0	0.0	0.01	0.09	0.11	0.11
Maff	0.0	0.0	0.12	0.77	1.41	0.97
Magix	0.0	0.0	0.08	0.39	0.5	0.52
Mdfic	0.0	0.0	0.06	2.64	2.43	2.22
Meig1	0.0	0.0	0.32	2.76	1.78	2.1
Mir3091	0.0	0.0	0.0	2.5	9.4	7.73
Mmp2	0.0	0.0	0.07	2.01	2.23	2.68
Mrpl37	0.0	0.0	0.0	52.44	55.74	54.41
Murc	0.0	0.0	0.32	1.02	0.96	1.0
Musk	0.0	0.0	0.06	1.04	1.4	1.04
Myh15	0.0	0.0	0.03	0.57	0.47	0.51
Myh6	0.0	0.0	0.07	7.71	1.24	1.5
Myh8	0.0	0.0	0.03	0.22	0.33	0.19
Myo7a	0.0	0.0	0.14	4.69	8.64	8.5
Myom2	0.0	0.0	0.04	0.08	0.07	0.08
Ncapg	0.0	0.0	0.06	0.4	0.41	0.23
Npb	0.0	0.0	0.43	0.57	0.54	0.39
Nphp1	0.0	0.0	0.48	13.62	14.5	13.88
Npsr1	0.0	0.0	0.06	2.23	2.3	2.25
Nr5a2	0.0	0.0	0.06	0.11	0.03	0.08
Oprk1	0.0	0.0	0.14	7.22	5.47	7.93
Otud7a	0.0	0.0	0.25	34.24	37.91	37.57
Pax2	0.0	0.0	0.07	0.2	0.18	0.03
Pde6c	0.0	0.0	0.15	0.8	0.94	0.11
Pgr15l	0.0	0.0	0.04	0.15	0.12	0.17
Phf19	0.0	0.0	0.06	0.47	0.87	0.52
Pou4f1	0.0	0.0	0.06	0.08	0.05	0.05
Ptch1	0.0	0.0	4.36	22.74	21.68	22.39
Ptprq	0.0	0.0	0.03	0.11	0.08	0.1
Rarres1	0.0	0.0	0.16	1.39	1.67	1.46
Rfx4	0.0	0.0	0.6	9.48	9.6	10.66
Rho	0.0	0.0	0.03	0.21	0.34	0.16
Rrp9	0.0	0.0	0.0	24.46	31.75	25.79
Rtp2	0.0	0.0	0.09	0.2	0.31	0.21
