	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_42	Htr3a_tdTpositive_cell_109	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_106	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
1110004F10Rik	400.33	735.51	58.14	793.12	427.22	442.85	531.57	361.96	581.14	761.17	907.73	594.72	852.36	0.55	139.34	536.13	17.92	367.31	633.29	633.46	613.58	638.76	373.69
1600002H07Rik	58.2	4.43	144.8	56.69	3.89	3.17	2.12	0.73	4.14	2.95	2.45	86.79	5.89	1.03	1.27	3.71	0.53	46.33	9.06	10.85	7.99	13.75	5.63
2210403K04Rik	101.08	223.29	25.16	315.8	0.0	138.39	175.48	77.84	80.2	20.69	81.41	94.73	0.29	0.0	33.72	83.49	0.0	99.73	157.12	183.83	109.84	116.8	218.57
3110002H16Rik	0.95	0.0	0.0	259.38	0.55	0.0	0.0	0.0	0.0	0.0	247.65	0.0	0.0	0.0	0.0	208.99	0.0	0.24	57.52	57.71	64.04	51.19	35.63
A630007B06Rik	0.0	45.18	26.94	85.32	38.6	1.78	148.67	0.0	38.89	52.8	0.0	0.0	0.18	0.0	0.0	27.23	0.15	0.0	11.62	9.65	9.75	8.57	43.53
Abcg2	0.0	17.01	0.0	83.12	0.0	0.13	0.13	65.28	0.14	94.82	193.91	0.0	2.04	0.0	128.47	0.0	0.0	0.2	65.51	50.17	47.49	47.48	80.01
Adam10	74.4	43.11	21.18	81.12	101.08	21.95	2.94	0.87	8.43	13.4	86.35	52.24	26.48	0.0	27.1	61.52	0.09	36.1	32.61	111.87	69.59	66.99	0.0
Aldoa	11485.19	13597.95	12694.2	9491.64	12406.05	12801.23	13515.12	14715.13	13848.9	11472.28	11924.07	12605.63	11555.54	8202.56	9815.57	11548.81	7320.36	11283.91	9670.1	8338.87	10997.44	10660.26	12521.72
Ap4s1	29.19	0.0	0.0	65.25	8.58	3.64	0.0	28.72	2.86	0.0	19.01	11.08	0.0	0.0	13.65	113.32	0.0	0.0	3.3	14.68	8.94	11.92	71.87
Armc10	3.66	0.22	0.0	88.3	0.0	85.8	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	11.78	0.0	1.69	2.37	7.47	5.67	6.78	100.81
