	Htr3a_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_97	Rorb_tdTpositive_cell_40	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
0610009B14Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0
1110015O18Rik	0.0	0.0	0.0	0.0	0.0	0.78	0.43
1110028F11Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.03
1110050K14Rik	0.0	0.0	0.0	0.0	0.0	1.12	1.49
1110059M19Rik	0.0	0.0	0.0	0.0	0.0	0.09	0.09
1190003K10Rik	0.0	0.0	0.0	0.0	0.0	0.18	0.0
1190005I06Rik	0.0	0.0	0.0	0.0	0.0	12.01	12.1
1500015L24Rik	0.0	0.0	0.0	0.0	0.0	0.79	1.48
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.0
1600016N20Rik	0.0	0.0	0.0	0.0	0.0	0.05	0.14
1600029I14Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.36
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.58	0.68
1700001G17Rik	0.0	0.0	0.0	0.0	0.0	1.37	0.65
1700001J03Rik	0.0	0.0	0.0	0.0	0.0	0.53	0.37
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2
1700003D09Rik	0.0	0.0	0.0	0.0	0.0	9.32	9.49
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	6.01	4.35
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.0
1700007B14Rik	0.0	0.0	0.0	0.0	0.0	0.19	0.09
1700007G11Rik	0.0	0.0	0.0	0.0	0.0	0.83	0.78
1700007I08Rik	0.0	0.0	0.0	0.0	0.0	4.39	4.89
1700007L15Rik	0.0	0.0	0.0	0.0	0.0	0.41	0.9
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0
1700010D01Rik	0.0	0.0	0.0	0.0	0.0	0.21	0.2
1700010I14Rik	0.0	0.0	0.0	0.0	0.0	1.22	1.1
1700011A15Rik	0.0	0.0	0.0	0.0	0.0	0.13	0.11
1700012B09Rik	0.0	0.0	0.0	0.0	0.0	0.6	0.57
1700013G23Rik	0.0	0.0	0.0	0.0	0.0	2.37	1.3
1700016H13Rik	0.0	0.0	0.0	0.0	0.0	0.13	0.0
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.14
1700018B24Rik	0.0	0.0	0.0	0.0	0.0	0.03	0.0
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	1.08	1.01
1700019N19Rik	0.0	0.0	0.0	0.0	0.0	0.44	0.21
1700020L24Rik	0.0	0.0	0.0	0.0	0.0	1.96	3.69
1700022P22Rik	0.0	0.0	0.0	0.0	0.0	0.75	0.94
1700023A16Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.07
1700023F02Rik	0.0	0.0	0.0	0.0	0.0	0.32	0.3
1700023L04Rik	0.0	0.0	0.0	0.0	0.0	0.31	0.44
1700024G13Rik	0.0	0.0	0.0	0.0	0.0	0.27	0.25
1700025E21Rik	0.0	0.0	0.0	0.0	0.0	0.35	0.33
1700025F24Rik	0.0	0.0	0.0	0.0	0.0	0.8	0.53
1700026D08Rik	0.0	0.0	0.0	0.0	0.0	0.62	0.88
1700029G01Rik	0.0	0.0	0.0	0.0	0.0	1.31	1.03
1700039E15Rik	0.0	0.0	0.0	0.0	0.0	0.17	0.05
1700040N02Rik	0.0	0.0	0.0	0.0	0.0	1.71	0.73
1700047M11Rik	0.0	0.0	0.0	0.0	0.0	11.7	12.86
1700048M11Rik	0.0	0.0	0.0	0.0	0.0	1.53	0.62
1700054A03Rik	0.0	0.0	0.0	0.0	0.0	0.13	0.12
1700056E22Rik	0.0	0.0	0.0	0.0	0.0	0.21	0.59
