	Cux2_tdTpositive_cell_68	Rbp4_tdTpositive_cell_62	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
0610040F04Rik	1.77	0.84	2.02	3.04
1700001K23Rik	0.0	0.0	0.22	0.22
1700034P13Rik	0.72	0.28	1.03	1.2
2210411K11Rik	0.0	0.0	3.26	4.05
4921511C10Rik	0.0	0.0	0.0	0.14
4921517L17Rik	0.0	0.0	3.65	2.99
4930403N07Rik	0.0	0.0	0.04	0.04
4930579G24Rik	1.47	0.67	3.01	2.06
4931408D14Rik	0.0	0.19	0.76	0.59
4931423N10Rik	0.0	0.0	0.22	0.22
9230110C19Rik	0.7	0.2	12.09	11.31
9530052E02Rik	0.0	0.0	2.89	1.78
AF067061	0.0	0.0	0.0	0.0
AI662270	0.0	0.0	0.5	0.29
Adamts17	0.45	0.0	3.0	2.35
Apool	0.0	0.0	6.01	5.55
Blk	0.0	0.0	0.04	0.04
Ccnb1	0.0	0.0	0.98	1.23
Cd200r1	0.0	0.0	1.0	1.35
Ces1a	0.0	0.0	0.05	0.05
Cldn15	0.0	0.0	0.32	0.22
Clgn	0.0	0.0	9.95	9.73
Cradd	0.0	0.0	5.03	5.31
Csf1r	0.0	0.0	56.85	59.95
D730040F13Rik	0.69	0.17	22.62	21.26
Dspp	0.0	0.0	0.11	0.11
E130201H02Rik	0.0	0.0	0.6	0.87
Eif2c1	0.0	4.23	38.59	36.5
Endog	0.0	0.71	20.22	20.01
Fam124a	0.0	0.17	16.6	18.55
Fam57a	0.0	0.0	15.81	16.2
Fate1	0.0	0.0	0.32	0.22
Fhl1	0.0	0.0	89.26	89.95
Fndc8	0.0	0.0	3.38	3.29
Gm15441	1.23	0.0	5.49	4.63
Gm2022	0.0	0.0	0.0	0.0
Gm5086	0.0	0.44	1.83	2.04
Gm8787	0.32	0.0	0.48	0.91
Gpld1	3.62	0.13	39.21	39.52
Grb10	0.0	0.0	28.2	23.92
H1f0	0.0	67.42	107.13	108.08
Hist1h3f	0.0	0.0	0.14	0.14
Hist2h4	0.0	0.0	2.19	2.91
Hoxd8	0.0	0.0	0.07	0.07
Ick	2.33	1.41	13.59	12.46
Igfbp1	0.0	0.0	0.07	0.07
Igfbpl1	0.0	0.0	1.38	2.24
Incenp	0.0	0.0	12.77	12.24
Irf1	0.0	0.0	6.84	7.35
Itgb1	0.0	6.16	45.23	40.82
Kera	0.0	0.0	0.05	0.05
Klf2	0.0	0.0	12.86	9.83
LOC434825	0.0	0.0	0.0	0.0
Lama1	0.0	0.0	1.4	1.12
Lao1	0.0	0.0	0.05	0.05
Ldb1	0.0	0.0	80.31	80.98
Lgals9	0.0	0.0	10.86	9.94
Lipm	0.0	0.0	0.11	0.11
Lmtk3	0.0	0.13	112.57	129.11
Lnpep	8.01	16.62	32.87	33.21
Mab21l1	0.0	0.0	1.17	1.69
Mbnl3	0.05	0.0	0.18	0.12
Meis1	0.13	0.0	3.04	3.22
Mex3c	0.0	0.0	30.19	26.64
Mir1188	0.0	0.0	19.94	16.95
Mmp21	0.0	0.0	0.32	0.22
Mrps27	0.0	0.0	34.12	30.78
Nnat	0.0	0.0	263.05	281.49
Nr1h2	2.41	0.0	47.16	52.8
Nrxn2	0.64	0.0	132.61	147.18
Nt5c2	3.85	2.66	43.72	41.79
