	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12
1810058I24Rik	0.0	0.0	0.0	4.72	70.32	0.0	50.36	19.42	48.49	54.91	0.0	100.14	72.05	31.59	0.0	62.01	0.0	48.91	0.0	100.95	45.12	12.59	0.0	0.0
1810074P20Rik	0.0	0.11	0.0	15.72	49.67	4.38	18.25	23.18	0.18	59.07	34.33	17.7	8.84	0.13	0.0	0.0	0.0	0.0	0.12	2.69	14.53	5.33	0.1	0.0
Acp6	0.0	0.0	0.0	48.5	0.0	68.32	58.18	1.87	0.0	135.19	93.24	25.12	7.01	3.36	2.59	1.3	0.0	2.24	0.31	0.0	23.05	5.79	0.0	0.0
Adam22	0.0	0.0	0.14	29.32	59.59	56.04	83.15	65.66	18.35	90.25	100.79	111.21	76.49	40.78	28.18	63.76	47.91	35.06	17.99	15.02	31.56	58.32	0.64	0.0
Arhgef6	0.0	0.0	0.0	0.0	22.3	57.87	20.72	47.9	10.71	72.26	113.65	19.98	0.99	52.38	53.19	0.41	10.63	17.39	0.93	0.0	0.0	6.01	0.0	0.0
Drg1	35.71	0.0	0.0	109.19	270.84	446.88	290.21	291.22	1.03	537.58	107.74	273.6	402.43	259.29	342.44	275.77	308.43	74.7	461.46	329.36	362.43	502.11	0.74	0.45
Dync1i1	0.18	0.0	0.0	228.07	66.02	122.03	58.08	192.33	7.26	53.0	81.47	263.81	65.18	118.93	78.56	89.26	165.0	134.45	184.52	185.32	226.67	261.02	1.74	0.0
Elavl2	0.0	0.0	0.0	117.01	78.41	122.41	96.69	72.6	66.15	152.51	72.29	126.85	227.52	139.49	136.31	160.18	51.63	97.06	55.08	124.76	68.8	148.59	0.3	0.0
Elk4	0.0	0.0	0.0	3.44	0.0	19.26	20.72	23.92	61.65	66.7	0.0	28.77	18.4	0.08	13.39	37.85	2.44	4.37	0.0	46.99	24.92	0.0	0.0	0.0
Fam49b	0.0	0.0	0.0	40.05	12.25	88.24	88.97	2.04	0.0	82.87	0.78	60.29	32.94	71.0	59.63	32.82	40.42	6.04	18.48	22.1	45.92	44.35	0.0	0.0
Glo1	0.0	0.0	159.33	312.18	341.9	363.46	278.8	158.43	115.82	405.97	184.07	270.38	227.89	104.37	351.29	186.91	161.83	184.88	239.91	310.66	167.52	86.08	0.96	0.0
Glrb	0.0	0.0	0.0	106.94	192.42	452.11	352.29	480.21	10.05	365.6	221.29	296.39	234.08	226.46	171.25	218.21	110.75	185.75	113.13	175.79	183.43	259.04	0.49	0.0
Gm14430	0.0	0.0	0.0	0.0	14.72	6.05	13.5	13.46	3.22	42.59	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	0.54	8.34	13.81	2.38	0.0	0.0
Gm14434	0.0	0.0	0.0	0.0	14.72	6.05	13.5	13.46	3.22	42.59	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	0.54	8.34	13.81	2.38	0.0	0.0
Gm4724	0.0	0.0	0.0	0.0	14.72	6.05	13.5	13.46	3.22	42.59	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	0.54	8.34	13.81	2.38	0.0	0.0
Gpatch8	0.0	0.0	0.18	20.26	0.41	15.88	20.23	9.58	1.23	20.53	17.25	29.06	29.67	28.54	3.6	13.32	31.08	0.63	31.12	24.56	32.82	10.21	0.27	0.0
Iqcc	0.0	0.0	0.59	121.6	5.39	0.0	11.47	0.3	0.0	112.44	164.03	4.62	33.25	2.61	3.31	27.08	0.0	9.61	3.29	47.1	14.97	18.72	0.17	0.0
Jakmip2	0.0	0.0	0.71	32.6	61.1	12.54	90.73	70.12	3.28	128.53	3.59	40.63	8.31	94.18	34.97	53.3	17.29	71.6	127.21	43.54	16.51	32.92	0.31	0.0
Klhdc3	0.0	84.68	1.29	12.99	34.62	32.18	45.23	82.0	0.0	213.23	144.2	88.8	33.27	7.95	0.0	91.16	36.31	2.0	3.58	0.0	112.82	30.12	0.75	0.0
Lass4	0.0	0.0	0.95	30.58	67.25	41.77	33.39	0.35	0.0	23.61	71.97	22.05	7.95	55.81	5.1	18.49	0.86	24.56	11.02	0.0	4.68	21.45	0.4	0.28
Ldhb	7486.96	5274.92	4622.23	10118.08	10894.4	9220.91	9343.6	10165.1	9166.61	5915.04	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	11010.48	10182.84	9082.37	11746.38	5873.38	5577.5
Mrps28	0.0	0.0	0.0	183.34	135.87	150.35	60.83	193.13	0.0	440.51	69.72	164.0	176.01	47.08	42.91	57.21	87.67	49.39	53.99	130.49	170.47	136.91	0.0	0.0
Mtap1a	0.12	0.24	0.54	27.87	80.19	47.91	51.61	39.82	3.77	69.28	48.68	62.03	62.74	58.63	26.33	29.3	25.66	41.34	42.28	53.55	34.51	59.79	1.73	0.0
Myo5a	0.0	0.0	0.81	11.11	69.14	46.76	73.9	65.61	24.09	101.35	41.79	55.97	69.17	55.96	9.71	57.57	42.95	28.13	36.2	73.22	48.43	42.52	0.5	0.0
Nit2	0.0	0.0	0.0	0.0	83.02	110.87	53.64	37.76	25.21	140.09	0.0	37.18	0.57	94.32	58.9	1.49	0.0	0.0	61.87	92.53	1.39	50.17	0.29	0.0
Ppa2	0.0	0.0	1.07	49.8	66.51	65.08	220.22	50.68	0.0	136.24	0.0	63.57	72.84	49.52	59.96	124.6	18.25	180.32	5.49	32.98	74.59	134.21	0.0	0.0
Prrc2b	0.0	0.05	0.0	10.57	24.2	13.12	3.75	39.76	4.54	29.09	32.76	0.0	10.22	6.31	1.41	42.41	10.15	12.0	15.3	7.34	16.96	4.45	0.26	0.0
Rab1b	0.0	0.0	0.0	10.01	14.74	91.4	16.74	1.07	0.85	89.82	0.0	50.21	38.6	0.0	22.94	0.0	94.74	42.93	0.0	54.25	27.12	24.46	0.0	0.0
Rab2a	0.0	0.0	1.23	109.46	157.68	224.45	203.77	164.06	10.95	449.29	65.51	24.19	165.27	176.6	162.18	217.29	99.64	79.31	23.24	76.94	194.11	183.45	0.54	0.0
Samd12	0.0	0.0	0.0	91.75	0.0	46.81	0.61	0.0	0.0	124.6	0.0	2.06	92.67	0.31	0.0	0.0	10.05	43.77	0.0	54.0	0.0	53.13	0.0	0.0
Sarnp	0.0	0.0	18.42	324.36	233.72	339.04	296.55	275.25	407.54	593.08	256.83	187.1	272.54	89.91	195.81	161.32	237.4	104.81	330.99	450.06	348.34	267.2	1.44	0.66
Slc32a1	0.0	0.0	0.0	9.4	13.95	10.7	19.14	9.48	5.22	15.4	1.86	6.02	9.53	9.9	10.62	17.08	3.39	14.43	5.02	20.12	15.23	18.78	0.13	0.0
Stxbp5l	0.0	0.34	0.74	14.34	2.2	13.15	24.18	20.34	4.46	11.38	13.09	8.33	3.33	8.73	14.63	28.1	2.47	3.55	5.35	12.41	26.33	2.55	0.22	0.37
Tmem179	0.0	0.0	0.0	0.0	23.03	59.46	38.08	6.59	2.61	236.06	48.86	53.59	7.26	36.65	72.88	172.29	72.09	33.88	5.02	39.16	4.23	156.62	0.31	0.0
Tom1l2	0.0	0.0	0.0	8.74	14.37	42.43	32.24	57.71	11.48	95.25	35.49	74.31	37.13	16.91	28.83	83.01	7.62	35.71	7.25	49.11	48.14	40.38	0.3	0.0
Ube2k	0.0	0.0	0.26	27.12	89.61	69.8	93.87	50.5	9.11	120.9	139.75	81.53	53.13	58.31	22.88	47.2	39.29	63.92	48.05	126.84	53.01	55.61	0.98	0.42
