	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190003K10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.16	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
1700011J10Rik	0.0	243.12	0.0	0.0	0.0	0.0	0.0	0.73	27.9	92.55	0.0	6.51	0.0	0.0	0.0	14.99	13.73	14.71
1700012B15Rik	16.35	0.0	0.0	0.0	0.0	9.73	0.36	29.92	9.98	168.05	12.78	3.86	14.69	14.9	27.86	17.38	18.29	19.98
1700081L11Rik	0.69	0.0	6.83	5.79	3.3	13.29	0.0	0.66	19.59	61.48	3.05	2.51	38.67	6.64	12.54	43.75	43.99	46.24
1700110C19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.22	0.0	0.0	0.0	0.0	0.0	2.27	0.67	2.2
1810014B01Rik	0.0	563.55	0.0	0.0	0.0	0.35	0.48	0.0	2.73	96.91	0.18	0.0	0.24	0.0	0.0	7.0	5.28	5.79
1810049H13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	73.88	0.0	0.0	0.0	5.82	0.0	9.44	11.86	10.66
2210409E12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.88	0.0	0.0	0.0	0.0	0.0	0.35	0.54	0.79
2310002J15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.37	0.14
2610203C22Rik	0.0	0.0	0.0	10.4	0.0	0.0	0.0	0.0	0.0	18.14	0.0	0.0	0.0	0.0	0.0	1.69	1.52	1.09
2810029C07Rik	1.02	0.0	0.0	0.0	0.0	0.0	86.78	0.21	0.62	102.24	0.55	0.13	0.0	0.0	0.0	11.32	11.24	12.58
4930417G10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.83	0.0	0.0	0.0	0.0	2.4	3.52	2.49	3.51
4930564K09Rik	0.0	0.23	0.0	0.0	0.0	0.11	0.0	0.0	0.46	1.43	0.29	0.26	0.0	0.11	0.18	0.38	0.47	0.27
4932412H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	8.64	0.0	0.0	0.0	0.0	0.0	0.17	0.16	0.21
4933408B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2	0.0	0.0	0.0	0.0	0.0	1.0	0.64	0.95
4933430H15Rik	0.0	0.0	1.6	0.04	0.0	0.0	0.0	0.0	0.0	33.96	4.94	0.0	0.0	0.0	0.0	0.38	0.27	0.36
5330437I02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.05	0.0	0.11	0.0	1.52	1.57	1.44
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.99	0.0	0.0	0.0	20.05	0.0	0.28	0.45	0.28
A330048O09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	3.86	3.35	2.87
A830080D01Rik	0.16	0.0	56.77	2.07	0.0	22.53	0.11	0.48	20.5	155.23	31.69	6.66	0.0	0.0	0.0	6.64	5.62	7.18
