	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_61	Rbp4_tdTnegative_cell_23
1700037H04Rik	0.0	0.0	0.76	135.29	7.28	1.74	313.79	158.31	0.0
2810047C21Rik1	0.31	0.0	0.0	6.4	2.78	0.0	8.47	0.17	0.0
5033414D02Rik	0.0	0.0	0.0	0.0	88.22	0.0	62.08	8.04	0.0
9330182O14Rik	0.0	0.0	0.0	0.24	0.0	0.0	0.19	0.0	0.0
Akap8	0.16	1.2	0.83	160.01	10.21	522.82	22.61	60.51	0.77
Ank3	0.0	0.0	0.0	202.23	9.24	1.83	132.46	113.13	0.0
Arih1	0.0	199.04	0.0	38.58	0.99	0.48	32.24	30.71	0.0
Auh	0.0	0.0	0.0	1.5	0.0	0.8	203.53	118.07	0.0
Bbx	0.08	0.0	0.0	90.4	1.93	4.15	9.21	19.54	0.05
Bsg	0.75	0.65	0.0	34.84	112.92	25.98	261.33	222.32	0.0
Chl1	0.0	0.05	0.0	49.83	8.63	0.4	95.49	26.72	0.0
Cpne6	0.0	0.0	0.0	186.76	28.93	0.0	84.72	183.1	0.23
Dalrd3	0.0	0.0	0.0	161.36	125.25	0.0	90.01	0.0	0.0
Dnajc3	0.0	0.0	0.0	0.47	0.57	0.4	16.17	20.74	0.0
Exoc3	0.0	0.1	0.1	62.95	17.19	2.27	76.35	117.65	0.0
Gas6	0.0	0.0	0.0	3.81	94.9	0.41	27.48	23.81	2.33
Gatad1	0.14	0.0	73.92	115.43	138.72	2.48	194.68	223.42	0.12
Gm14430	0.0	0.04	1.53	5.63	7.21	0.06	16.82	7.54	0.0
Gm14434	0.0	0.04	1.53	5.63	7.21	0.06	16.82	7.54	0.0
Gm4724	0.0	0.04	1.53	5.63	7.21	0.06	16.82	7.54	0.0
Gpn3	0.0	0.0	0.0	171.61	0.0	0.0	97.18	145.12	0.0
Grin2b	0.36	4.06	0.28	117.51	56.49	6.58	127.16	188.95	0.63
Hpca	0.03	0.0	0.0	0.0	99.02	135.41	286.21	216.81	0.0
Idh1	0.0	0.2	0.0	0.0	0.0	0.47	81.17	72.31	0.0
Irgq	0.0	0.0	0.05	3.6	1.74	0.23	3.84	63.53	1.5
Itm2c	0.0	199.2	6.65	26.56	30.45	11.51	17.04	6.14	0.0
Kif1a	0.0	0.0	0.06	77.06	48.82	0.38	112.88	77.61	0.0
Lrp12	0.0	0.0	0.0	0.0	0.05	0.0	51.9	31.85	0.0
Me3	0.0	0.4	0.0	51.07	1.88	2.31	67.14	43.84	0.59
Mical2	34.35	0.0	0.0	56.53	11.89	1.99	45.0	25.48	0.0
Mpped1	0.0	0.0	0.0	48.39	1.78	0.32	64.91	172.83	0.0
Ndufb3	0.0	0.0	515.03	749.21	119.83	2.17	905.32	912.05	1.9
Nol11	0.87	0.29	1.96	3.11	0.56	6.29	94.75	25.14	3.8
Pak1	0.0	0.0	0.0	225.37	7.3	14.39	385.27	364.89	1.06
Pde5a	7.39	1.17	0.18	7.08	0.55	2.84	58.34	63.84	0.41
Plch2	0.0	0.0	0.0	1.16	2.83	0.0	6.17	20.49	0.0
Polr2g	0.0	0.0	0.0	367.2	184.48	1334.78	466.27	223.48	0.56
Por	0.0	0.0	0.0	0.0	0.09	49.31	0.0	61.41	0.0
Ppp1r2	0.0	0.0	0.0	213.48	0.0	0.77	84.85	113.71	0.0
Pts	7.33	744.77	10.13	245.78	108.23	44.37	229.87	137.12	53.19
Rab3c	0.16	0.17	0.4	108.01	1.03	2.26	129.04	192.39	0.31
Rab6a	0.0	0.0	118.73	173.06	47.22	3.91	141.63	300.55	0.0
Scnm1	0.0	0.0	0.0	149.13	0.0	0.0	96.35	172.01	0.0
Sdhaf2	0.0	0.0	0.0	9.96	0.48	0.4	96.37	28.17	0.0
Sfxn1	0.0	49.32	0.0	32.51	2.37	0.0	114.83	52.33	0.0
Sprr2a1	0.0	0.0	0.0	0.42	0.09	0.0	0.43	0.04	0.0
Sprr2a2	0.0	0.0	0.0	0.42	0.09	0.0	0.43	0.04	0.0
Stub1	0.0	0.0	0.0	51.2	9.43	1.91	142.32	69.39	0.0
Trpm3	0.0	0.57	0.12	2.15	1.71	174.57	0.64	0.66	2.53
Ube2a	0.0	0.0	0.0	104.18	0.13	476.7	171.7	100.24	0.0
Ube2f	0.26	0.0	0.35	11.12	87.71	2.36	59.23	168.15	0.0
Ube3a	0.0	0.0	0.0	97.86	2.2	1.28	85.45	112.39	0.0
Ubl3	0.0	0.0	323.03	335.94	2.96	4.34	957.52	1094.45	30.42
Usp7	0.0	0.0	0.0	0.56	52.98	0.19	0.0	96.97	0.0
c11_SSU-rRNA_Hsa	2.65	6.57	58.7	23.99	16.9	3.19	33.0	56.9	0.0
mt_AK138996	6455.38	8264.97	11219.41	9953.01	17721.28	11156.21	3969.74	4792.69	3649.32
mt_BC008260	7941.96	6317.46	9011.6	7885.05	17184.37	5883.47	3707.02	3790.84	2851.77
mt_BC020072	7941.96	6317.46	9011.6	7885.05	17184.37	5883.47	3707.02	3790.84	2851.77
