	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700019A02Rik	0.0	113.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.16	0.17
2310011J03Rik	0.12	321.75	0.0	0.0	0.0	0.0	0.0	62.71	0.0	40.35	0.0	33.36	0.0	0.0	32.43	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	6.33	0.0	0.0	0.0	65.44	17.15	13.37	36.08	35.8	38.47
2310021P13Rik	4.04	87.39	2.16	0.1	1.3	0.0	0.07	11.4	0.0	10.49	0.0	5.41	0.94	13.27	0.0	26.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	0.0	3.99	3.9	0.3	14.1	0.0	1.09	3.33	64.68	67.63	69.39
2310030G06Rik	0.04	373.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	3.21	13.49	3.91	3.21	2.93
2410021H03Rik	0.0	233.24	1.88	5.06	4.76	1.43	0.0	0.46	0.0	0.0	0.5	1.71	0.52	0.0	0.0	0.0	0.0	0.91	2.14	0.0	1.12	0.34	1.48	0.0	0.0	2.15	0.0	0.37	1.35	0.0	1.03	9.66	5.7	4.05	6.07
2610203C22Rik	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.29	1.69	1.52	1.09
2810008D09Rik	0.34	183.2	94.31	237.65	7.07	0.0	0.0	301.77	67.36	96.69	0.0	27.52	53.98	0.0	62.71	0.0	2.29	166.52	0.0	0.0	0.0	38.78	63.54	39.12	0.0	86.31	0.0	146.12	34.19	0.0	8.63	38.87	42.36	49.35	59.25
4732415M23Rik	0.0	300.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	2.83	3.24	4.6
4930452B06Rik	0.0	73.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.11	0.25	10.36	11.15	10.85
4930573O16Rik	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
