	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_67	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2700046G09Rik	0.0	0.0	0.0	4.79	4.79	4.82
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930550C14Rik	0.0	0.0	0.0	0.08	0.08	0.59
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9230102K24Rik	0.0	0.0	0.0	0.15	0.14	0.16
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
A730020M07Rik	0.0	0.0	0.0	0.25	0.25	0.36
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Adipoq	0.0	0.0	0.0	0.08	0.08	0.25
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col4a3	0.0	0.0	0.0	0.16	0.16	0.29
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F11	0.0	0.0	0.0	0.04	0.04	0.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gemin8	1.5	0.0	0.77	13.88	12.44	14.58
Ghsr	0.0	0.0	0.0	0.13	0.13	0.16
Gipr	0.0	0.0	0.0	2.77	2.77	3.21
Gm1045	0.0	0.0	0.0	0.13	0.13	0.42
Gm13718	0.0	0.0	0.0	0.08	0.08	0.03
Gm826	0.0	0.0	0.0	0.09	0.09	0.19
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Junb	0.0	0.0	30.7	196.13	175.03	93.13
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Ms4a8a	0.0	0.0	0.0	0.09	0.09	0.1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Obox5	0.0	0.0	0.0	0.15	0.14	0.16
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr56	0.0	0.0	0.0	0.1	0.05	0.05
Panx2	0.0	0.0	9.41	71.83	76.59	75.56
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Rnaset2a	9.31	10.57	1.42	42.96	41.77	40.36
Rnf38	0.0	0.0	0.0	36.48	34.22	37.6
Slc25a48	0.0	0.0	0.0	0.13	0.13	0.07
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem184c	1.9	5.25	0.0	60.35	52.33	59.3
Tnfrsf26	0.13	0.36	0.29	0.9	0.53	1.09
Tsga13	0.0	0.0	0.0	0.09	0.09	0.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vgll3	0.0	0.0	0.0	2.13	2.13	2.47
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmo1	0.0	0.0	0.0	0.15	0.14	0.16
Wdr27	0.0	0.0	0.0	0.61	0.61	0.26
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp572	0.0	0.0	0.0	0.09	0.09	0.19
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
