	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_73	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110004E09Rik	29.35	0.0	1.02	0.0	0.0	4.72	34.76	0.0	0.0	3.02	31.33	0.0	23.16	15.86	2.69	46.98	0.0	5.29	6.32	0.0	24.77	0.0	0.0	0.0	0.34	0.0	118.26	0.49	6.87	2.66	21.21	0.0	38.67	0.0	0.0	20.64	41.06	48.94	39.53
1200014J11Rik	5.31	3.61	7.5	17.43	19.12	19.76	8.63	3.18	4.31	8.17	10.69	9.39	20.13	20.26	8.72	14.72	4.29	7.49	14.43	6.75	3.05	27.63	17.37	5.39	6.84	16.19	59.96	5.87	27.14	20.24	4.99	12.71	10.24	3.63	9.95	4.11	10.62	10.03	11.03
1700025G04Rik	0.0	0.0	0.0	4.5	7.43	6.53	0.14	0.0	5.12	10.91	2.48	4.31	11.08	5.09	5.97	2.39	2.62	0.0	1.05	0.0	6.81	0.06	8.91	0.34	13.87	1.81	33.73	0.0	5.33	4.19	20.1	4.41	0.0	3.25	3.3	9.34	29.94	27.1	29.87
1700120C14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.56	14.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.47	1.9
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930444P10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.4	0.89
4930588N13Rik	0.0	0.0	0.0	0.0	0.0	0.0	60.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.52	0.48
4933411E08Rik	0.0	0.15	0.0	0.0	0.08	0.0	0.0	0.28	2.27	0.0	1.1	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.27	0.18	0.29	0.25	2.64	0.0	1.99	0.16	0.98	0.3	0.26	0.33	0.35	0.32	1.51	0.52	1.6	1.48	1.87
AA415398	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.07	0.0	0.0	1.33	0.23	0.0	0.0	1.79	0.0	0.0	6.21	6.1	6.79
AA986860	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	2.49	2.45
Abcd4	1.32	0.54	1.12	0.37	0.57	0.65	0.92	0.0	18.98	0.0	1.01	0.66	1.51	0.34	0.22	0.23	0.0	0.0	0.13	1.28	0.0	0.58	0.6	0.87	0.27	1.11	66.78	0.07	31.54	0.86	3.9	0.64	0.0	0.0	0.45	0.37	10.68	13.07	12.71
Akap12	0.0	0.0	0.0	0.0	0.0	6.66	0.11	0.0	2.95	0.49	0.0	0.0	13.96	0.0	1.04	0.13	7.34	13.89	0.62	22.06	0.0	0.0	0.0	0.0	0.0	0.0	59.77	2.02	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	12.09	12.77	12.36
Alpk3	0.0	43.5	0.0	0.0	0.0	4.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.28	0.21
Ap2a1	0.0	0.0	0.0	10.97	15.09	6.99	0.41	0.0	8.32	18.43	5.39	22.57	15.59	0.32	0.0	1.89	0.0	1.39	0.96	0.35	0.27	0.0	2.83	3.96	24.14	0.0	17.0	10.16	0.0	2.06	18.26	3.18	0.0	8.62	0.13	5.04	210.18	226.06	220.98
Aqr	0.0	0.05	0.0	13.07	15.22	4.93	1.42	1.31	0.87	12.39	34.72	1.11	18.56	0.11	2.88	1.12	10.76	0.0	0.0	0.12	28.27	0.0	0.0	0.0	0.23	15.49	96.56	28.33	0.0	17.23	0.0	0.0	16.73	5.36	4.03	32.31	25.57	23.56	24.1
Arfgap1	0.0	0.0	0.96	0.24	0.53	2.48	34.01	0.0	33.2	20.46	0.0	4.72	9.8	0.0	11.65	9.75	29.12	21.1	0.0	0.0	0.0	1.1	4.69	4.09	87.26	7.46	114.33	3.03	25.8	3.85	0.0	7.7	0.45	0.0	32.46	31.82	88.85	98.95	100.44
