	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_10	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_29	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
2810433D01Rik	6.4	9.96	2.15	26.98	0.0	1.9	0.95	0.0	1.76	18.16	0.0	0.0	31.9	42.0	45.83	30.87	20.84	46.36	31.09	52.76	34.71	22.34	4.61	1.39	0.8	28.89	79.41	35.13	1.74
B3gat1	6.74	0.0	0.0	33.51	0.0	0.0	0.0	0.0	0.0	13.18	0.0	0.0	2.94	7.8	12.39	22.87	4.06	11.08	16.81	19.21	29.52	0.79	0.0	8.18	0.0	0.0	12.02	8.72	25.5
Ccl27b	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	43.11	150.8	49.16	0.0
Cdr1	3.57	0.0	0.0	242.2	0.0	0.0	0.0	0.0	0.0	68.03	0.0	0.0	175.5	137.63	113.0	53.64	87.93	97.91	89.77	54.47	159.33	49.6	0.32	0.0	0.0	49.78	131.14	57.37	0.0
Cnih3	0.07	0.0	0.0	261.34	0.0	0.0	0.0	0.0	0.0	47.2	0.0	0.0	43.79	57.48	106.01	0.93	0.38	129.85	130.35	192.28	34.71	52.49	0.59	3.42	0.0	0.45	24.93	682.45	0.0
Dbndd2	0.0	0.0	0.0	2.51	0.0	0.0	0.0	0.19	0.0	65.23	5.15	83.97	40.19	72.2	73.48	36.35	29.67	36.55	55.93	54.53	29.99	33.66	0.61	2.56	0.0	0.0	36.35	9.84	0.58
Fcho1	0.06	0.13	0.08	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	5.2	12.83	0.75	0.13	16.16	0.66	6.93	15.96	1.07	0.0	0.29	0.0	8.37	2.62	53.98	0.0
Frs2	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	18.51	0.0	0.0	13.84	0.14	0.0	64.27	0.0	0.0	0.0	0.0	0.0	0.0	8.99	48.39	0.0
Ggnbp2	46.62	75.42	0.0	315.95	0.0	0.0	0.0	0.0	2.22	64.45	0.0	0.0	110.98	47.94	51.68	76.77	85.23	92.79	59.9	35.28	85.79	53.02	0.49	0.26	0.0	6.7	136.97	7.67	0.0
Gm13306	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	43.11	150.8	49.16	0.0
Gm2002	0.0	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.66	0.0	0.38	8.89	0.0	0.24	4.38	0.0	0.0	0.0	0.0	0.04	0.19	0.0
Gm2506	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	43.11	150.8	49.16	0.0
