	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_78	Htr3a_tdTpositive_cell_101	Htr3a_tdTpositive_cell_105	Htr3a_tdTpositive_cell_116	Ndnf_tdTnegative_cell_2	Nkx2.1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_71	Pvalb_tdTpositive_cell_29	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_6	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_10	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_30	Sst_tdTpositive_cell_31	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_50	Sst_tdTpositive_cell_52	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_57	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_99	Vip_tdTpositive_cell_58
9130221F21Rik	0.14	5.17	2.86	1.27	9.37	2.43	12.53	6.31	0.08	12.74	3.64	4.96	3.59	4.64	6.05	5.5	3.3	1.57	4.07	0.0	12.76	6.14	6.01	7.17	10.31	6.31	4.05	8.46	4.15	3.14	6.07	15.58
A330032B11Rik	3.81	24.09	2.9	9.96	15.07	28.75	26.07	50.71	4.86	42.82	15.79	19.65	15.92	18.87	30.77	14.63	40.62	9.38	22.64	1.62	24.58	31.75	34.43	22.78	39.33	37.55	41.28	30.96	36.08	24.87	30.88	55.27
Abhd15	0.05	0.41	0.0	0.39	0.65	0.89	0.66	1.56	0.0	1.22	0.0	0.45	0.0	0.21	0.51	0.0	0.46	0.25	0.39	0.0	1.56	1.49	1.63	1.18	0.69	0.81	0.57	0.72	1.59	0.37	1.53	3.3
B020014A21Rik	0.79	10.14	0.39	7.49	14.44	8.68	19.11	26.6	0.34	18.18	6.49	14.42	4.94	12.17	8.22	8.03	6.64	5.31	9.76	0.14	34.27	14.52	17.7	11.11	18.17	18.2	13.3	15.41	11.2	4.1	9.46	23.16
Birc5	0.0	2.06	0.0	0.19	3.0	2.38	4.03	3.19	0.0	2.92	0.67	1.38	1.21	1.51	3.24	0.61	1.44	0.92	1.96	0.0	3.89	1.57	3.06	1.77	4.83	3.69	2.33	2.72	0.75	1.02	2.34	11.26
Cd200r2	0.02	4.05	0.69	0.28	9.11	10.65	5.7	9.11	0.0	7.04	3.41	7.07	3.45	3.74	9.39	5.89	5.47	3.34	7.14	0.0	2.8	8.6	10.28	9.6	11.9	9.22	8.6	15.29	10.9	4.91	11.43	21.4
Gm4841	0.16	16.67	0.1	1.54	19.67	11.55	10.02	17.59	1.08	17.2	4.07	5.7	5.57	8.24	12.15	8.34	5.4	2.51	7.56	0.66	4.6	8.89	15.6	10.27	6.84	13.12	5.71	15.16	7.34	5.81	13.36	42.24
Gm6313	2.12	10.3	2.38	4.8	17.43	13.85	13.01	46.92	0.54	22.24	12.46	6.11	7.05	12.1	22.32	7.47	10.12	3.24	7.85	0.95	13.78	18.65	17.54	9.32	14.75	17.15	7.65	12.85	11.79	8.81	11.26	43.43
Il22ra1	0.0	0.24	0.0	0.0	0.71	0.71	0.95	1.09	0.0	0.76	0.17	0.33	0.11	0.2	0.86	0.69	0.77	0.26	0.26	0.0	0.91	0.58	1.63	0.41	1.66	1.56	0.0	0.79	0.5	0.23	0.79	2.3
Mageb16-ps1	0.23	9.8	0.0	0.8	7.19	8.18	9.66	9.33	0.0	7.84	3.18	5.35	4.1	2.85	7.02	2.2	4.62	0.98	3.46	0.0	4.44	6.78	8.12	9.09	6.39	8.73	4.51	10.83	2.66	1.77	7.97	13.01
Mc1r	0.26	1.91	0.12	0.34	1.93	0.39	2.1	3.73	0.0	1.72	0.38	2.4	0.93	0.71	1.43	0.94	0.53	0.66	1.4	0.0	3.09	1.97	2.52	2.82	2.65	2.65	1.34	1.75	2.05	0.82	3.08	7.05
