	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110059M19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.09	0.0
1700024B18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.51	18.05	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
1700113H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
4921508D12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.09	0.0
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4933402P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0
A130040M12Rik	0.25	28.49	42.36	0.18	0.0	17.96	1.69	46.04	6.62	252.59	3.14	0.27	18.05	0.5	6.16	0.0	22.65	4.11	9.13	1.55	0.0	45.5	13.71	0.0	1.02	0.0	2.52	0.0	6.99	35.33	34.07	33.17
Abca3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.71	0.0	0.0	33.17	0.2	0.0	0.01	11.71	0.0	0.0	16.0	0.0	14.58	0.41	80.55	37.7	0.0	0.59	0.27	0.0	0.0	7.21	50.64	49.23	52.54
Acadl	0.0	0.0	0.22	132.84	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.23	0.33	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	61.09	0.0	0.0	0.0	0.0	0.0	0.0	0.64	37.6	37.36	34.39
Agap1	0.69	13.36	5.56	1.16	0.0	0.0	0.0	6.25	0.0	0.0	0.08	0.4	0.0	0.01	0.05	1.82	0.0	0.06	7.71	0.0	0.0	31.85	0.0	0.0	6.73	4.44	0.0	0.05	8.79	35.1	34.98	36.53
Ahcy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.69	0.0	52.1	0.13	0.0	0.0	0.12	0.0	105.86	16.03	169.64	1.5	0.0	0.0	2.05	0.0	0.0	46.09	28.02	30.58	29.17
Ahcyl2	0.0	0.0	0.0	0.0	0.0	0.0	0.11	53.89	0.0	0.0	0.0	0.09	0.0	4.29	0.03	0.0	0.74	29.56	0.0	31.65	5.51	41.38	29.14	0.0	56.51	0.04	0.0	0.0	4.45	82.33	79.45	81.05
Akap10	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.32	0.05	0.17	0.0	0.0	0.12	0.0	0.0	0.0	89.65	0.77	0.0	0.0	0.65	0.0	0.0	3.85	24.04	20.03	24.05
Ano4	0.0	0.0	1.6	0.0	0.0	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.75	99.38	0.0	0.0	117.53	0.0	0.0	0.0	0.0	0.0	0.0	13.09	13.57	13.56	14.09
Ap2a1	0.0	1.17	0.24	0.0	0.0	0.0	4.18	31.75	0.0	0.0	21.46	20.64	0.24	0.2	0.09	1.79	0.18	1.22	28.68	0.2	12.82	36.11	0.12	0.0	0.03	25.74	33.07	0.0	2.3	210.18	226.06	220.98
Azi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	2.51	0.0	0.0	13.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.71	22.38	21.89
BC024582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
BC065397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91	2.03	3.13
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C1qbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	28.2	0.0	0.0	0.0	0.0	0.26	1.41	59.35	0.0	77.72	41.45	1.67	0.0	0.0	0.0	0.0	13.79	85.04	87.25	84.09
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	69.11	0.0	11.43	38.95	128.02	0.76	0.0	0.03	0.0	0.0	0.0	11.92	39.05	41.65	37.22
Ceacam-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.0
Cenpb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.79	6.3	0.11	10.93	0.77	5.33	0.78	0.0	0.0	0.07	0.0	0.0	5.48	120.4	137.75	134.34
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chst8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.1	0.0	0.0	0.0	29.87	0.0	0.0	0.12	12.7	12.51	12.82
Chuk	0.22	7.34	9.0	134.05	0.0	0.0	0.0	0.0	0.13	0.0	6.75	0.0	0.0	0.05	0.0	0.0	44.26	0.0	23.76	1.19	37.67	117.55	0.97	2.98	58.84	74.19	31.48	0.0	15.29	32.04	28.94	31.5
Clip1	20.12	26.38	18.14	0.0	0.0	32.19	0.0	30.17	0.0	0.0	28.13	0.0	79.46	0.06	14.73	1.67	17.89	44.23	0.09	58.77	20.56	103.67	13.05	8.71	0.05	14.57	0.57	46.4	28.07	61.66	59.6	61.68
Clrn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0
