	Calb2_tdTpositive_cell_25	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_64	Cux2_tdTpositive_cell_42	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_99	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_1	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_49	Vip_tdTpositive_cell_42
A830010M20Rik	118.24	0.0	0.13	85.9	64.4	158.88	114.88	0.0	125.83	180.36	81.97	160.34	89.49	175.09	127.94	97.21	33.43
Ap2m1	3628.84	3378.01	2549.5	3841.56	4010.68	4186.88	3809.4	3512.4	3658.37	3923.62	3460.94	3575.78	4256.32	2884.04	3942.57	4057.81	3101.75
Cdc5l	0.0	0.0	0.0	43.17	171.33	296.72	0.0	0.0	106.79	134.54	9.92	55.58	93.49	107.47	133.69	179.59	0.0
Ctnna1	0.0	0.0	0.0	0.49	26.96	51.24	26.44	0.0	0.0	19.97	15.76	0.09	0.0	28.26	143.85	63.11	0.0
Diras2	0.63	2.9	0.0	11.29	0.43	111.48	5.9	0.0	12.17	55.63	11.96	17.24	10.43	88.19	59.83	4.54	0.08
Epb4.9	1.69	0.9	1.83	123.65	26.36	447.46	79.54	0.0	77.88	133.6	96.43	48.94	65.12	83.53	258.4	58.52	0.0
Hivep1	0.0	0.0	0.0	8.28	0.2	18.88	0.0	0.0	1.55	5.14	0.77	13.41	5.89	9.23	16.4	22.65	0.0
Kif5c	74.73	0.0	0.28	97.13	65.23	131.26	77.17	1.05	162.91	146.44	55.36	12.22	53.87	143.67	184.95	89.75	23.4
Lpcat4	0.0	2.21	0.0	0.64	0.32	131.26	5.56	0.0	4.51	48.71	6.58	32.8	0.53	17.5	158.31	2.48	0.0
Ngef	14.56	59.36	0.0	54.75	0.0	89.45	0.0	0.0	17.95	55.94	0.9	75.81	44.92	112.98	200.5	98.65	0.0
Psd3	9.04	25.09	0.0	15.02	57.38	81.15	21.17	7.17	60.11	62.42	51.52	75.45	19.52	80.61	127.96	45.0	4.12
Scube1	2.04	0.22	0.89	2.86	1.73	22.01	0.35	0.0	2.44	19.62	1.36	29.13	1.77	60.61	53.71	7.79	1.05
Slc17a7	0.0	0.0	0.0	2.69	93.6	86.26	2.13	0.0	7.34	43.63	20.63	13.47	37.19	48.34	30.97	92.88	0.0
Slc35e2	9.43	7.97	7.69	33.35	6.75	59.99	26.26	0.11	52.46	59.8	9.05	19.21	40.76	35.95	75.74	21.41	2.18
Smek2	0.0	0.0	0.0	17.79	0.0	56.15	0.68	0.0	0.0	7.8	16.34	51.94	31.16	58.3	158.87	22.31	0.45
Taok2	2.77	0.12	0.13	0.72	14.81	1.4	0.83	0.49	3.58	0.99	1.23	0.59	0.8	8.45	4.3	0.93	0.07
Zfp870	0.0	0.29	0.0	0.13	0.44	0.59	0.34	0.0	0.29	0.51	0.23	0.35	0.39	34.86	0.47	0.29	0.13
