	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51
4933421E11Rik	97.35	0.0	0.0	0.0	27.48	21.92	7.77	64.64	27.26
Akr1b3	107.88	0.0	0.0	18.71	42.34	8.55	143.99	10.56	53.18
Amph	116.79	0.09	0.0	62.18	3.26	45.07	91.51	105.46	21.0
Atg5	116.56	0.0	0.18	85.22	143.14	22.4	53.31	49.24	28.96
B230217O12Rik	74.73	0.0	0.0	0.0	30.02	0.0	0.0	0.0	0.0
Baz2b	29.63	0.03	0.0	12.11	2.49	2.51	8.48	1.14	0.07
Bre	403.62	0.0	3.4	275.83	112.03	40.53	109.17	114.79	220.17
Ccr9	1.24	0.0	0.1	0.0	0.97	0.01	0.09	0.5	0.76
Chchd6	228.74	0.0	0.0	42.77	98.59	183.37	232.72	168.82	4.63
D10Wsu52e	408.44	0.0	0.0	182.85	274.23	283.62	427.84	162.93	332.84
D5Ertd579e	0.0	0.0	0.0	6.76	1.59	26.66	14.44	20.81	4.58
Dgcr14	80.76	0.0	0.0	0.0	10.44	23.82	28.51	33.66	0.0
Eif1ad	154.84	0.24	0.0	29.1	38.71	55.62	22.55	168.57	23.29
Eif2s2	215.0	0.11	4.29	128.41	114.16	134.16	103.9	261.06	188.94
Esrrg	76.31	0.0	0.0	28.02	66.23	34.13	0.0	41.31	37.46
Faf2	64.04	0.0	24.33	37.19	27.3	45.66	20.41	103.15	52.48
Fbxl16	40.96	0.17	0.27	35.75	11.04	38.42	11.39	39.89	5.57
Gprasp1	306.42	0.0	0.15	84.66	112.32	76.04	122.36	225.5	70.89
Hdgf	85.68	0.0	0.0	102.01	75.97	53.75	45.33	38.58	38.38
Hipk1	113.13	0.0	0.0	23.89	0.0	32.91	65.91	60.46	34.21
Ldhb	8550.52	5876.73	4948.76	10894.4	11261.44	13571.31	12546.17	11010.48	11746.38
Magohb	80.62	0.0	0.0	0.0	0.0	30.33	0.0	35.0	0.0
Mkrn2	132.54	0.0	0.0	0.0	77.08	9.47	80.4	36.77	0.9
Napepld	108.43	0.0	0.0	0.0	7.32	1.75	0.0	2.34	0.13
Ncoa2	71.16	0.0	0.05	0.06	4.64	16.22	11.77	1.93	0.0
Nfe2l1	80.66	0.0	0.0	14.78	2.66	38.8	17.67	31.48	3.76
Nxph2	167.15	0.0	0.0	0.0	0.0	4.64	0.0	0.0	46.66
Pcgf5	65.23	0.0	0.0	53.18	0.0	11.06	49.86	71.64	0.0
Pde1b	40.01	0.0	0.0	11.14	0.25	23.29	20.29	23.52	0.0
Ppargc1a	171.37	3.03	0.0	44.98	30.35	59.66	100.86	101.58	22.34
Rnh1	260.88	0.17	0.0	120.29	165.87	160.51	120.11	182.96	7.4
Rplp0	373.41	0.0	0.0	196.83	212.87	377.56	338.88	336.77	24.37
Sbk1	95.64	0.0	0.0	25.05	12.12	31.35	22.1	47.3	2.03
Slc35a1	77.65	0.0	4.9	68.71	0.0	6.9	56.36	0.0	0.0
Snord116	5.72	0.0	0.0	8.69	3.39	7.64	3.68	9.68	1.69
Snord116l1	5.72	0.0	0.0	8.69	3.39	7.64	3.68	9.68	1.69
Snord116l2	5.72	0.0	0.0	8.69	3.39	7.64	3.68	9.68	1.69
Sox6	33.95	0.0	0.26	14.95	0.23	14.46	30.77	27.01	20.24
Stam2	88.52	0.0	0.0	41.19	30.06	10.7	0.0	0.0	62.85
Stmn4	322.22	0.0	0.0	39.43	106.57	58.13	16.68	188.74	83.59
Tcp11l2	372.43	0.21	1.52	16.23	155.92	37.11	103.12	112.46	94.13
Tmem91	162.64	0.0	0.0	1.71	0.0	0.66	0.0	3.87	0.23
Tprgl	214.8	0.0	0.0	22.47	8.02	46.02	10.92	59.54	45.64
Tra2b	351.28	17.12	0.0	136.51	45.32	60.74	153.02	1.27	35.64
Trim44	156.01	0.05	0.08	10.19	0.24	58.34	30.89	83.38	24.01
U2af1	79.62	0.0	0.0	4.41	6.01	42.59	32.47	65.84	1.12
Vezt	45.95	0.0	0.1	0.42	4.95	7.93	14.74	17.56	0.13
Wwp1	28.09	0.05	0.0	12.41	0.0	39.01	24.26	0.11	0.95
Zdhhc13	130.32	0.0	0.0	12.34	0.0	36.93	0.0	55.73	0.0
