	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_42	Cux2_tdTpositive_cell_64	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_68	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_18	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_53	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_16
A830010M20Rik	0.09	0.2	0.0	0.0	0.0	145.91	124.22	85.9	337.81	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	35.67	1.11	68.45	35.08	91.41	115.91	37.62	59.38	56.5	44.98	38.61	96.81	120.9	4.58	101.45	0.38	78.89	0.11	56.02	0.0	0.0	0.4	1.36	0.23	101.7	338.09	104.35	184.83	67.36	0.26	97.21	25.62	141.99	238.78	122.17	0.64	0.0	0.0	0.0
AW209491	345.02	0.0	0.0	0.0	0.0	0.16	0.0	48.43	277.14	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	112.47	0.62	67.69	93.11	97.73	73.97	0.0	75.32	109.05	106.22	121.97	96.41	196.85	83.07	54.97	0.0	0.16	1245.68	0.54	0.4	0.0	0.0	0.0	0.0	163.11	32.27	57.5	194.42	116.43	0.43	0.32	173.16	112.03	74.04	142.5	0.0	0.52	0.0	0.0
Ccl27b	0.0	0.0	0.0	0.0	0.0	113.94	151.88	316.24	27.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	2.24	25.58	0.47	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	17.79	191.33	107.05	150.8	44.3	0.46	1.79	0.49	42.6	469.66	361.89	0.0	0.0	0.0	0.0
Celsr2	0.25	0.0	0.0	0.0	0.0	27.99	44.38	60.27	32.42	0.0	32.78	38.38	0.0	0.0	0.0	0.0	0.0	25.75	0.06	20.92	51.81	29.1	3.31	9.36	25.61	1.23	3.78	12.35	17.06	37.81	4.51	24.12	0.0	0.03	1.02	54.37	0.0	0.0	0.0	0.0	0.0	0.04	31.9	2.92	30.26	38.79	14.6	11.02	5.59	11.99	10.55	8.91	0.0	0.0	0.0	0.0
Ddb1	157.56	0.0	0.0	0.24	0.0	65.79	51.68	408.97	0.0	0.57	40.58	0.1	0.0	0.0	0.0	0.0	0.0	27.8	0.14	35.68	40.29	26.95	4.13	0.2	23.72	168.66	69.77	39.07	11.8	28.44	57.79	62.22	27.25	0.15	8.36	31.39	621.19	0.34	0.31	0.0	0.0	340.63	164.02	9.47	26.42	85.47	0.79	76.46	209.96	7.25	132.61	0.45	0.0	0.24	0.0	0.0
Dnm1	0.0	0.0	0.0	0.0	0.0	286.55	84.21	60.19	5.42	0.0	1.73	6.24	0.0	0.0	0.0	0.18	0.0	11.22	0.0	65.89	75.92	46.15	11.85	37.8	59.02	82.36	32.74	33.46	69.02	133.85	42.49	64.19	0.0	0.0	0.19	279.62	0.2	0.0	0.0	0.0	0.12	0.52	96.06	99.21	33.52	39.23	0.11	32.22	50.29	27.29	0.39	109.55	0.0	3.14	0.0	0.0
Fmnl1	0.0	0.0	0.0	0.0	0.0	190.67	234.74	79.11	207.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.91	1.26	44.81	0.12	3.56	13.84	41.92	6.6	7.01	43.66	139.91	39.88	200.71	23.01	35.4	0.0	0.08	0.0	126.57	0.0	0.0	0.0	0.0	250.65	126.72	58.7	280.83	49.58	11.58	0.11	43.05	56.56	0.07	10.79	50.71	0.0	0.0	0.0	0.0
Gas7	2.48	0.09	0.0	0.0	0.0	67.67	121.74	165.93	166.05	0.0	8.42	0.0	28.25	0.0	0.0	0.0	0.0	77.55	0.85	36.25	37.79	63.39	35.49	48.47	83.81	96.18	121.41	21.77	14.99	123.7	68.64	30.39	0.0	0.05	0.0	63.18	0.0	9.17	0.0	0.0	0.07	299.29	95.05	120.58	78.77	89.51	0.59	15.12	61.66	25.23	74.13	143.98	0.88	0.0	0.0	0.0
Gda	0.0	0.0	0.0	0.0	0.54	43.07	0.63	101.24	322.99	0.0	0.0	0.12	0.92	0.0	0.0	0.27	0.34	13.44	0.23	135.96	84.85	114.88	4.55	21.87	33.97	28.77	32.64	86.2	30.67	82.25	48.14	74.36	0.15	0.12	0.04	131.15	0.35	0.0	0.0	0.15	0.0	1.59	46.43	45.21	62.75	49.43	0.15	92.81	38.58	61.21	10.04	4.84	0.0	0.0	0.2	0.0
Gm13306	0.0	0.0	0.0	0.0	0.0	113.94	151.88	316.24	27.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	2.24	25.58	0.47	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	17.79	191.33	107.05	150.8	44.3	0.46	1.79	0.49	42.6	469.66	361.89	0.0	0.0	0.0	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	113.94	151.88	316.24	27.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	2.24	25.58	0.47	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	17.79	191.33	107.05	150.8	44.3	0.46	1.79	0.49	42.6	469.66	361.89	0.0	0.0	0.0	0.0
Gng13	0.0	0.0	0.0	0.0	0.0	149.6	53.12	202.87	137.18	0.0	10.69	3.49	1.33	0.0	0.0	0.0	0.0	53.29	0.0	139.87	339.02	50.39	37.73	49.94	11.01	55.57	89.72	135.44	89.62	30.31	194.08	68.52	1.85	0.0	0.0	3.81	0.0	0.0	0.0	0.0	0.0	33.38	5.69	16.76	100.58	26.14	2.27	81.67	47.79	15.29	4.02	10.2	0.0	0.0	0.0	0.0
Gpr158	0.0	0.0	0.0	0.0	0.0	124.88	203.01	17.56	7.85	0.0	0.0	2.93	0.0	0.0	0.0	0.0	0.0	20.37	0.0	27.88	22.06	0.0	40.54	0.18	49.71	36.0	21.37	17.6	71.86	61.02	0.08	59.59	0.0	0.04	0.1	109.93	0.0	0.0	0.0	0.0	0.0	47.98	2.33	68.22	87.97	64.98	0.17	9.08	33.29	31.08	105.96	140.48	0.0	0.0	1.59	0.0
Hivep2	0.0	0.0	0.0	0.0	0.0	150.36	58.96	34.56	4.78	0.0	21.5	0.0	0.05	0.0	0.0	0.0	0.0	124.83	0.36	14.6	39.7	25.76	30.65	2.65	54.91	34.72	81.97	100.4	12.23	26.32	28.79	23.76	0.0	0.03	0.0	117.27	0.16	0.0	0.07	0.0	0.0	31.75	78.61	64.83	25.62	64.17	5.0	16.12	61.66	0.56	89.88	12.9	0.0	0.0	0.0	0.0
Hnrpdl	21.54	0.0	0.0	0.0	3.24	42.03	162.84	165.92	159.35	0.0	0.16	0.15	26.15	0.0	0.0	66.32	118.29	209.14	0.43	126.46	38.58	185.64	26.6	4.46	19.15	140.47	66.79	53.67	44.92	45.83	12.38	12.79	0.25	0.23	139.71	145.73	514.34	0.0	0.0	0.0	80.16	187.16	161.4	292.61	49.49	31.33	0.0	36.89	52.17	25.12	2.67	38.13	25.67	0.0	556.25	3.52
Homer1	0.0	0.0	0.0	0.0	0.0	99.7	285.06	130.32	103.08	0.0	35.26	0.0	0.82	0.0	0.0	0.0	0.0	129.25	0.86	49.64	104.13	49.82	90.3	84.64	105.9	84.04	4.52	58.65	77.77	91.9	139.1	230.74	0.0	0.08	0.0	59.83	0.37	0.0	0.0	0.0	0.22	35.66	121.53	93.81	96.57	99.41	0.3	195.77	0.9	331.56	91.8	73.95	2.07	0.0	0.0	0.0
Kcnb1	0.0	0.0	0.0	0.0	0.0	133.92	155.54	25.4	13.59	0.0	0.54	0.0	0.0	0.0	0.05	0.0	0.0	29.49	0.53	27.94	30.44	19.48	0.08	22.44	32.02	10.42	16.05	30.71	20.05	6.91	33.59	15.99	0.0	0.1	0.06	101.07	0.0	0.0	0.17	0.0	0.04	150.73	27.9	73.59	58.24	33.64	0.04	20.79	28.85	11.07	48.16	45.43	6.92	0.16	0.0	0.0
Lcmt1	41.92	0.0	0.0	0.0	0.0	410.18	292.78	331.18	12.42	1.54	0.0	0.0	0.0	0.0	0.46	0.0	0.0	717.52	0.45	141.24	284.0	54.33	1.69	49.28	199.17	301.03	177.45	16.94	187.66	0.83	10.58	115.7	0.51	0.0	1.63	290.69	0.0	0.0	0.48	0.0	0.0	47.55	260.13	375.88	228.68	290.09	0.62	91.47	72.26	176.59	6.2	130.4	0.0	0.0	0.0	0.0
Lin7b	0.0	0.0	0.0	0.0	0.0	651.14	58.44	365.26	321.69	0.0	0.65	265.89	0.0	0.0	0.0	0.0	0.0	173.23	0.0	170.93	254.89	298.22	84.16	205.05	265.3	1.58	98.44	63.81	208.91	520.88	190.36	209.42	0.0	0.0	1.08	344.69	0.0	0.0	0.0	0.0	0.0	168.77	223.83	279.39	311.58	230.11	0.62	11.08	115.08	182.47	36.31	22.83	0.0	0.0	0.0	0.0
Lingo1	0.13	0.0	0.0	0.0	0.0	97.95	191.94	2.57	22.63	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	84.22	1.08	36.53	18.52	28.3	55.11	25.71	6.07	0.11	80.34	58.86	3.79	156.68	6.35	56.6	0.0	0.19	0.0	107.25	0.0	0.0	0.0	0.0	0.0	1.07	128.44	94.51	50.02	13.26	0.13	44.38	45.77	10.96	20.41	36.36	0.0	0.0	0.32	0.0
Miat	0.0	0.0	0.0	0.0	0.0	66.4	16.31	45.09	85.1	0.0	0.07	0.05	1.54	0.0	0.0	0.0	0.0	51.72	0.09	32.18	59.49	43.3	21.28	21.68	2.62	21.34	9.53	63.44	42.32	62.08	53.45	14.27	0.08	0.11	283.61	55.76	14.06	0.0	0.0	0.0	0.0	72.92	6.68	10.47	16.77	5.91	0.0	2.61	6.13	2.87	31.12	38.62	0.0	0.09	0.0	0.0
Mir690	24444.4	11289.26	26828.41	14983.6	16968.11	25738.25	13291.55	11921.34	17639.29	9673.58	15049.77	15875.71	15170.83	19376.41	14062.21	15339.94	22720.97	30464.78	19318.5	30528.33	39867.27	42000.18	28765.87	28695.45	18562.5	15437.1	16086.48	37370.15	37614.4	24336.09	23271.48	32522.04	17241.06	27509.93	44948.68	18757.58	42282.55	27759.51	24726.6	35532.88	23237.11	16696.03	14302.61	13320.96	48007.3	16172.66	26597.61	13652.88	16254.06	15605.4	15595.07	15234.85	15838.27	15861.36	26521.64	14247.57
Odz2	1.49	0.0	0.0	0.0	0.0	59.29	14.65	52.31	22.67	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	34.33	0.18	22.83	32.0	35.01	8.32	14.98	55.24	49.98	5.54	28.31	25.52	29.61	5.91	17.84	0.0	0.0	0.0	39.23	0.0	0.0	0.0	0.0	0.0	62.33	20.19	71.2	63.22	18.6	0.0	29.41	8.42	24.44	0.99	32.49	0.0	7.06	0.0	0.0
Pamr1	0.0	0.0	0.0	0.0	0.0	389.56	135.7	198.47	587.29	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	133.33	0.63	0.59	0.0	0.12	14.06	6.96	171.93	115.9	188.33	78.08	0.24	192.26	0.2	71.78	0.48	0.23	0.77	452.2	0.27	0.0	0.23	0.0	0.0	92.31	741.13	301.59	169.52	71.28	850.58	577.05	321.93	346.96	11.82	239.2	0.0	0.0	0.0	0.0
Pip5k1c	25.54	0.0	0.0	0.0	0.0	144.31	242.17	113.72	11.54	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.0	63.67	0.14	62.57	12.34	27.19	26.32	28.5	40.32	9.66	0.58	31.24	29.88	141.72	43.68	64.92	0.0	0.08	0.17	101.65	0.0	0.0	0.0	0.0	0.0	31.63	190.06	18.17	69.15	96.13	0.39	0.07	45.61	135.19	184.37	1.43	0.0	0.0	0.0	0.0
Prmt8	18.19	0.0	0.0	0.0	0.0	373.9	192.38	53.56	261.74	0.0	0.55	0.66	1.2	0.0	0.0	0.0	0.0	0.0	0.5	48.03	18.97	161.73	26.56	6.68	90.66	62.04	323.39	54.02	1.16	123.9	89.84	15.84	0.0	0.29	0.61	248.36	0.32	0.0	0.27	0.0	0.36	65.05	48.3	323.67	25.03	5.41	0.0	205.75	0.14	32.11	71.13	196.58	0.0	0.0	0.0	0.0
Satb2	0.08	0.0	0.0	0.0	0.0	228.51	213.96	10.13	8.06	0.0	0.24	0.0	0.0	0.06	0.0	0.0	0.0	89.97	0.45	11.49	3.11	4.22	48.48	13.34	51.14	160.92	17.59	75.56	48.04	63.73	22.7	69.17	0.0	0.06	0.41	55.52	0.0	0.0	0.12	0.0	0.0	5.81	25.38	172.73	57.69	36.56	0.23	14.35	63.65	77.03	24.83	14.14	0.0	0.0	0.0	0.0
Slc8a1	8.45	0.0	0.0	0.0	0.0	145.15	36.56	56.89	8.5	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.42	0.1	66.71	73.31	47.28	13.08	8.87	56.11	25.57	28.41	0.56	23.97	88.76	25.2	39.64	0.0	0.02	0.08	37.31	0.0	0.0	0.0	0.0	0.0	6.44	8.37	36.06	9.13	39.74	0.13	33.47	48.51	18.93	18.46	17.9	0.0	0.0	15.31	0.0
Smarcc1	0.31	2.8	0.0	0.0	0.64	93.11	8.0	44.72	3.74	1.08	0.0	0.3	0.85	0.0	0.0	0.0	1.82	4.52	0.1	18.77	20.12	2.24	7.21	1.25	8.2	3.41	61.43	4.38	4.5	19.95	4.35	3.36	0.0	0.06	0.13	15.36	0.0	1.49	0.0	0.0	0.0	2.74	45.36	10.44	13.79	22.52	25.75	10.42	29.72	9.52	1.45	1.38	2.03	2.61	4.01	0.0
Tnfaip1	0.36	0.0	0.0	0.0	0.14	8.04	34.22	160.24	132.97	0.0	0.0	0.1	42.51	0.0	0.0	0.0	0.0	0.7	0.47	26.97	23.07	3.73	0.21	0.0	142.51	123.51	39.55	7.86	0.0	6.87	61.95	14.2	85.08	0.0	0.0	30.46	0.0	0.0	0.0	0.0	0.0	238.47	0.0	115.0	92.43	138.74	3.45	102.75	0.0	27.52	130.89	0.0	0.0	0.0	0.0	0.0
