	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_94	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_145	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_45	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1700047I17Rik2	2.63	0.8	0.82	53.34	22.83	0.15	68.73	8.16	19.6	9.84	59.15	24.89	9.2	2.87	41.36	8.44	20.52	1.97	34.5	7.72	19.71	1.05	2.02	46.0	26.31	20.73	9.9	6.17	28.58
6720456B07Rik	0.0	0.0	0.0	1517.95	0.0	943.75	551.68	107.03	4.96	204.73	826.91	639.71	638.83	500.25	623.93	14.8	83.2	144.56	264.84	3.11	363.17	0.0	0.0	2340.59	708.62	427.52	389.08	365.04	661.79
9430018G01Rik	0.1	0.0	0.0	2.42	0.0	0.0	1.21	0.2	0.39	0.13	0.0	1.54	0.54	0.82	0.06	2.22	0.87	1.57	0.32	0.06	0.4	0.0	0.0	2.15	0.07	0.08	0.77	0.16	0.0
Abi1	0.0	0.0	0.0	466.62	0.0	0.0	278.73	569.41	1.95	0.0	17.14	159.8	61.14	55.18	4.09	166.18	19.11	0.54	0.0	0.19	51.26	0.34	0.0	257.92	128.91	94.36	39.63	100.43	73.44
Capzb	1.02	0.0	0.0	874.2	28.52	0.0	27.54	199.22	0.65	0.29	133.65	7.3	107.63	53.15	96.69	275.45	14.23	246.85	0.11	0.7	55.15	0.0	193.24	567.19	92.38	233.75	34.5	109.38	244.12
Cplx2	0.16	3.31	25.0	346.74	22.45	0.0	13.84	23.03	2.29	3.81	130.97	12.86	8.13	108.02	14.54	18.66	49.49	11.03	8.77	5.72	6.6	7.8	6.21	362.11	389.81	173.61	218.77	71.79	130.97
D8Ertd738e	0.0	180.01	0.0	804.43	0.0	0.0	1027.57	349.28	0.0	0.38	12.88	380.94	326.85	333.63	238.03	62.2	859.9	6.66	213.91	326.46	317.53	5.07	0.0	571.37	38.51	159.32	197.98	270.39	182.11
Disp2	0.0	0.0	0.0	123.63	0.0	0.0	53.93	196.14	0.31	14.83	35.36	74.14	53.09	43.11	86.27	6.76	196.63	99.47	14.0	13.78	16.04	0.0	0.0	143.55	107.96	64.93	103.01	113.44	47.17
Eef1b2	1.08	2.19	2.16	463.97	9.86	0.24	39.91	74.57	10.22	126.05	375.45	158.66	263.37	156.52	333.67	330.08	57.98	163.86	232.38	3.42	189.44	3.32	0.65	535.48	216.77	190.62	121.0	105.33	85.82
Epb4.1l1	0.0	0.0	0.0	61.35	0.0	0.0	18.35	31.89	0.0	0.44	19.17	1.89	4.92	30.56	0.5	178.74	7.02	20.12	3.64	2.27	0.0	0.0	0.0	46.67	38.75	7.2	63.42	5.71	3.66
Fam177a	2.63	0.8	0.82	53.34	22.83	0.15	68.73	8.16	19.6	9.84	59.15	24.89	9.2	2.87	41.36	8.44	20.52	1.97	34.5	7.72	19.71	1.05	2.02	46.0	26.31	20.73	9.9	6.17	28.58
Gm14430	0.0	0.0	0.0	1.38	0.0	0.0	37.15	33.91	0.06	0.0	1.1	0.2	1.12	10.08	0.0	11.54	6.11	0.5	0.0	0.19	13.96	0.0	0.0	18.92	8.34	6.2	0.0	0.0	0.0
Gm14434	0.0	0.0	0.0	1.38	0.0	0.0	37.15	33.91	0.06	0.0	1.1	0.2	1.12	10.08	0.0	11.54	6.11	0.5	0.0	0.19	13.96	0.0	0.0	18.92	8.34	6.2	0.0	0.0	0.0
Gm4724	0.0	0.0	0.0	1.38	0.0	0.0	37.15	33.91	0.06	0.0	1.1	0.2	1.12	10.08	0.0	11.54	6.11	0.5	0.0	0.19	13.96	0.0	0.0	18.92	8.34	6.2	0.0	0.0	0.0
Itfg1	0.0	0.0	0.16	389.94	0.0	0.0	44.53	165.3	0.31	0.0	173.37	126.05	240.9	211.66	43.1	28.74	7.34	2.83	47.66	33.72	31.35	0.0	0.0	363.74	0.0	45.42	0.0	174.89	54.77
Itm2c	0.2	0.0	0.0	823.59	0.6	0.0	394.65	193.5	11.51	224.1	79.31	147.45	113.75	56.75	57.3	100.98	98.61	174.14	47.0	28.23	90.64	0.0	0.0	545.37	572.28	704.4	322.28	211.44	290.47
Jmjd8	0.0	0.0	0.5	262.0	0.0	0.0	107.37	15.71	0.0	13.36	198.91	157.43	1.85	5.66	159.68	2.34	105.17	0.12	0.0	0.1	74.9	0.0	0.0	134.38	18.83	76.72	176.58	200.38	42.48
Jph4	0.0	0.0	0.0	85.67	0.0	0.0	3.36	30.76	0.23	12.58	18.73	0.19	0.48	0.67	34.37	152.56	32.99	20.56	5.8	2.44	5.07	0.0	0.0	30.05	2.25	28.87	18.72	22.3	21.89
Kpna4	13.79	0.0	0.0	278.41	28.44	0.0	0.0	17.78	0.56	0.12	0.0	25.75	13.98	0.0	38.0	12.07	8.55	18.51	0.05	0.02	102.49	0.0	17.55	191.05	49.76	0.32	32.7	35.09	35.45
Med31	0.0	0.0	0.47	246.04	0.0	0.0	0.0	74.36	2.8	0.0	117.32	0.87	113.85	58.86	47.31	47.72	65.73	174.19	13.05	5.45	0.0	0.0	0.0	291.63	53.75	32.94	32.6	0.0	38.45
Myt1l	0.0	0.0	0.0	79.45	0.0	0.0	216.16	47.67	0.87	9.34	115.4	81.97	62.53	29.16	40.51	132.43	17.68	60.16	152.78	1.03	22.65	0.0	0.0	203.04	71.69	48.03	104.9	19.89	65.45
Npcd	0.0	0.0	0.0	133.14	0.0	0.0	383.79	238.09	0.46	19.81	57.03	51.02	40.83	16.2	29.01	332.4	223.73	73.75	35.69	46.25	249.14	0.05	0.72	118.19	43.26	111.37	74.56	70.19	75.13
Nrg3	0.21	0.0	0.13	143.78	0.0	0.0	0.27	9.58	0.0	0.2	82.15	0.48	0.56	3.95	0.0	23.31	0.0	0.41	110.66	11.89	8.24	0.0	0.0	161.49	1.04	0.33	0.76	0.1	1.29
Prkcz	0.0	0.0	0.0	220.78	0.0	0.0	38.99	25.01	2.04	12.47	103.67	39.75	6.0	21.73	0.4	6.91	10.29	9.38	3.18	0.11	17.78	1.01	0.31	105.8	60.47	106.63	175.36	82.99	127.78
Rbm4b	0.0	0.0	0.0	369.47	0.0	0.0	3.13	0.0	0.58	0.0	153.35	58.55	1.97	0.0	0.0	97.94	0.0	32.45	0.1	0.0	32.21	0.0	0.0	431.99	58.48	76.86	0.44	16.55	0.0
Rprd1a	0.0	0.0	0.0	134.07	0.66	0.0	29.28	78.46	0.25	0.0	1.18	0.49	16.19	10.64	9.68	83.54	23.32	5.08	21.62	0.02	8.26	0.0	0.0	14.73	93.23	114.07	3.56	37.65	39.11
Rprml	0.0	0.0	0.0	104.81	0.0	0.0	0.0	42.56	1.01	23.29	1.1	25.81	0.8	38.75	3.8	34.18	200.84	10.48	0.0	0.07	0.0	0.0	0.0	62.26	4.13	45.34	18.49	27.01	34.99
Rps2	0.0	0.72	0.0	392.65	0.0	0.46	416.52	280.19	0.0	147.84	71.77	144.01	65.07	12.14	59.37	430.42	257.63	329.51	25.86	0.47	90.22	22.37	168.69	493.06	316.94	234.47	171.14	273.75	547.19
Slitrk1	0.0	0.0	0.0	315.3	0.0	0.0	31.12	188.91	0.49	0.0	12.23	72.69	30.59	10.63	0.19	4.24	35.61	188.49	8.78	0.0	120.04	0.0	0.0	233.3	12.15	65.24	81.65	73.87	15.75
Syt5	0.0	0.0	0.0	686.21	0.0	0.0	207.72	105.12	3.65	477.29	106.3	166.44	134.95	298.48	31.1	184.14	73.67	77.76	207.6	4.06	206.04	0.0	0.0	526.35	413.81	511.88	203.73	332.23	237.23
Tars	0.0	0.0	0.0	151.12	0.0	0.0	95.43	21.84	1.2	108.1	40.19	72.42	30.23	26.18	1.73	5.45	16.04	0.39	26.9	0.03	0.16	0.0	166.52	266.85	150.62	1.93	1.04	0.1	90.02
Tbck	0.0	0.0	0.0	44.32	0.0	0.0	0.55	0.0	0.0	0.0	0.18	14.17	1.99	0.0	0.0	2.3	0.0	0.09	2.19	0.0	0.0	0.0	0.0	41.76	0.0	0.0	1.25	1.28	0.0
Tpd52	0.0	0.0	0.0	422.24	0.0	0.0	74.2	139.63	1.86	43.77	292.5	0.5	191.62	146.16	195.2	4.42	0.0	0.94	0.16	3.76	97.67	0.0	0.0	317.23	93.9	266.0	0.32	74.86	72.07
Vps54	0.0	1.74	0.0	85.02	0.0	0.0	25.44	8.82	0.0	1.22	67.67	63.81	3.61	0.91	38.01	6.43	66.17	0.25	36.54	0.64	21.29	34.05	0.0	60.89	0.0	10.16	0.0	0.0	3.17
Wipf3	0.0	0.0	0.0	40.95	0.0	0.0	88.11	122.09	1.02	8.44	2.62	6.56	38.24	3.1	0.05	17.6	125.72	90.95	1.31	0.09	4.22	0.0	0.0	156.45	8.93	60.1	38.1	0.47	5.19
Zfp790	0.0	0.0	0.0	155.99	0.81	0.0	22.62	28.24	295.38	0.0	0.0	0.0	17.67	22.36	0.0	0.0	1.18	0.1	0.0	0.0	36.35	0.0	0.0	135.34	0.07	0.03	63.45	0.09	0.04
c17_SSU-rRNA_Hsa	2936.76	1246.66	2391.28	2412.47	1370.36	994.75	32310.68	18100.4	5780.18	11644.04	7815.02	12294.5	15042.54	15720.15	18147.83	62935.79	39573.42	23420.99	9207.73	11647.61	10094.19	2575.0	8226.66	2750.93	22437.39	28697.02	17823.66	28103.63	31264.04
mt_AK136262	0.0	0.0	0.0	6.63	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.03	0.03	0.0	0.21	0.13	0.0	0.0	0.01	0.0	0.1	0.0	0.0	0.03	0.18	0.15	0.1	0.01	0.0
mt_AK142003	0.0	0.0	0.0	6.63	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.03	0.03	0.0	0.21	0.13	0.0	0.0	0.01	0.0	0.1	0.0	0.0	0.03	0.18	0.15	0.1	0.01	0.0
mt_AK166798	0.0	0.0	0.0	6.63	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.03	0.03	0.0	0.21	0.13	0.0	0.0	0.01	0.0	0.1	0.0	0.0	0.03	0.18	0.15	0.1	0.01	0.0
mt_AK166978	0.0	0.0	0.0	6.63	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.03	0.03	0.0	0.21	0.13	0.0	0.0	0.01	0.0	0.1	0.0	0.0	0.03	0.18	0.15	0.1	0.01	0.0
