	Cux2_tdTpositive_cell_35	Cux2_tdTpositive_cell_36	Cux2_tdTpositive_cell_94	Cux2_tdTpositive_cell_123	Nr5a1_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_60	Rorb_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_12	Scnn1a.Tg3_tdTpositive_cell_32	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_93	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_9
4833427F10Rik	6.16	4.52	15.49	9.72	2.54	7.41	12.91	1.18	2.68	12.75	5.76	0.89	6.05	5.37	19.36	12.1	11.43	11.16	2.17	4.37
4931428L18Rik	2.17	0.31	0.0	2.43	0.76	4.33	3.54	0.0	3.49	6.88	1.2	0.0	2.01	0.87	11.75	3.27	3.03	5.48	0.0	2.36
9130221F21Rik	17.41	12.48	27.03	26.78	8.71	29.57	17.01	3.05	12.67	31.42	5.05	1.64	23.61	15.86	39.47	32.01	29.18	41.16	27.3	6.81
A630075F10Rik	31.88	10.77	34.59	31.14	11.72	65.6	43.2	0.44	6.42	40.64	22.42	1.9	18.78	12.33	129.53	83.53	33.47	38.67	6.33	9.18
AU019990	1.09	0.16	0.39	0.49	0.39	1.31	0.06	0.23	0.37	0.66	0.0	0.0	0.79	0.2	2.67	5.77	2.03	1.88	0.0	0.31
Aplf	12.8	28.62	0.0	61.11	31.75	100.77	115.25	0.0	14.54	105.7	28.42	12.94	39.01	3.1	35.62	76.64	54.89	58.41	2.18	10.34
D630045M09Rik	17.59	7.91	3.61	45.35	2.86	32.21	30.26	0.0	13.61	22.04	20.55	0.22	16.66	2.27	88.74	143.16	34.86	31.38	26.6	5.89
E130112N10Rik	19.17	8.78	22.67	26.97	6.89	61.08	26.35	0.21	15.98	24.48	10.53	0.24	16.88	8.14	55.38	60.63	28.33	20.89	15.97	6.43
E230016K23Rik	9.62	13.13	3.24	33.28	23.21	24.7	9.24	0.0	21.24	17.74	8.98	0.73	7.82	4.18	9.96	35.66	29.94	34.88	5.99	5.95
E330023G01	0.27	0.36	0.0	66.89	1.09	5.22	26.2	0.0	0.0	50.68	4.06	0.0	3.42	2.86	8.19	60.67	17.37	35.2	0.0	1.23
Fam169b	50.9	25.21	11.44	36.52	13.72	45.88	22.77	0.08	16.29	23.11	36.03	4.03	14.92	9.42	69.23	137.48	44.36	39.05	19.12	11.41
G730013B05Rik	35.42	22.24	32.02	44.74	16.89	63.14	57.0	0.94	27.96	57.94	25.45	0.72	34.64	14.58	96.9	65.51	50.18	83.99	27.08	6.92
Gimap1	39.47	6.49	0.0	122.2	39.47	100.39	83.73	0.0	19.6	90.84	20.09	6.18	27.21	11.46	109.53	104.38	70.26	73.93	0.0	20.19
Gje1	3.33	3.18	0.39	6.78	0.43	5.5	3.53	0.29	1.02	5.31	2.19	0.16	2.6	0.68	7.54	11.34	4.0	4.78	5.15	2.62
Gm19619	10.24	19.48	5.47	43.95	13.9	21.6	29.54	0.22	19.6	27.34	15.01	0.09	17.47	5.46	59.27	42.49	34.21	25.9	10.78	9.16
Gm4841	45.76	17.68	16.22	34.35	12.22	61.93	36.33	1.16	16.43	34.48	30.1	1.24	23.45	23.47	51.59	102.41	48.2	39.13	19.18	14.92
Gm5460	1.81	2.92	3.05	10.6	3.64	3.52	4.16	0.0	0.77	3.24	1.85	0.0	3.59	0.8	6.23	7.11	4.2	2.0	2.5	0.85
Gm5607	21.88	18.92	18.39	22.92	12.29	26.25	23.47	0.06	14.9	14.27	13.2	0.26	16.47	8.06	46.42	39.27	27.85	23.58	13.41	8.55
Gm5860	2.79	0.51	0.0	4.69	0.0	9.38	0.0	0.0	0.0	12.38	9.83	0.0	8.8	1.96	108.48	14.39	9.77	16.32	3.17	0.6
Gm6307	8.37	3.74	7.32	12.86	2.79	14.05	8.52	0.0	8.72	13.79	7.39	0.68	4.87	3.6	17.69	21.99	16.29	10.64	4.42	1.65
Gm7102	65.94	45.88	11.17	53.96	21.22	184.6	88.35	0.0	39.98	72.95	46.89	0.0	20.12	66.4	76.65	253.32	93.02	113.87	46.11	39.58
