	Gad2_tdTpositive_cell_57	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110002L01Rik	3.18	158.22	0.0	12.78	23.81	0.0	84.8	81.72	0.0	141.26	0.0	93.84	31.13	18.39	86.37	1.3	58.33	16.47	54.35	0.0	21.98	34.38	76.33	0.0	58.47	40.84	76.94	0.0	43.77	13.81	3.86	3.46	4.92
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700012D14Rik	0.0	0.0	0.0	0.0	17.19	34.61	0.0	13.59	0.0	0.0	0.0	0.0	0.0	9.42	6.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.23	0.0	9.39	0.0	7.38	0.0	1.64	1.55	1.02
1700019E19Rik	67.72	316.25	52.49	134.28	30.5	279.33	1.48	71.18	62.91	36.59	56.65	0.0	148.48	65.71	47.96	131.66	81.09	49.6	47.96	0.0	6.99	0.0	39.46	62.76	107.85	47.07	144.59	167.47	52.66	0.0	15.13	13.42	16.41
1700019G17Rik	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	9.96	8.87
1700020G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	1.48	0.0	0.0	0.73	0.0	0.34	0.2	0.36	0.0
1700029B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0
1700029J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
1700125G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
4632434I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.38	0.0	0.0	0.0	0.0	0.0	0.4	0.19	0.62
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930447A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930548J01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.0
4933413J09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.23	0.0	0.0	0.0	0.0	0.2	0.18	0.15
4933416E03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933429O19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5730403I07Rik	0.0	0.31	0.59	0.0	0.24	0.0	0.54	0.0	0.39	2.09	0.21	0.77	0.0	0.23	0.0	0.0	0.18	0.62	0.0	0.19	0.51	0.0	0.28	0.0	0.56	0.0	0.0	0.0	0.27	0.22	0.28	0.41	0.76
8030423F21Rik	0.92	7.33	2.63	1.47	1.73	6.02	9.89	3.67	7.02	32.32	2.62	6.58	2.83	8.15	2.58	1.26	4.68	2.15	1.87	3.2	1.67	4.48	2.11	2.37	3.72	4.11	6.28	2.86	1.24	3.95	1.46	1.42	1.87
9230112J17Rik	0.0	0.3	0.0	0.11	1.44	0.0	0.0	0.0	0.0	2.11	0.0	0.0	0.26	0.0	0.22	0.05	0.0	0.0	0.0	0.0	0.0	0.33	0.12	0.0	0.0	0.75	0.0	0.0	0.0	0.0	1.39	1.21	1.57
AF251705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	4.05	4.23	4.84
Acadvl	0.0	1.17	17.39	38.64	131.19	99.34	0.76	0.0	34.32	96.36	74.44	1.8	125.21	100.88	63.86	0.0	215.77	97.41	0.0	56.29	36.8	157.05	22.92	188.46	217.15	96.2	44.06	123.49	192.03	93.41	46.3	45.25	44.91
