	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_85	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008O03Rik	0.0	0.0	0.37	2.12	1.89	3.0
1700034I23Rik	0.0	0.0	0.0	0.08	0.12	0.22
1700065J18Rik	0.0	0.0	0.0	0.8	0.75	0.27
1810026J23Rik	0.0	0.0	0.0	48.11	51.84	46.45
4930448I18Rik	0.0	0.0	0.0	0.14	0.13	0.0
7630403G23Rik	0.0	0.0	0.0	0.0	0.0	0.19
A330049M08Rik	0.0	0.0	0.0	0.85	1.1	0.93
A530016L24Rik	0.0	0.0	0.0	0.26	0.32	0.43
Acot12	0.0	0.0	0.0	0.2	0.3	0.24
Aff1	0.12	0.0	0.0	6.49	6.98	7.47
Ahdc1	0.57	0.0	0.33	21.02	21.81	21.88
Alkbh4	0.0	0.0	0.0	6.35	6.99	6.45
Angpt2	0.0	0.0	0.0	1.36	1.39	1.24
Angptl7	0.0	1.09	1.55	1.96	1.09	1.64
Ano4	0.0	0.0	2.0	13.57	13.56	14.09
Arhgef26	0.0	0.0	0.0	16.25	15.83	16.2
Baz1a	0.0	0.0	0.0	1.69	1.33	1.95
Bend7	0.0	0.0	0.0	1.54	2.37	1.77
Bhlhe22	0.0	0.0	0.0	38.02	41.56	39.71
Birc3	0.0	0.0	0.0	1.81	1.77	2.39
Bst2	0.0	0.0	0.0	7.74	6.41	7.86
Cacng4	0.0	0.0	0.0	32.89	29.9	34.59
Ccdc162	0.0	0.0	0.0	0.76	0.54	0.56
Ccl25	0.0	0.0	0.0	6.56	4.49	7.08
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Cdr2	0.0	0.0	0.0	10.68	13.01	12.52
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cln6	0.0	0.0	0.0	10.9	12.43	11.86
D17H6S56E-3	0.0	0.0	0.3	0.78	0.72	0.77
D930020B18Rik	0.0	0.0	0.0	0.61	0.37	0.19
D930032P07Rik	0.0	0.0	0.0	3.58	2.39	2.62
Dhps	0.0	0.0	0.0	44.39	45.73	43.52
Dnahc5	0.0	0.0	0.0	1.59	1.27	1.46
E130112N10Rik	0.0	7.44	7.51	9.89	9.91	12.14
E130303B06Rik	0.0	0.0	0.0	12.17	12.27	9.4
Ern1	0.0	0.0	0.0	5.24	6.03	6.84
Esm1	0.0	0.0	0.0	0.66	0.52	0.55
Fadd	0.0	1.1	0.48	1.67	2.85	2.3
Fam154b	0.0	0.0	0.0	0.85	1.2	1.68
Fam47e	0.0	0.0	0.0	0.58	0.59	0.7
Fam92a	0.0	0.0	53.66	71.59	74.62	71.72
Fam98b	0.0	0.0	1.38	56.65	56.11	54.04
Fbxw26	0.0	0.0	0.0	0.05	0.0	0.0
