	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_66	Rbp4_tdTpositive_cell_165	Tac2_tdTpositive_cell_4	Ntsr1_tdTpos_100cell_3	Trib2_CTX_250ng_1
4933421O10Rik	0.0	16.69	6.37	13.25	0.06	2.76	17.03	21.72	7.9	13.93
5930434B04Rik	0.0	0.0	3.03	1.35	0.0	0.0	8.75	99.25	6.76	36.89
9030624J02Rik	0.0	1.08	0.13	0.0	0.15	0.0	25.14	105.89	45.59	32.78
Amy2a2	0.0	0.0	0.04	0.0	0.06	0.0	0.25	0.53	0.21	0.21
Amy2a3	0.0	0.0	0.04	0.0	0.06	0.0	0.25	0.53	0.21	0.21
Amy2a4	0.0	0.0	0.04	0.0	0.06	0.0	0.25	0.53	0.21	0.21
Ap1ar	0.0	0.0	0.0	0.0	0.0	0.0	5.87	60.64	11.95	92.03
BC017647	0.0	0.0	0.0	0.0	0.0	0.04	6.83	44.89	8.35	21.16
C87198	0.0	0.0	0.0	0.0	0.0	0.0	0.43	1.16	0.68	0.18
Cbfa2t2	0.12	0.0	0.0	0.58	0.0	0.06	16.78	129.21	100.25	26.15
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	40.26	2.72	71.98	22.96
Cnrip1	0.0	0.0	0.0	0.0	0.0	0.0	192.95	357.7	405.05	100.81
Ctps2	0.0	0.09	0.09	0.0	0.0	0.04	6.21	40.12	10.39	19.27
Errfi1	0.0	0.0	0.0	0.0	0.0	0.0	0.43	100.67	10.33	21.94
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	40.26	2.72	71.98	22.96
Gm14430	0.0	0.25	0.12	0.03	0.0	0.0	6.69	11.04	4.22	7.49
Gm14434	0.0	0.25	0.12	0.03	0.0	0.0	6.69	11.04	4.22	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	40.26	2.72	71.98	22.96
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	0.87	3.38	0.92	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	0.87	3.38	0.92	2.9
Gm4724	0.0	0.25	0.12	0.03	0.0	0.0	6.69	11.04	4.22	7.49
Gprasp2	0.0	0.0	0.0	0.0	0.0	0.04	38.73	140.81	27.07	89.29
Ipo7	0.0	0.0	0.0	0.0	0.0	0.05	46.76	124.2	13.0	90.33
Klra2	0.18	0.0	0.29	0.0	0.0	0.07	0.0	0.85	0.2	0.36
Lats1	0.0	0.14	0.13	0.0	0.0	0.11	0.96	16.79	2.57	16.63
Ly6c1	27337.17	27599.67	30945.52	30804.82	20851.1	24317.47	0.0	0.0	1.34	70.09
Med1	0.0	0.0	0.0	0.0	0.0	207.31	138.53	261.17	223.17	26.25
Med21	0.0	2.81	0.0	1070.35	0.0	0.0	313.68	594.94	165.66	37.45
Nos3	0.0	0.0	0.0	0.0	0.0	0.0	1.03	11.24	1.98	7.32
Ppp1r8	0.0	0.0	0.0	0.0	0.0	0.08	26.71	82.94	14.57	31.18
Rnf11	0.0	0.0	0.0	0.0	0.0	0.0	56.59	182.0	36.19	261.45
Rnf139	0.0	0.17	2.7	1.13	0.04	0.16	18.29	36.53	10.9	19.07
Rprd2	0.0	0.0	0.0	0.0	0.0	0.0	1.46	53.72	4.92	16.63
Samd8	0.07	1.38	8.29	0.0	0.31	0.38	43.66	89.91	56.16	33.8
Slc37a4	0.16	0.0	0.0	0.0	0.26	0.0	21.38	88.32	32.36	23.16
Slc9a9	0.0	0.0	0.0	0.0	0.0	0.0	2.51	78.3	1.19	15.3
Snupn	0.0	0.0	0.0	0.0	0.0	0.12	65.3	187.73	72.48	14.98
Sprr2a1	0.0	0.05	0.09	0.05	0.0	0.02	0.46	0.17	0.1	0.13
Sprr2a2	0.0	0.05	0.09	0.05	0.0	0.02	0.46	0.17	0.1	0.13
St3gal4	0.0	0.0	0.0	0.0	0.0	0.0	0.2	75.19	2.18	21.18
Taf1d	0.0	0.0	0.0	0.0	0.0	20.28	58.7	141.0	26.12	20.18
Tsn	214.61	0.11	0.15	1.79	1.24	0.05	96.51	276.87	148.95	61.5
Zfp507	0.0	0.0	0.0	0.0	0.0	0.0	1.61	20.23	2.46	12.34
Zfp637	0.0	0.0	0.0	0.0	0.0	0.0	121.62	258.79	166.16	43.03
