	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_26	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310022B05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.61	0.0	0.0	0.0	46.11	51.31	45.81
2900052N01Rik	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.22	0.0	25.63	24.14	25.33
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930412F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.28	0.0	0.0	0.0	1.3	1.33	1.4
4930558J18Rik	0.0	0.11	0.19	0.0	0.17	0.0	0.0	0.0	0.0	0.94	0.28	0.29	0.32	0.36	0.2	0.47
4930599N23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.15	0.74	0.53
4931406C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.22	39.68	0.0	0.06	2.63	18.78	20.25	19.23
4933427D06Rik	0.0	0.03	0.11	0.12	0.0	0.0	0.0	0.3	0.0	0.67	0.0	0.0	0.0	0.11	0.08	0.23
6030405A18Rik	0.0	0.0	0.0	12.01	0.0	0.0	43.79	0.0	0.0	65.96	28.78	0.0	0.0	26.45	28.65	27.76
8430431K14Rik	0.0	23.04	0.12	0.0	0.0	0.0	0.0	0.28	0.0	56.73	0.0	0.01	0.0	0.49	0.29	0.21
9930014A18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	1.55	1.89	1.48
Acaca	0.0	0.0	3.16	0.13	0.0	0.0	0.0	3.14	0.0	4.08	0.0	0.0	0.0	30.97	27.93	30.45
Aimp1	0.0	130.58	15.24	98.12	10.71	121.21	22.7	13.61	239.41	390.98	7.09	108.98	5.92	72.31	69.47	65.2
Aldh1a3	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	9.65	0.0	0.0	0.0	1.45	0.74	0.78
Angptl7	1.49	3.06	2.1	3.02	4.75	1.77	3.62	1.03	3.44	23.4	2.47	2.4	1.31	1.96	1.09	1.64
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B930007M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.16	0.07
Bhlhe22	0.0	0.0	2.54	0.0	0.0	0.0	0.0	6.08	0.0	9.5	0.0	0.98	0.0	38.02	41.56	39.71
Birc5	3.35	2.62	3.27	2.21	1.62	2.18	2.77	4.08	1.84	61.54	3.16	2.33	0.47	2.05	2.35	2.26
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
