	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034A24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.98	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	31.35	0.0	0.0	0.0	0.0	6.64	0.0	0.0	3.89	0.0	0.0	0.29	17.11	3.03	7.01	6.22	8.56
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700012A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	10.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35	0.0	0.0	0.0	0.0	2.52	2.37	1.8
2310034G01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	46.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.07	0.47	1.56	2.08	1.07
2310067B10Rik	0.0	0.25	0.0	0.12	0.1	0.19	0.14	0.0	0.13	0.0	2.9	0.0	0.0	0.12	0.26	0.0	0.55	4.71	0.0	16.64	8.49	0.33	4.29	0.07	0.1	0.0	11.92	0.64	0.0	0.5	0.6	0.15	6.47	39.04	41.23	42.57
2410002I01Rik	0.0	0.0	0.0	0.43	0.0	0.0	0.0	7.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.16	48.53	0.0	0.0	0.44	0.0	0.18	0.0	0.0	1.16	0.0	2.7	0.0	0.0	0.62	13.45	14.61	14.03
4930506M07Rik	2.85	19.41	1.88	1.09	0.0	1.26	7.11	8.05	27.5	2.29	1.32	17.79	1.17	30.49	0.0	0.0	0.45	3.53	4.7	74.93	1.39	1.61	10.45	1.99	15.31	0.34	1.86	1.71	19.91	0.33	3.48	1.95	7.88	26.69	25.17	27.17
4930515L03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.0
4931423N10Rik	2.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
4932415G12Rik	0.0	65.15	0.0	0.0	0.06	3.67	0.07	0.0	28.99	0.38	39.46	0.0	0.0	2.44	13.09	90.38	0.0	0.0	40.52	87.51	0.0	0.0	2.16	1.35	16.09	0.0	0.0	0.0	0.0	0.0	0.0	17.89	11.92	22.26	22.71	20.89
