	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Cux2_tdTpositive_cell_117	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_17	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5830416P10Rik	0.89	0.43	0.07	0.39	0.8	1.15	0.0	0.03	3.86	0.62	0.74	1.01	0.25	0.0	0.46	0.47	0.25	0.18	1.02	0.25	0.64	0.38	0.55	0.29	0.43	0.23	0.24	0.59	0.44	0.52	0.47	0.3	0.39	0.74	0.12	0.57	0.43	0.25	0.23	0.22	0.59	0.66	1.09	3.26	1.54	0.0	0.23	0.21	0.09	0.41	0.27	0.48	0.09	0.67	0.0	0.98	0.72	0.96
A330050B17Rik	2.96	2.67	0.85	1.5	3.31	12.51	0.0	0.17	13.64	4.44	3.59	4.18	5.82	0.0	1.33	2.66	1.77	1.85	2.13	1.93	2.18	1.6	6.3	2.68	7.13	1.57	1.85	3.34	2.36	6.07	1.96	0.89	0.93	4.13	2.09	1.95	3.18	2.35	1.57	1.42	1.42	4.03	4.62	20.37	10.92	0.0	1.98	1.94	0.72	1.83	1.25	3.06	0.76	0.9	1.24	4.99	4.82	5.88
A630020A06	1.28	3.67	0.38	1.67	3.46	3.88	0.15	0.51	5.59	1.26	2.77	3.77	2.73	0.0	1.3	1.44	1.38	1.36	4.26	1.27	1.34	1.33	3.09	2.58	2.94	2.51	0.2	2.94	1.84	1.21	2.29	1.2	3.27	0.83	1.88	1.51	2.93	1.7	3.23	1.01	2.14	2.23	5.57	9.28	3.83	0.28	1.25	1.17	0.94	1.82	1.39	1.06	0.9	1.2	0.77	2.52	2.18	2.94
A630072M18Rik	0.35	2.51	0.15	0.27	7.37	1.6	0.0	0.13	4.63	1.37	1.08	0.38	0.9	0.0	0.57	0.3	0.49	0.43	0.75	0.45	0.35	1.07	0.61	0.52	0.76	0.49	0.4	0.14	1.38	1.3	1.39	0.11	0.39	0.58	0.36	0.27	0.65	0.32	0.23	0.35	0.57	5.21	15.25	3.52	1.43	0.0	0.52	0.08	0.7	0.67	0.84	0.44	0.49	0.18	0.0	4.79	4.03	4.74
A730085A09Rik	0.0	0.0	0.0	0.0	0.24	0.0	0.14	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.13	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.29	0.21	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.08	0.34
Alox8	4.24	8.69	1.87	6.33	189.06	15.04	0.32	0.59	218.84	10.23	7.55	6.19	16.28	9.34	3.64	2.6	5.75	5.29	8.46	5.09	6.36	9.45	6.13	4.56	4.2	5.2	2.97	4.26	7.7	6.41	6.35	2.89	9.71	6.27	4.52	3.35	4.39	2.54	4.76	5.65	6.04	8.97	15.6	22.14	17.11	0.99	5.15	7.11	4.15	5.46	4.15	4.2	2.34	1.87	1.01	4.07	4.23	4.86
Als2	3.69	44.41	18.18	14.45	114.06	47.19	0.83	4.46	148.67	4.63	8.25	42.15	8.53	0.0	3.68	22.9	11.66	4.3	13.46	2.93	10.62	6.08	5.97	10.65	29.97	3.1	7.4	5.11	5.74	4.63	7.65	3.45	15.64	8.74	6.47	35.98	36.74	6.06	8.32	3.98	3.93	9.94	12.81	62.17	29.93	5.08	7.88	29.28	53.68	9.1	6.96	8.88	6.82	6.77	0.0	27.21	26.07	27.28
Amy2a2	0.3	0.17	0.0	0.0	0.11	0.62	0.0	0.03	0.6	0.05	0.51	0.09	0.09	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.07	0.17	0.18	0.03	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.35	0.66	0.77	0.53	0.0	0.02	0.0	0.35	0.09	0.08	0.12	0.12	0.13	0.0	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.0	0.11	0.62	0.0	0.03	0.6	0.05	0.51	0.09	0.09	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.07	0.17	0.18	0.03	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.35	0.66	0.77	0.53	0.0	0.02	0.0	0.35	0.09	0.08	0.12	0.12	0.13	0.0	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.0	0.11	0.62	0.0	0.03	0.6	0.05	0.51	0.09	0.09	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.07	0.17	0.18	0.03	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.35	0.66	0.77	0.53	0.0	0.02	0.0	0.35	0.09	0.08	0.12	0.12	0.13	0.0	0.26	0.19	0.21
Azi2	0.0	14.16	8.27	73.02	160.75	77.69	0.0	0.13	335.1	0.0	67.57	149.07	6.62	0.0	33.21	25.58	4.55	3.08	30.83	19.44	2.33	3.8	18.62	36.83	47.15	16.58	24.66	0.0	0.28	38.04	8.16	0.17	118.87	40.98	0.22	2.37	3.19	0.0	25.53	33.89	8.93	38.66	83.3	0.1	160.88	0.0	9.96	3.48	60.75	0.11	23.44	54.01	2.01	5.13	0.11	51.59	46.82	53.51
Bbs1	2.57	5.01	1.46	2.22	3.31	5.31	0.06	0.02	10.95	5.6	8.35	3.99	21.59	0.0	1.53	2.58	2.35	1.39	3.96	0.77	4.27	1.97	3.22	1.13	3.78	2.99	2.02	3.45	2.07	2.25	2.43	3.85	4.92	2.21	2.38	3.36	4.91	3.96	1.93	2.79	1.37	4.88	18.55	26.35	135.74	2.0	1.74	2.75	0.97	2.99	2.36	2.35	2.03	1.62	0.5	25.47	26.95	26.59
Camk4	30.53	1.24	9.99	15.61	26.98	41.54	0.03	0.06	134.1	10.1	1.84	1.45	20.54	0.0	5.59	20.32	0.72	25.32	20.56	0.34	5.05	0.51	25.1	11.58	34.61	27.06	5.91	1.22	15.05	1.06	8.38	1.27	1.05	11.83	5.64	7.92	15.63	22.56	2.62	10.54	1.28	15.37	27.86	62.75	268.66	0.16	14.23	12.48	38.46	15.73	0.8	11.73	7.83	2.5	0.06	69.62	59.4	72.95
Ccdc82	83.09	132.55	18.79	83.88	106.78	209.71	23.03	47.15	408.55	110.78	153.28	144.68	160.17	12.47	93.29	137.08	81.46	47.01	97.08	97.39	73.92	66.15	104.99	103.6	60.75	117.17	63.32	67.09	132.14	129.9	63.65	34.93	51.48	96.89	81.16	83.24	86.62	91.95	74.23	84.27	110.95	125.03	185.31	409.18	374.4	8.86	44.64	73.16	51.42	98.39	49.05	40.79	58.32	37.77	14.0	129.46	122.4	144.77
Cd33	0.27	0.32	0.16	0.22	0.94	1.17	0.14	0.0	1.46	0.1	0.7	0.39	0.36	0.0	0.33	0.26	0.17	0.14	0.66	0.06	0.3	0.19	0.5	0.18	0.68	0.24	0.13	0.12	0.88	0.36	0.28	0.17	0.1	0.06	0.23	0.09	0.78	0.69	0.07	0.33	0.22	0.41	1.05	2.14	1.28	0.0	0.0	0.09	0.06	0.53	0.19	0.38	0.0	0.19	0.0	5.21	4.81	6.26
Cd38	1.1	2.33	0.54	0.41	2.0	4.95	0.16	0.0	17.38	2.62	1.85	3.98	2.72	0.0	0.53	1.62	2.6	0.63	1.73	0.66	0.69	1.01	1.52	1.84	0.29	1.42	0.65	0.66	1.31	1.39	1.34	0.83	0.0	0.86	1.09	1.93	0.73	0.73	0.64	1.22	1.81	2.6	1.69	4.44	8.6	0.0	0.74	0.91	0.59	0.97	0.81	0.27	2.28	0.33	0.07	8.08	7.82	8.58
Chst15	0.76	0.0	0.0	19.39	78.13	0.24	0.0	0.0	92.79	0.0	0.0	0.0	0.12	0.0	24.14	0.02	0.0	0.0	0.0	0.02	28.31	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	0.0	0.0	0.0	0.05	0.07	0.07	0.0	0.0	0.0	18.77	6.56	24.21	0.11	0.31	0.0	0.07	0.0	37.53	0.07	0.0	24.27	0.0	0.02	0.0	29.18	28.82	29.43
Csf3r	1.8	1.04	0.0	1.31	1.73	2.55	0.0	0.54	7.61	0.67	2.28	2.55	0.13	2.22	0.48	0.89	1.22	0.81	0.99	0.47	0.94	0.89	1.99	1.29	2.12	1.62	0.19	1.22	1.09	0.96	2.27	0.82	1.01	1.35	1.59	0.53	0.98	0.9	0.69	1.48	1.11	1.64	1.55	2.44	3.75	0.1	0.96	1.43	0.51	0.72	0.72	0.77	1.42	0.48	0.41	4.21	3.81	5.47
Dhx37	0.59	1.9	0.36	1.01	1.92	1.28	0.0	0.02	4.39	1.23	1.58	1.15	1.84	0.0	0.47	0.75	0.5	0.64	0.58	0.71	0.93	0.94	1.77	11.0	0.3	1.27	0.84	22.05	0.86	1.21	0.8	1.53	1.2	0.89	0.85	1.8	0.74	0.88	0.9	0.74	1.65	2.0	1.82	6.5	4.14	0.0	0.71	0.51	0.2	0.33	0.88	0.96	1.14	0.53	0.26	10.77	10.37	10.38
Dst	21.91	31.79	10.12	11.38	0.75	18.83	17.62	2.6	146.94	14.21	39.43	13.62	23.25	0.0	7.91	30.06	14.43	13.8	15.18	9.22	7.08	10.53	35.19	7.88	20.87	5.19	10.91	27.22	23.37	27.26	27.98	41.12	8.03	7.87	6.53	26.84	20.84	4.56	9.73	12.93	19.09	19.06	29.39	40.23	25.79	2.28	13.48	16.04	8.33	22.66	7.06	34.63	14.32	8.19	0.79	86.74	75.28	94.07
E030010A14Rik	0.0	0.0	0.16	0.0	0.53	0.16	0.14	0.0	1.56	0.29	0.0	0.45	0.0	0.0	0.34	0.04	0.26	0.0	0.15	0.05	0.1	0.05	0.0	0.22	0.0	0.09	0.32	0.12	0.0	0.0	0.0	0.0	0.21	0.28	0.23	0.33	0.16	0.22	0.0	0.18	0.0	0.0	0.59	0.35	2.49	0.0	0.47	0.14	0.12	0.0	0.28	0.24	0.21	0.0	0.0	1.21	1.66	0.45
Ece2	30.0	21.35	0.0	52.44	29.41	30.2	0.0	0.0	173.63	0.21	0.0	0.0	0.0	0.0	38.56	0.0	4.76	0.0	0.04	0.57	0.04	42.47	0.0	30.83	43.24	0.0	26.02	0.16	0.67	0.0	71.79	0.34	0.0	12.2	20.08	28.08	8.57	10.38	3.61	2.13	0.0	12.56	87.86	0.0	60.96	0.0	144.76	2.65	0.0	0.1	0.0	0.0	2.89	0.0	0.0	20.48	24.05	25.74
Emx2os	0.45	0.38	0.08	0.25	0.91	1.32	0.0	0.0	2.14	0.05	0.1	0.31	0.45	0.0	0.4	0.27	0.31	0.18	0.32	0.16	0.13	0.23	0.27	0.29	0.46	0.15	0.06	0.21	0.21	0.69	0.4	0.04	0.28	0.33	0.2	0.67	0.28	0.25	0.09	0.13	0.19	1.98	0.32	1.25	1.93	0.0	0.13	0.1	0.12	0.12	0.22	0.22	0.23	0.15	0.0	2.09	1.82	2.23
Enox	0.88	1.04	0.44	30.99	7.36	1.65	0.0	0.0	3.83	0.42	1.85	0.84	1.42	0.0	0.37	1.09	0.55	0.19	1.15	0.54	0.87	0.54	0.92	0.87	0.9	0.32	0.75	2.26	0.48	1.18	1.37	0.87	1.2	1.08	0.3	1.49	1.33	1.22	2.7	1.41	0.96	2.43	4.49	5.51	6.88	0.05	0.59	1.02	0.37	0.69	0.75	2.43	0.72	0.32	0.28	5.72	4.12	4.5
