	Htr3a_tdTpositive_cell_88	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_54	Ntsr1_tdTnegative_cell_27	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_3	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_5	Rbp4_CTX_250ng_2
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
1700010D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
1700019G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
1700039E15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
1700058G18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85
1810033B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
2210020M01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62
2310014F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
2700081L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78
4921530D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81
4930525F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
4930562C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
4933407E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
9130017N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
9130019P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7
9430032N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86
A3galt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
A730020M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
AF357355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39
AI467606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.36	1.8
Abcc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55
Abhd16b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Abo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Acot6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01
Actl7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
Aire	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Ankar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
Aoc3	0.0	0.0	0.0	0.0	0.33	0.14	0.0	0.0	0.0	0.56
Aplnr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24
Aqp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Areg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24
Arid3c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
Arl13a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Armc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
Art5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
B230319C09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39
BC055111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
BC055402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
BC061237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Bnc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39
Bpi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Bpifb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Bpifb9a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Brs3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Bst1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32
C430049B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Ccdc42b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73
Ccdc64b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Cd276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	11.56
Cd300e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
Cd72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6
Cdc42bpg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12
Ceacam16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Ces1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Ces2d-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Clec14a	0.0	0.0	0.0	1.49	0.0	0.0	0.0	0.13	0.0	2.04
Clec1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Clrn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Cma2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Col6a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39
Col7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66
Colec11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95
Crb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86
Cubn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
Cyp17a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Cyp2c44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Cyp2t4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54
Cyp4a32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Cysltr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32
Cytl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78
D030025E07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
Dlec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56
Dpy19l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Duox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
E230019M04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
Efcab5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59
Eid3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
