	PvalbF.Gad2_tdTpositive_cell_53	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1110059M19Rik	0.0	0.09	0.09
1700018A04Rik	0.0	0.14	0.14
1700113H08Rik	0.0	0.07	0.07
2810459M11Rik	0.0	9.97	9.65
4921508D12Rik	0.0	0.09	0.09
5730590G19Rik	0.0	0.1	0.13
9430020K01Rik	0.0	74.16	66.09
9530053A07Rik	0.0	0.04	0.04
A930038C07Rik	0.0	6.39	6.69
Acacb	0.0	1.42	2.06
Ahnak	0.0	7.31	5.91
Aif1l	0.0	6.1	6.7
Apcdd1	0.0	24.99	23.13
Asmt	0.0	0.08	0.08
Atp10a	0.0	6.95	6.52
BC024582	0.0	0.07	0.07
Blk	0.0	0.04	0.04
C8b	0.0	0.04	0.04
Cd34	0.0	67.76	69.88
Cdc42ep1	0.0	16.55	16.4
Cdh5	0.0	8.68	7.96
Chst5	0.0	0.72	0.72
Cldn5	0.0	39.03	48.14
Clec1a	0.0	0.78	0.79
Cobll1	0.0	6.43	5.45
Col4a3	0.0	0.16	0.16
Crip2	0.0	143.4	161.38
Cxcl12	0.0	47.63	48.26
Cyp27b1	0.0	0.38	0.35
D030025P21Rik	0.0	0.05	0.08
Dnase2b	0.0	0.04	0.04
Dock1	0.0	11.99	11.25
Dpf3	0.0	3.63	2.47
Dsg1b	0.0	0.09	0.09
Dsg1c	0.0	0.32	0.32
Duox2	0.0	0.02	0.02
Efna1	0.0	5.59	5.14
Egfl7	0.0	40.47	44.71
Elovl1	0.0	17.58	19.15
F11	0.0	0.04	0.04
Fam187b	0.0	0.16	0.08
Fam55b	0.0	0.35	0.22
Fas	0.0	2.35	2.61
Flt1	0.0	19.22	19.16
Flt4	0.0	1.58	1.42
Fn1	0.0	21.05	18.19
Foxi1	0.0	0.04	0.04
Foxq1	0.0	4.47	4.51
Gabra6	0.0	0.04	0.04
Gbp4	0.0	2.7	1.56
Glt25d2	0.0	5.16	5.27
Gm13718	0.0	0.08	0.08
Gm17757	0.0	0.21	0.14
Gm572	0.0	0.14	0.14
Gm826	0.0	0.09	0.09
Gm884	0.0	0.02	0.02
Gpr116	0.0	13.09	13.5
Gpr119	0.0	0.04	0.04
Gpr150	0.0	5.45	5.17
Grhl1	0.0	12.77	12.77
Hhla1	0.0	0.04	0.04
Hist1h3f	0.0	0.14	0.14
Hoxc8	0.0	0.04	0.04
Hpd	0.0	0.07	0.07
Igfbp7	0.0	37.77	40.85
Itga1	0.0	3.91	3.22
Kank1	0.0	8.81	8.89
Kank3	0.0	17.8	20.97
Kdr	0.0	7.35	6.2
Khdc1b	0.0	0.04	0.04
Kif26a	0.0	3.27	4.13
Lipk	0.0	0.04	0.04
Lmx1b	0.0	0.08	0.08
Ly75	0.0	0.74	0.64
Mab21l2	0.0	0.04	0.07
Mal	0.0	212.07	214.76
Mip	0.0	0.09	0.09
Mmrn2	0.0	4.24	3.75
Ms4a4b	0.0	0.08	0.08
Ms4a8a	0.0	0.09	0.09
Msn	0.0	16.38	17.79
Muc1	0.0	0.8	0.83
Muc5b	0.0	0.01	0.01
Ndrg1	0.0	64.55	70.13
Neat1	0.0	55.42	57.07
Nfe2l2	0.0	13.61	14.67
Nhsl1	0.0	10.95	10.93
Nkx6-3	0.0	0.04	0.04
Nmi	0.0	3.68	2.97
Notch2	0.0	6.04	6.0
Nr1i2	0.0	0.04	0.04
Oas2	0.0	0.53	0.41
Pbx3	0.0	12.89	15.68
Pecam1	0.0	14.28	14.56
Perp	0.0	5.12	5.12
Pgap3	0.0	9.46	9.46
Plscr4	0.0	3.38	2.85
Podxl	0.0	15.65	16.48
Ppp1r13l	0.0	2.86	3.32
Ppp1r1c	0.0	0.07	0.07
Prom1	0.0	11.56	11.13
Psg27	0.0	0.11	0.05
Ptafr	0.0	1.31	0.93
Rag1	0.0	0.1	0.03
Rgs12	0.08	34.44	37.25
Rhbdf2	0.0	1.03	1.12
Rnf183	0.0	0.07	0.07
Robo4	0.0	4.74	5.15
Rras	0.0	15.53	18.66
S100a13	0.0	25.55	25.42
S100a16	0.0	87.16	92.23
S1pr1	0.0	116.4	110.54
Sepp1	0.0	247.36	249.94
Sft2d2	0.0	19.91	18.91
Slc19a3	0.0	2.65	2.22
Slc26a10	0.0	5.83	6.27
Slc35f2	0.0	4.04	3.91
Slc47a1	0.0	3.15	3.07
Slco2b1	0.0	11.2	11.11
Slco6c1	0.0	0.04	0.04
Sp100	0.0	3.55	3.51
Stra6	0.0	4.14	5.21
Syngr2	0.0	8.51	11.16
Tap2	0.0	7.0	8.13
Tbx3	0.0	1.8	1.45
Tex15	0.0	0.36	0.16
Tgif2	0.0	2.55	2.63
Tie1	0.0	7.93	9.35
Tinagl1	0.0	5.89	6.65
Tmc6	0.0	3.56	3.65
Tmem123	0.0	14.13	14.92
Tmem173	0.0	3.89	3.89
Tnfrsf1a	0.0	10.43	10.13
Tpte	0.0	0.04	0.04
Trim30d	0.0	1.22	0.9
Trim59	0.0	13.81	12.4
Tsga13	0.0	0.09	0.09
Tspan8	0.0	0.74	0.96
Vim	0.0	37.85	41.07
Vmn2r118	0.0	0.04	0.04
Vmn2r18	0.0	0.04	0.04
Wfdc1	0.0	8.17	11.1
Wipf1	0.0	8.37	8.33
Yap1	0.0	17.01	15.32
Yipf7	0.0	0.08	0.08
Zfp36l3	0.0	0.04	0.04
Zfp572	0.0	0.09	0.09
mt_AK131586	0.48	25813.35	24091.17
mt_AK166684	10.48	18796.57	17507.83
