	Chrna2_tdTpositive_cell_11	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_50	PvalbD.Slc32a1_tdTpositive_cell_36
1700001K19Rik	0.0	0.0	3.17	0.0	0.0	0.0
1700025G04Rik	0.0	0.0	19.83	37.79	19.97	12.24
1810064F22Rik	3.77	0.0	27.65	25.04	7.93	9.21
2810055F11Rik	0.0	0.0	53.5	97.72	0.0	0.0
2810433D01Rik	10.11	0.36	23.99	23.78	7.59	22.46
4930519F16Rik	0.0	0.0	18.81	0.0	0.0	0.0
4931406B18Rik	0.49	0.0	1.78	0.68	0.34	0.52
5031426D15Rik	2.55	0.0	5.04	3.83	4.36	1.53
5430416O09Rik	0.11	0.0	0.35	0.29	0.0	0.04
6330512M04Rik	16.99	0.0	86.85	46.26	0.07	14.71
9230105E05Rik	0.0	0.0	0.43	0.54	0.0	0.07
A430092G05Rik	0.0	0.0	0.54	0.0	0.0	0.09
A830080D01Rik	0.0	0.0	3.72	0.0	0.0	0.0
A930013F10Rik	0.19	0.0	38.42	95.73	0.1	1.53
AA536875	1.55	0.0	3.04	2.19	2.35	0.55
Acbd5	60.87	40.9	108.87	43.02	0.0	2.91
Acmsd	5.29	0.0	12.24	9.82	5.24	4.57
Adcy9	0.2	0.0	46.54	0.0	0.0	0.03
Agfg2	0.0	0.0	62.02	28.75	0.0	16.34
Amotl2	0.0	0.0	31.65	25.73	0.0	0.0
Amy2a2	0.08	0.0	0.25	0.11	0.33	0.15
Amy2a3	0.08	0.0	0.25	0.11	0.33	0.15
Amy2a4	0.08	0.0	0.25	0.11	0.33	0.15
Ankle1	0.66	0.0	4.22	1.41	0.9	0.96
Aph1c	0.45	0.0	35.88	62.91	15.13	0.41
Avl9	0.0	0.0	49.87	42.9	4.53	16.52
Bahd1	0.0	0.0	34.7	25.29	0.0	1.3
Btnl2	0.08	0.0	0.75	0.68	0.24	0.13
Cdc16	0.0	0.0	102.04	92.43	36.32	35.58
Chic1	20.93	0.0	64.49	0.52	38.91	35.08
Clec2e	0.0	0.0	0.43	0.0	1.49	0.0
Cox16	15.04	0.0	42.21	3.67	18.3	21.1
Cyp19a1	0.0	0.0	0.54	1.17	0.09	0.07
Dcaf7	42.58	0.0	151.05	86.75	28.76	0.05
Dgkg	31.24	0.0	150.7	11.35	29.97	49.21
E130307A14Rik	0.0	0.0	232.46	52.51	0.0	29.35
E230016K23Rik	5.0	0.48	14.62	8.42	5.75	8.27
Elfn1	0.0	0.0	0.26	0.29	0.0	0.0
Fam150b	45.51	0.0	233.26	86.47	0.0	11.26
Fam175b	68.96	0.0	98.88	217.97	1.82	58.53
Fbxo44	71.71	0.44	429.95	403.25	0.47	342.2
Fbxo7	0.0	0.0	84.49	115.35	0.0	0.0
Fzd4	0.0	0.0	29.27	0.0	0.0	0.0
G630055G22Rik	6.93	0.0	25.98	8.44	7.27	8.42
Gak	2.04	0.0	51.75	0.0	0.16	2.85
Gale	0.0	0.0	83.28	104.4	0.0	0.0
Gdf1	0.0	0.0	7.05	0.0	11.01	0.0
Gimap9	0.0	0.0	1.43	1.79	0.0	0.21
Gin1	18.1	0.0	83.64	63.8	0.0	48.64
Gins2	0.0	0.0	0.97	0.0	0.0	0.0
Glipr1l2	0.0	0.0	0.08	0.0	0.25	0.08
Gm11194	0.0	0.0	0.27	0.0	0.0	0.04
Gm6634	5.79	0.0	7.84	6.22	2.56	2.08
Gm9833	0.0	0.0	3.91	0.0	0.0	0.0
Kbtbd3	37.67	0.0	176.29	61.44	32.17	54.48
Kdelc1	0.59	0.0	94.09	80.21	0.0	0.13
LOC100504703	0.0	0.0	24.43	0.0	0.0	0.0
Lemd3	0.0	0.0	87.82	0.0	0.0	24.84
Maml3	0.0	0.0	1.47	0.0	0.0	0.04
Mis12	0.0	0.0	95.21	152.89	0.0	44.47
Mrpl10	87.79	0.0	138.83	176.62	94.86	23.97
Mrpl47	103.59	0.0	180.36	262.55	50.5	74.37
Mrps17	107.22	0.0	251.42	279.16	286.9	89.42
Naip2	2.12	0.21	3.01	2.87	1.2	3.53
Nfat5	5.36	0.03	23.61	22.29	0.49	3.09
Nmt2	0.49	0.0	100.02	63.02	1.03	70.49
P2ry4	0.13	0.0	1.5	0.29	1.36	0.25
Papd7	3.65	0.0	57.07	16.6	35.83	8.82
Ppap2a	4.06	0.0	167.2	164.04	0.0	0.0
Ppp2cb	0.0	0.0	158.63	0.0	7.53	127.98
Ppp2r3c	54.69	0.0	81.14	86.71	0.49	54.17
Psmd10	206.67	0.0	176.89	327.07	61.79	70.21
Ptprn	6.32	0.0	112.57	99.25	7.7	31.13
Pycrl	180.14	0.0	231.92	225.62	148.55	94.98
Rab1	129.2	0.0	295.67	465.39	62.76	137.53
Rab43	0.0	0.0	59.54	21.53	0.0	0.0
Racgap1	0.0	0.0	0.32	0.0	0.0	0.0
Rbm14	0.0	0.0	41.68	58.95	0.0	2.11
Rqcd1	169.39	0.31	200.59	170.57	148.54	87.43
Selplg	0.63	0.0	2.31	1.63	0.0	0.19
Slc16a14	0.0	0.0	102.33	0.0	0.2	0.0
Slc20a1	81.03	0.0	119.45	98.49	0.0	101.87
Slc23a1	5.8	2.25	13.18	15.13	7.18	4.84
Smarcad1	0.1	0.0	35.19	32.95	0.31	27.1
Smg5	3.99	0.0	14.68	17.06	0.0	9.26
Snai2	0.9	0.0	2.5	1.98	0.68	1.12
Snhg3	248.33	0.0	432.01	239.4	77.51	48.74
Srsf4	0.0	0.0	47.47	47.88	0.0	0.07
Srsf9	38.32	0.0	192.27	66.16	21.28	87.7
Strada	0.0	0.15	85.23	74.36	76.16	4.19
Tac1	7648.19	0.0	6618.42	5725.34	11032.51	6135.38
Tmem63b	27.53	0.0	40.84	61.48	0.15	22.69
Trpv2	5.0	0.0	76.36	86.03	0.0	0.0
Tsta3	89.79	0.0	388.34	94.71	236.95	41.15
Txnl1	69.28	0.0	106.52	71.76	67.17	0.0
Xbp1	0.0	0.0	126.74	183.43	0.0	99.82
Zbed6	2.54	0.0	27.39	29.41	20.03	3.9
