	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_4	Tac2_tdTpositive_cell_5
4930451C15Rik	1.28	12.41	1.87	7.47	10.81	5.2	14.25	10.88	6.59	6.78	7.52	11.65	9.87	5.06	12.67	6.98	16.01	9.51	22.29	25.04
4930511M06Rik	2.6	86.32	10.35	31.43	66.05	38.21	68.26	82.59	38.62	32.45	53.73	70.66	60.3	27.49	48.0	60.72	102.76	55.24	116.01	92.57
4933405D12Rik	1.3	14.08	1.76	10.79	6.47	11.94	8.45	4.69	9.86	5.37	3.45	4.48	7.6	6.01	4.62	6.97	7.4	5.06	12.44	11.8
4933408N05Rik	0.81	2.04	0.0	2.07	1.69	0.6	0.74	0.93	1.96	1.01	2.21	2.16	3.71	1.83	1.47	1.5	3.17	2.46	3.44	4.68
5730469M10Rik	77.19	100.45	0.33	59.93	49.62	170.37	234.63	84.92	79.97	79.63	140.51	74.8	128.08	187.7	51.04	76.71	237.35	50.08	169.47	287.71
6030422M02Rik	0.37	44.71	0.1	27.22	53.92	22.01	56.42	53.95	22.1	25.17	47.76	36.8	43.0	26.38	42.01	45.25	68.0	55.05	70.73	83.1
A630075F10Rik	0.15	12.35	0.0	10.19	12.16	4.39	11.18	9.51	3.61	8.0	7.24	8.32	8.66	4.53	8.02	9.08	21.19	9.52	18.3	17.05
AU022754	0.47	1.26	0.16	2.73	2.4	0.95	0.0	0.63	0.96	0.85	2.37	1.4	0.87	0.22	1.6	1.83	1.24	2.13	2.47	3.11
Acnat1	0.37	14.52	0.31	7.88	11.2	5.84	12.09	12.7	5.73	7.62	11.5	10.24	11.26	4.55	12.88	6.57	22.14	14.24	72.69	15.43
Ahcyl1	110.04	195.53	88.98	115.81	208.27	86.28	92.16	174.85	180.09	156.55	117.65	108.84	172.17	103.15	275.38	138.51	161.62	120.02	153.95	196.98
Arhgap21	0.0	9.11	1.7	27.61	16.53	16.89	0.0	20.33	17.76	8.26	2.67	3.36	27.5	4.15	30.32	0.26	46.6	41.49	68.86	39.92
Ash1l	33.8	45.77	4.5	4.01	38.54	0.16	33.13	35.48	7.49	18.03	40.67	14.37	33.29	3.56	3.27	15.44	7.89	1.22	57.03	60.6
B020014A21Rik	0.79	19.33	0.0	8.64	7.42	8.41	13.51	12.04	7.79	6.21	10.16	11.01	14.39	3.53	19.78	9.15	21.22	13.59	19.42	15.11
Bfar	131.13	98.96	110.86	88.15	75.4	59.75	120.79	40.19	84.6	68.23	38.01	57.26	86.84	44.96	82.75	98.5	131.59	27.54	221.14	221.13
Btbd16	0.0	13.13	0.25	12.88	10.38	6.26	9.51	9.1	5.16	8.66	11.86	12.1	17.24	6.72	13.72	9.8	16.25	7.36	25.54	21.28
Cdk17	0.0	2.06	39.56	76.68	28.99	0.13	47.53	42.23	46.46	7.66	18.29	2.97	66.23	0.0	0.0	1.97	95.27	3.07	80.42	94.56
Clrn1	0.0	6.39	0.0	0.29	4.36	0.0	0.23	2.25	0.44	0.36	0.0	1.56	1.9	0.41	0.33	0.0	4.24	0.54	2.96	4.8
