	Calb2_tdTpositive_cell_48	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_5
2310004I24Rik	15.71	0.0	0.0	0.0	0.39	0.86	0.0	174.72	76.53	97.18	64.05	0.0	0.0	168.43	151.74	2.6	64.73	0.0	0.0	0.0	1.51	131.31	2.66	14.74	0.41	99.52	0.0	3.93	3.74	0.0	0.0	0.0	2.3	28.79	5.31	52.4	0.0	10.91	0.0	0.85	9.51	30.82	5.52	0.0	67.95	1.86	0.0	50.27	0.0	0.0	41.65	0.25
Acyp1	0.0	0.0	0.0	0.0	93.88	86.94	0.0	83.49	177.81	156.85	119.34	131.4	258.17	100.27	443.77	205.84	191.55	120.71	0.0	277.29	139.12	143.64	151.69	309.69	1.01	152.03	162.56	0.0	193.11	0.0	99.56	141.33	149.2	128.09	191.2	171.9	109.28	224.68	212.19	288.78	196.92	92.2	52.7	79.63	193.73	77.74	14.98	133.46	0.0	0.0	0.0	1.22
Aig1	0.0	0.0	0.0	0.0	97.94	155.76	0.0	57.05	1.38	16.43	149.85	0.0	8.41	53.53	249.1	37.49	17.09	80.01	64.94	35.85	62.4	118.58	49.1	111.44	0.0	88.75	3.15	40.21	36.64	54.23	105.83	23.25	81.74	63.94	64.69	66.18	107.8	136.08	25.66	2.44	93.87	71.69	30.71	100.6	66.54	0.0	48.39	41.79	0.37	0.0	0.0	25.67
Alg13	0.0	0.0	0.0	0.0	33.25	50.08	0.0	23.83	0.0	5.62	0.21	1.27	0.0	1.54	41.14	9.83	0.0	0.0	0.0	0.0	0.0	0.0	18.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	8.51	0.0	0.0	0.0	0.12	0.0	0.0	0.94	0.0	0.0	0.0	0.0	1.35	0.0	30.29	0.0	0.0	0.0	0.0
C1d	0.0	0.12	0.0	0.0	190.19	132.94	4.2	145.29	61.23	10.33	76.06	114.19	85.37	62.36	136.42	100.64	147.51	90.67	52.38	91.56	88.4	132.96	159.59	234.15	53.85	78.19	63.44	98.23	89.42	73.78	96.41	36.93	110.72	96.56	96.98	113.45	78.91	180.45	45.28	73.5	81.72	175.78	49.17	63.14	179.19	38.12	86.49	88.59	0.13	0.0	36.17	0.87
Ccdc9	0.0	0.0	0.0	0.0	6.04	12.61	0.0	0.0	0.0	0.0	0.17	0.78	0.0	0.0	19.06	0.65	9.99	0.0	0.0	0.23	0.0	1.65	0.9	0.0	0.0	0.0	0.0	0.0	19.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.01	5.6	3.01	0.0	0.0	9.55	0.27	8.33	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0
Cdk2ap1	0.0	0.0	0.0	0.23	62.87	94.0	0.73	33.08	18.41	16.48	2.52	0.0	3.34	0.0	25.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	3.98	0.0	37.55	0.0	4.33	59.34	0.0	27.5	0.0	41.53	2.29	80.88	0.0	0.0	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cox15	0.0	0.0	0.0	0.13	26.37	39.65	0.0	40.97	17.1	24.26	30.46	28.29	28.47	36.55	81.15	17.94	41.41	15.78	20.95	19.23	17.25	40.79	73.78	29.82	24.14	19.12	1.61	21.75	12.17	9.75	126.44	56.47	102.73	88.11	54.92	54.1	151.17	39.78	24.37	22.05	22.9	0.28	37.57	10.75	65.66	4.61	12.58	41.48	0.0	0.16	0.0	0.19
Csrnp2	0.0	0.0	0.0	182.12	23.72	12.82	0.0	42.91	42.33	50.6	17.99	0.0	50.41	21.37	37.21	22.17	46.95	25.06	35.14	0.0	46.27	10.78	74.52	33.22	0.15	46.24	1.96	16.57	0.0	0.06	20.36	0.0	16.98	4.3	27.05	0.0	0.0	21.32	17.71	54.08	30.18	0.0	18.04	52.29	47.92	0.0	1.63	19.1	0.0	0.0	0.24	0.0
Dclk2	0.0	0.0	0.0	0.0	28.75	26.68	0.0	9.9	0.34	2.11	9.74	0.9	3.78	0.0	46.55	2.96	2.91	3.06	5.41	0.39	6.65	3.08	14.19	0.0	0.0	25.0	28.4	15.16	0.83	3.71	0.0	0.0	0.36	0.18	7.64	1.0	6.4	9.45	3.64	4.68	8.02	0.0	0.79	4.37	30.53	18.86	0.0	1.24	0.0	0.0	0.0	0.0
