	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_104	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_7	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310003C23Rik	1.1	1.83	3.01	1.6	1.31	93.58	0.0	118.94	87.29	1.88	19.53	0.5	2.28	48.02	16.42	1.54	1.61	0.81	16.27	0.35	61.03	0.56	0.78	2.34	49.3	3.05	2.19	44.64	43.83	43.42
Arhgap39	0.0	0.0	2.75	0.09	0.0	10.91	0.0	8.67	0.04	0.0	0.0	0.0	0.02	0.0	0.0	0.0	6.99	0.0	0.0	0.0	25.25	0.0	0.0	0.06	9.28	0.0	0.0	43.44	45.47	45.88
Asap3	0.12	0.7	0.0	0.13	0.09	0.76	0.0	0.62	0.39	0.18	0.24	0.08	0.09	0.0	0.06	0.39	0.84	0.37	0.18	0.06	0.33	0.0	0.07	0.2	0.54	0.7	0.12	2.38	2.94	3.15
C1ql3	0.0	0.0	0.0	0.0	0.0	81.2	0.0	157.45	0.0	22.75	163.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.07	0.0	0.0	8.57	0.0	67.86	0.0	117.91	110.24	121.65
Cbr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.96	122.2	0.0	0.0	0.0	147.36	1.28	0.0	0.0	0.0	0.0	0.0	0.0	166.78	0.0	0.0	0.0	0.0	0.0	0.0	18.33	16.59	17.71
Ccdc142	0.0	0.0	0.0	0.0	0.0	13.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.09	0.0	0.0	0.0	0.21	0.0	0.0	8.09	10.04	10.13
Cdk14	20.06	13.72	81.95	88.8	0.38	150.57	0.0	43.58	47.53	16.08	87.45	44.78	6.86	72.62	56.97	29.66	69.78	8.91	39.43	2.11	109.72	13.54	15.56	71.7	86.29	12.63	12.5	106.05	101.35	101.53
Dopey2	0.0	0.0	0.0	0.5	1.22	6.76	0.0	0.68	16.21	0.0	4.0	0.0	0.01	0.55	0.0	1.58	12.72	0.0	0.86	0.0	10.97	0.0	0.0	1.18	0.0	0.0	0.0	39.74	37.78	40.38
Ecm2	0.0	0.63	0.16	0.41	0.41	1.4	0.0	1.49	0.18	2.75	0.12	0.19	0.06	0.19	0.07	0.83	0.55	0.11	1.1	0.0	1.22	0.52	0.0	0.35	0.9	1.12	1.7	4.56	4.02	5.06
Fam65b	1.58	1.35	0.52	1.14	1.39	8.74	0.0	1.36	70.94	1.45	2.11	1.13	0.38	1.09	1.2	1.3	4.19	1.08	0.78	0.41	25.67	0.14	0.71	6.92	0.88	1.06	0.86	37.06	39.46	37.17
