	Chrna2_tdTpositive_cell_49	Pvalb_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_13	PvalbD.Slc32a1_tdTpositive_cell_14	Sst_tdTpositive_cell_100	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200016B10Rik	0.0	21.31	0.45	4.74	0.0	5.44	4.92	5.81
1700054N08Rik	0.0	81.49	0.0	0.0	0.0	56.5	60.27	59.05
2510012J08Rik	0.0	6.43	0.0	0.0	0.0	24.34	28.62	27.12
2610301G19Rik	0.0	83.24	1.47	0.0	0.0	61.22	63.56	61.78
2810055F11Rik	0.0	8.83	0.0	0.0	0.66	3.33	2.53	4.22
A330076C08Rik	0.0	0.28	0.0	0.19	0.0	0.87	0.63	0.69
Actr5	0.0	0.22	0.0	0.0	0.0	7.61	7.48	7.0
Ada	0.0	0.66	0.0	0.0	0.0	0.55	0.4	0.44
Agps	11.86	36.12	13.01	0.0	0.0	17.77	17.06	17.29
Ankrd13d	0.0	114.0	0.45	2.68	0.0	58.38	59.24	61.04
Ano1	0.0	0.11	0.0	0.0	0.0	1.96	2.63	2.26
Arhgap4	0.0	8.28	0.0	0.0	0.0	3.23	3.34	3.76
Arhgef26	0.0	0.1	0.0	0.0	0.0	16.25	15.83	16.2
Bin1	38.82	60.05	15.63	0.0	0.0	228.71	237.59	245.82
Cables1	0.0	52.68	0.0	0.0	0.0	15.82	19.13	14.69
Cacna1e	0.0	35.45	0.15	19.88	0.0	78.28	66.78	84.4
Ccdc141	0.0	17.9	0.0	0.0	0.0	7.78	7.48	9.07
Cd27	0.0	0.43	0.0	0.0	0.0	0.48	0.22	0.48
Cdc42ep4	0.0	64.12	0.0	0.0	0.0	23.42	25.96	22.87
Chmp1a	0.0	94.43	0.0	82.89	0.06	102.44	108.41	114.89
Col4a1	0.0	6.02	0.0	1.17	0.0	17.89	19.77	25.58
Cuedc1	0.0	4.18	0.0	0.0	0.0	19.89	23.12	23.61
Cxx1a	25.88	40.19	0.0	0.0	0.0	133.83	145.01	142.69
Cyb5r2	0.0	0.58	0.0	0.0	0.0	0.14	0.38	0.19
D10Wsu102e	0.0	63.85	0.0	0.0	0.0	15.84	15.63	14.99
Dhx38	0.0	37.36	0.0	0.0	0.0	22.37	22.56	23.56
Dlgap4	0.07	83.92	0.0	0.0	65.86	141.07	142.88	143.51
