	Rbp4_tdTnegative_cell_16	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700088E04Rik	0.0	0.0	5.88	4.5	4.33
2010005H15Rik	0.0	0.0	0.2	0.37	0.2
2700081L22Rik	0.0	0.0	1.16	0.78	0.68
3110007F17Rik	0.0	0.0	4.63	3.84	3.87
4921531C22Rik	0.0	0.0	2.4	2.01	3.66
4922501C03Rik	0.0	0.0	5.96	4.67	6.17
4930403N07Rik	0.0	0.0	0.04	0.04	0.04
4930420K17Rik	6.43	0.0	13.13	13.26	16.54
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
4933406I18Rik	0.0	0.0	1.85	1.35	1.98
5730419I09Rik	0.0	0.0	42.57	40.84	43.63
5730420D15Rik	0.0	0.0	0.26	0.08	0.18
5730522E02Rik	0.0	0.0	4.0	3.34	5.49
6330403A02Rik	0.0	0.0	129.61	129.26	131.62
6330407A03Rik	0.18	0.0	0.11	0.24	0.22
6530418L21Rik	0.0	0.0	62.45	58.55	56.76
A230057D06Rik	0.0	0.0	9.49	7.06	9.89
Aaas	0.0	0.0	14.12	13.66	13.6
Acaa1b	0.0	0.0	1.0	1.05	0.65
Actn4	7.24	0.0	91.94	95.06	96.65
Amt	0.0	0.0	27.52	24.91	25.98
Ankrd13a	0.0	0.0	31.18	31.76	31.28
Apoe	0.0	0.0	1751.2	2087.69	2030.23
Aqp4	0.0	0.0	58.68	55.56	73.11
Asph	30.18	0.0	110.31	113.31	106.12
Atp1b2	0.12	10.74	312.68	315.43	314.48
Atp8a2	0.0	0.0	22.76	20.31	22.95
Atp8b3	0.0	0.0	0.04	0.04	0.09
B020004J07Rik	0.0	0.0	0.0	0.49	0.26
BC049715	0.0	0.0	1.62	2.13	2.06
Bcat2	0.0	0.0	14.31	13.77	12.97
Blk	0.0	0.0	0.04	0.04	0.04
Bloc1s3	9.2	0.0	16.15	16.72	15.16
C1qtnf3	0.0	0.0	0.17	0.12	0.26
C8b	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.1	0.09	0.1
Cbln3	0.39	0.0	0.5	0.77	0.44
Cd244	0.02	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.05	0.05	0.05
Chpf2	0.0	0.0	40.55	43.75	46.77
Chrnb2	0.06	0.0	26.52	28.27	28.28
Cndp1	0.0	0.0	0.17	0.1	0.18
Cops7b	0.0	0.0	23.92	21.65	21.84
Cubn	0.0	0.0	0.23	0.2	0.21
Cyyr1	0.0	0.0	3.47	2.83	2.85
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Ddr1	0.0	0.0	49.01	57.35	57.3
Dis3	0.0	0.0	10.13	9.6	11.02
Dnaic1	0.0	0.0	2.41	2.5	2.42
Dspp	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Elmo2	0.34	0.08	102.93	103.32	108.88
Elovl1	0.23	0.0	17.58	19.15	20.46
Enho	0.0	0.0	55.83	66.53	64.27
Erap1	0.0	0.0	6.61	6.59	6.65
