	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
2210403K04Rik	0.0	377.58	0.0	255.46	227.68	0.91	0.0	0.65	0.1	41.85	172.15	95.42	133.76	110.8	128.75	157.12	183.83	109.84	165.52	83.93	46.83	0.25	0.0	20.33	97.13	248.83
Ahsa1	121.99	169.67	0.26	330.41	127.96	11.04	148.97	75.77	60.27	92.92	294.97	428.12	378.91	273.57	398.72	369.09	274.32	296.47	151.59	424.89	72.17	481.26	0.19	863.61	350.62	220.04
Ak4	0.0	0.0	0.0	4.27	0.0	0.04	0.0	0.0	0.0	1.26	4.85	6.17	3.82	4.82	5.79	5.92	5.74	4.95	0.0	0.0	0.0	0.0	0.0	5.85	0.0	0.0
Arpc5l	0.0	216.87	892.59	252.21	103.42	0.48	0.0	79.15	4.1	248.23	193.89	204.03	166.84	165.82	145.66	190.65	81.65	103.28	146.94	76.42	80.1	0.0	0.19	424.42	0.37	80.74
Asb6	2.84	18.96	0.0	83.05	0.0	0.38	0.0	0.0	0.0	13.38	16.03	65.19	41.29	28.7	33.26	27.77	39.63	31.96	1.27	0.0	0.0	0.0	21.16	10.1	1.09	11.88
BC005624	636.97	243.39	0.52	402.31	2.11	234.69	111.12	130.22	127.33	93.3	310.54	380.38	250.47	215.89	349.46	330.8	279.03	333.84	323.08	120.13	563.32	267.36	127.34	602.65	216.69	456.86
Bcl2l1	86.59	0.14	0.0	120.25	79.16	49.23	8.58	0.0	0.0	78.19	78.93	120.95	73.5	133.06	138.51	111.48	99.74	82.13	0.23	1.81	27.64	0.0	0.0	0.0	0.0	43.76
Bub3	240.79	131.72	0.5	317.98	143.51	35.11	66.37	196.58	1.69	263.12	264.79	279.79	246.73	269.87	229.41	254.2	248.47	246.19	0.26	81.12	12.2	288.91	118.05	2.83	189.8	74.23
C230052I12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.78	5.04	6.96	0.0	14.39	0.0	10.47	5.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calm2	19578.34	24749.41	13802.61	21064.56	20654.99	19103.2	17763.8	18504.84	16696.79	20660.56	15887.21	17363.25	16198.04	15858.62	15343.8	18644.66	18004.95	16099.57	19423.54	22860.58	23322.9	25106.81	21777.08	23557.63	18864.48	19735.95
Cdkn1a	61.22	0.0	0.0	10.62	130.45	0.21	23.57	0.0	0.0	0.0	62.45	81.31	36.79	37.3	6.52	50.14	20.03	42.92	0.0	0.0	49.62	0.23	0.0	0.2	0.0	0.0
Cog4	0.14	0.0	0.12	17.19	31.67	0.29	0.0	0.41	0.0	0.23	59.26	42.9	58.15	77.28	53.33	34.66	61.85	60.21	0.0	0.1	2.57	24.29	0.0	0.0	0.33	3.02
Dnajc7	0.0	317.67	0.59	234.42	85.1	142.8	8.8	61.98	0.0	128.76	198.06	220.14	232.13	273.1	248.69	156.89	193.7	190.08	70.47	19.76	313.59	79.14	31.49	373.87	0.0	215.13
Eif4ebp1	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	14.65	7.0	0.0	0.26	0.0	0.32	2.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Elavl4	88.25	60.05	0.18	154.91	121.6	150.5	129.23	80.73	9.56	103.35	108.17	136.69	184.88	213.15	134.21	175.84	166.08	149.78	68.08	30.65	126.2	89.95	62.57	88.53	43.22	100.0
Fhad1	17.42	21.97	0.0	0.0	0.0	0.05	0.0	0.53	0.0	0.0	3.92	2.94	2.93	4.81	15.9	7.45	9.65	6.97	0.0	0.0	1.78	0.0	0.0	0.0	0.0	1.63
Gas7	84.69	52.57	0.1	75.55	15.36	47.56	21.77	68.64	10.14	98.82	111.56	116.74	129.82	137.35	133.52	114.27	518.4	524.85	56.47	57.61	47.2	22.32	8.68	256.08	19.06	78.22
Gm14430	0.0	0.16	0.0	8.97	0.0	1.35	0.0	0.2	0.0	0.0	6.07	1.76	6.89	5.17	4.81	3.28	4.14	5.97	29.41	2.35	0.0	0.0	0.0	0.86	0.05	0.69
Gm14434	0.0	0.16	0.0	8.97	0.0	1.35	0.0	0.2	0.0	0.0	6.07	1.76	6.89	5.17	4.81	3.28	4.14	5.97	29.41	2.35	0.0	0.0	0.0	0.86	0.05	0.69
Gm2002	0.16	0.2	0.14	0.22	4.1	0.0	0.38	0.24	0.15	0.0	0.21	2.82	2.35	3.62	0.41	0.96	1.27	4.28	0.21	0.17	27.58	0.0	0.28	0.0	0.09	0.06
Gm4724	0.0	0.16	0.0	8.97	0.0	1.35	0.0	0.2	0.0	0.0	6.07	1.76	6.89	5.17	4.81	3.28	4.14	5.97	29.41	2.35	0.0	0.0	0.0	0.86	0.05	0.69
Gm5434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.26	0.0	0.65	0.2	0.18	0.14	0.21	0.25	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.43
