	Chrna2_tdTpositive_cell_41	Gad2_tdTpositive_cell_43	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_66	CAV_LP_Ipsi_tdTpos_cell_2
2010012O05Rik	148.88	51.34	111.48	75.67	46.64	92.09	19.38	117.72	78.74	70.72	33.6	76.68	26.07	42.6	90.27	56.21	136.36	104.75
2310011J03Rik	137.62	0.0	0.0	1.17	1.99	0.56	0.0	0.0	0.0	0.0	63.86	81.64	22.97	58.56	0.0	5.47	0.0	43.59
2810433D01Rik	17.45	9.36	4.03	3.39	6.31	6.32	7.4	4.94	4.61	3.66	9.04	19.0	7.64	12.08	27.72	16.25	16.65	17.42
4921536K21Rik	0.33	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
4933408N05Rik	8.56	0.0	0.0	2.07	1.33	0.6	1.32	0.74	0.93	1.96	1.01	3.36	2.21	3.71	1.47	2.46	2.59	3.42
5930416I19Rik	76.88	19.76	0.0	0.0	0.0	46.31	0.0	0.0	0.0	37.8	37.09	116.83	11.63	13.57	43.85	22.79	82.06	50.1
6030408B16Rik	12.75	3.24	0.0	2.42	6.95	0.87	0.0	1.01	3.28	2.52	4.06	7.58	11.85	15.47	12.5	8.3	10.99	7.84
A730017L22Rik	91.62	47.54	0.58	38.88	49.34	32.28	31.77	64.62	49.83	31.05	40.4	130.15	47.63	63.84	121.21	51.44	79.17	74.09
Ahi1	171.69	0.13	0.0	50.96	20.27	38.63	0.65	8.15	53.09	12.53	8.11	90.7	20.83	40.07	29.63	65.41	10.25	134.54
Amy2a2	0.5	0.2	0.0	0.14	0.0	0.04	0.0	0.07	0.14	0.07	0.14	0.23	0.7	0.23	0.16	0.09	0.25	0.28
Amy2a3	0.5	0.2	0.0	0.14	0.0	0.04	0.0	0.07	0.14	0.07	0.14	0.23	0.7	0.23	0.16	0.09	0.25	0.28
Amy2a4	0.5	0.2	0.0	0.14	0.0	0.04	0.0	0.07	0.14	0.07	0.14	0.23	0.7	0.23	0.16	0.09	0.25	0.28
C630028M04Rik	0.85	0.18	0.04	0.51	0.16	0.15	0.0	0.0	0.33	0.0	0.0	0.55	0.22	0.53	0.4	0.52	0.21	0.6
Ccl27b	23.5	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	1.23	2.62	4.77	8.14	9.34	0.0	19.49
Cd300a	12.19	6.13	2.22	5.52	6.69	6.19	4.36	7.17	6.79	4.68	5.2	13.21	7.35	6.49	6.26	8.03	14.74	11.65
Fryl	42.4	6.8	2.73	0.0	0.05	4.72	4.96	7.19	5.11	4.78	5.98	26.85	7.08	18.98	0.19	12.64	34.39	10.56
Glo1	576.55	25.07	312.18	341.9	278.8	249.83	0.0	184.07	270.38	227.89	104.37	382.16	351.29	184.88	239.91	86.08	464.84	451.64
Gm10791	9.38	4.02	2.27	4.59	3.7	2.99	1.5	2.31	2.8	1.74	3.32	6.38	4.26	4.11	4.15	5.61	6.46	4.63
Gm13306	23.5	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	1.23	2.62	4.77	8.14	9.34	0.0	19.49
Gm19784	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
Gm2506	23.5	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	1.23	2.62	4.77	8.14	9.34	0.0	19.49
Hmgb1-rs17	1.92	0.0	0.18	0.36	0.39	0.0	0.38	0.76	1.02	0.52	0.42	1.5	1.49	0.0	1.89	0.74	1.02	1.52
Ldhb	5730.14	9309.63	10118.08	10894.4	9343.6	9602.81	5136.0	11261.44	10004.69	9074.03	13571.31	4541.46	12546.17	9755.78	11010.48	11746.38	6038.57	4063.07
Magee1	149.83	37.69	0.42	44.78	20.58	32.2	0.0	19.79	8.77	4.45	29.99	42.58	31.45	22.07	19.7	0.17	150.73	53.33
Mtf2	158.36	0.31	1.18	4.84	0.0	3.7	0.0	0.17	4.75	36.82	1.43	51.85	54.75	26.72	86.14	9.56	74.33	156.41
Pcm1	44.78	16.63	0.0	6.86	6.25	5.72	0.0	10.22	59.35	3.62	16.31	36.23	16.82	13.93	25.82	39.24	36.14	39.56
Pglyrp2	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.32	0.0
Ppp1r15b	28.86	0.04	0.43	0.34	0.66	0.08	0.0	0.0	0.06	0.12	0.19	1.12	0.33	0.27	1.07	0.22	10.86	14.32
Ppp1r7	366.17	39.07	49.83	27.19	130.46	74.09	43.36	127.8	48.77	54.69	59.24	147.62	37.56	74.77	64.92	45.59	43.71	200.62
Rpl37a	748.62	226.81	391.17	361.69	255.78	231.28	414.14	344.39	445.04	289.16	341.84	461.61	342.0	206.45	416.13	349.58	520.45	470.46
Sftpb	0.41	0.0	0.0	0.0	0.21	0.0	0.17	0.18	0.0	1.16	0.0	0.16	0.04	0.0	0.0	0.31	0.31	0.35
Skint3	1.32	0.0	0.0	0.09	0.3	0.0	0.0	0.36	0.25	0.0	0.23	0.08	0.0	0.24	0.3	0.18	0.0	0.1
Spint3	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	1.06	1.09	0.0	0.0
Synpo	35.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78	0.0	0.0	0.0	0.0	31.18	27.1
T2	1.98	0.38	0.15	0.0	0.65	0.52	0.0	0.0	0.36	0.49	0.53	0.72	0.71	0.72	1.56	1.47	1.58	1.28
Timm8a2	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0
Tmem88b	16.31	1.92	0.7	4.74	6.31	2.72	5.14	3.8	4.33	2.48	2.48	4.2	6.11	3.63	6.58	2.68	13.55	5.81
Ush1g	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1
Yipf1	335.02	0.0	168.08	0.79	0.45	70.29	0.0	0.0	60.6	117.93	47.54	101.56	185.41	172.26	130.65	180.22	122.65	189.5
Zc3h10	56.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.82	0.0	0.0	0.0	0.0	0.0	98.23	0.0
Zfp518b	58.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.13	0.06	0.44	0.0	0.0	0.0	0.0
c8_tRNA-Ala-GCA	135.18	0.0	0.0	0.0	0.0	0.0	0.0	20.29	0.0	28.55	0.0	24.35	32.03	35.11	9.13	0.0	101.49	70.99
c9_tRNA-Ala-GCA	133.11	51.11	0.0	23.1	0.0	0.0	0.0	0.0	0.0	0.0	11.59	12.92	18.08	19.36	0.0	0.0	119.7	0.0
mt_AK140152	77.68	20.45	0.0	31.99	0.0	31.59	0.0	0.0	0.0	0.0	23.73	9.08	21.57	15.14	59.94	7.19	83.54	38.22
