	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_47	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700025G04Rik	0.0	22.33	7.43	6.53	0.14	0.0	5.12	10.91	0.08	11.08	0.5	0.77	27.76	5.97	0.0	1.05	6.81	1.81	10.09	16.13	0.0	5.33	0.08	20.1	4.41	0.0	3.25	3.3	9.34	0.0	29.94	27.1	29.87
2900026A02Rik	0.0	30.56	1.14	0.2	0.7	0.0	0.13	0.8	0.0	0.84	0.85	0.17	12.12	0.26	0.05	0.34	0.24	0.31	1.05	0.31	0.0	2.81	1.64	12.64	1.0	0.48	1.26	0.31	0.53	0.61	31.56	36.11	29.76
3110047P20Rik	0.0	41.79	0.06	0.0	0.0	0.0	0.0	0.04	8.18	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.71	21.32	21.77
4930526D03Rik	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.15
6430704M03Rik	40.96	54.74	12.33	1.38	2.17	35.05	10.72	34.59	37.74	1.4	0.0	23.27	3.46	7.71	0.15	28.3	0.0	0.0	4.47	7.44	21.13	29.6	32.36	8.76	0.0	0.0	0.0	0.82	46.4	0.0	157.21	140.8	157.89
Abcb10	17.73	48.17	5.8	2.32	0.0	22.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.42	0.0	0.0	3.7	0.0	0.0	0.0	17.28	24.38	13.72	0.0	0.0	29.07	0.0	0.0	0.0	0.0	16.53	18.62	18.24
Abcg3	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.28	0.13
Agtpbp1	23.04	116.74	50.33	61.27	23.76	42.88	28.95	87.02	22.64	38.18	32.7	27.29	92.3	21.91	9.86	34.05	82.09	23.37	60.61	0.07	92.55	46.62	53.08	46.67	67.76	2.22	3.04	16.05	18.64	0.0	116.88	108.27	115.49
Anapc2	177.43	100.44	36.08	24.51	35.93	49.35	109.87	46.29	14.52	5.59	0.0	43.31	35.28	2.01	0.0	19.53	0.0	0.0	33.92	16.04	14.52	31.34	6.65	14.55	0.0	1.07	66.95	24.66	22.78	0.0	72.78	76.34	71.28
Appl1	10.86	103.7	27.18	16.05	18.58	17.65	1.22	9.1	1.53	49.61	16.8	51.18	25.09	20.99	18.22	11.24	33.75	3.67	17.87	15.84	29.19	34.0	10.3	45.51	35.65	40.39	19.84	30.05	0.36	0.0	48.69	42.08	48.06
Arhgef25	0.0	53.33	0.0	1.35	0.0	0.11	0.0	9.21	0.35	25.15	0.0	0.29	14.45	0.93	0.0	0.0	3.35	0.0	8.6	0.0	0.0	3.36	20.72	0.0	11.94	0.0	3.95	0.0	9.78	0.0	162.76	176.05	166.66
Auts2	17.91	18.87	3.23	0.08	1.26	0.0	6.72	0.16	7.54	1.33	3.25	18.35	0.0	5.29	6.92	4.76	4.19	1.86	5.75	5.26	11.6	2.33	23.0	3.32	18.86	0.26	9.72	0.15	14.04	0.0	27.57	29.24	32.34
Cadps2	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.04	0.0	57.61	59.66	54.73
Camk2a	0.11	54.67	6.89	37.91	16.39	0.0	26.08	5.46	9.62	31.18	18.22	3.84	2.21	7.94	12.18	0.0	14.36	15.8	9.2	0.39	7.31	1.79	2.82	15.39	1.12	1.97	13.43	4.77	3.01	3.92	1430.39	1416.19	1497.51
Carhsp1	0.0	31.71	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	35.55	41.12	40.06
Ccdc111	0.0	62.77	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.29	0.0	0.0	11.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.95	0.0	24.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	3.19	3.43
Cdc42bpa	46.78	188.86	47.27	62.43	71.73	72.5	15.37	72.5	45.88	56.69	45.34	57.51	111.06	83.62	73.0	76.35	105.95	97.96	42.8	56.97	40.42	87.81	20.77	86.32	27.71	28.87	39.22	91.4	18.19	0.08	94.35	84.83	98.35
Chic2	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.38	32.34	0.0	0.0	0.0	0.0	0.0	11.51	0.0	15.44	17.01	14.17
Clptm1l	0.1	199.19	5.31	0.0	34.89	57.3	57.06	0.0	52.97	50.8	0.0	31.37	3.67	0.0	1.51	4.93	0.0	0.0	1.33	43.0	10.31	0.0	0.0	35.79	46.35	1.59	0.0	0.0	4.59	33.36	102.29	103.13	104.18
Dgcr2	50.83	61.43	9.93	22.99	4.27	6.2	18.54	15.99	2.63	6.25	1.83	10.26	0.0	30.92	22.02	0.0	0.0	0.0	68.25	44.1	45.55	59.82	61.72	49.94	0.0	4.47	1.06	0.38	43.9	0.0	77.48	82.51	80.68
Dync1li2	1.36	132.43	69.18	41.09	42.58	34.22	19.63	69.34	26.04	49.42	27.75	158.42	48.0	73.63	41.94	67.38	64.08	40.08	101.29	85.29	42.44	66.79	89.35	12.77	84.23	27.32	75.09	38.18	91.37	0.0	163.9	162.52	165.81
