	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92
1700025G04Rik	0.0	0.0	0.0	0.0	0.0	0.05	0.07	0.13	0.17	12.24	0.39	2.31	7.8	5.05	3.61	10.56	5.62	0.03	9.39
1810064F22Rik	1.29	0.36	2.82	2.15	7.43	0.39	7.66	1.39	49.9	9.21	0.0	4.62	2.15	6.43	14.91	7.93	1.4	1.69	11.21
2400009B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.75	25.06	10.2	0.0	81.89	29.73	48.87	0.0	0.0	0.0
4921511C10Rik	0.0	0.0	0.0	0.0	38.11	187.05	0.0	0.0	0.0	15.89	0.0	15.03	0.0	22.71	0.0	0.0	0.0	0.0	54.88
A630020A06	0.94	1.05	2.78	2.36	2.02	0.94	6.35	0.43	29.69	2.21	0.0	2.23	0.77	1.88	1.56	4.01	3.69	3.23	2.73
Arhgef6	0.0	0.0	0.0	67.21	7.0	0.0	0.0	0.0	0.0	53.48	0.0	0.0	11.87	12.61	13.18	68.79	0.05	0.0	3.34
Atp5j2	917.7	201.01	811.17	0.0	482.82	1056.9	851.94	348.5	9.83	1651.84	824.45	925.77	2000.12	919.05	1566.16	1438.76	2316.64	2005.11	2039.46
Atp5o	0.0	2227.73	1287.41	0.63	780.85	539.52	829.17	494.29	15.85	2051.42	1303.59	1238.64	2185.23	2108.97	2202.72	2661.06	2015.01	1663.72	2082.73
Bckdk	5.62	8.21	7.4	10.95	38.68	0.75	18.38	5.11	27.51	31.6	22.33	27.63	0.78	27.37	28.06	10.53	3.27	8.0	8.61
Bend6	1.23	0.14	0.19	0.0	0.51	0.0	105.53	0.09	0.47	30.81	5.85	63.29	28.28	0.31	80.8	243.77	1.3	4.84	47.4
Ccdc55	1.61	0.35	0.18	5.76	3.52	0.0	2.89	26.31	2.93	7.25	6.87	24.88	0.11	11.78	51.73	14.03	49.49	1.12	19.95
Cox7c	1154.88	742.93	286.41	575.99	1179.09	688.62	1068.19	704.65	15.8	2046.39	1374.83	1387.04	2209.33	1885.5	1818.18	2304.33	3733.86	3336.01	2843.71
Fam126b	0.22	0.04	0.13	0.1	0.19	0.12	20.26	0.63	19.54	22.52	14.16	35.72	11.38	25.62	32.88	64.75	8.38	20.03	52.51
Fam20b	0.1	0.06	0.01	0.0	0.41	0.2	0.34	6.64	0.84	29.05	34.84	4.75	5.73	22.58	82.83	109.07	0.48	30.17	0.89
Fez1	0.0	0.0	447.64	0.0	279.67	0.0	386.19	227.25	1457.24	1131.15	788.25	647.64	112.22	839.0	238.85	1621.61	469.46	55.69	345.64
Gabra1	0.0	0.0	0.0	0.0	69.01	0.04	206.44	65.71	4.53	944.26	165.49	373.26	556.68	491.33	441.39	1087.47	498.48	484.2	466.73
Gad1	0.0	0.0	0.0	0.0	390.74	0.49	2266.83	0.07	0.0	3476.07	501.61	324.47	1438.49	945.5	1295.67	2874.95	1396.86	1215.51	1857.07
Gm14430	0.0	0.0	0.04	1.53	0.06	0.0	5.63	7.21	0.06	23.36	0.0	3.4	0.0	12.07	23.92	9.97	6.94	0.0	13.98
Gm14434	0.0	0.0	0.04	1.53	0.06	0.0	5.63	7.21	0.06	23.36	0.0	3.4	0.0	12.07	23.92	9.97	6.94	0.0	13.98
Gm4724	0.0	0.0	0.04	1.53	0.06	0.0	5.63	7.21	0.06	23.36	0.0	3.4	0.0	12.07	23.92	9.97	6.94	0.0	13.98
Gna11	0.0	0.0	0.13	0.0	0.0	0.19	137.13	1.84	1.28	10.05	27.23	22.74	5.39	4.55	30.72	64.36	1.67	9.11	0.68
Hsp90ab1	363.23	393.84	398.93	404.02	777.87	459.17	1529.17	304.4	31.91	1461.49	998.83	1784.5	498.13	1612.2	1545.8	2287.96	629.52	679.91	736.14
Idh3b	20.14	0.0	0.0	0.0	119.95	24.68	294.76	0.0	9.15	1118.96	218.77	532.67	156.29	769.2	755.31	894.83	719.73	330.73	357.13
Kcnc2	0.0	0.0	0.0	0.0	2.94	0.0	88.28	0.07	0.17	458.38	74.6	60.47	80.24	189.91	220.47	361.72	168.54	81.97	257.83
Klf12	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	50.51	0.0	5.77	21.24	5.07	26.48	34.07	0.0	3.01	1.53
Mecr	0.0	0.0	0.0	284.57	123.81	0.0	2.27	0.0	0.0	45.79	0.0	8.42	0.0	181.65	1.88	0.0	0.17	0.0	4.24
Mnt	0.0	0.0	0.0	0.0	0.12	0.0	1.28	0.0	0.0	0.93	0.0	2.86	0.0	0.61	23.17	16.01	0.0	0.0	1.4
Mrps11	469.22	0.0	0.0	0.46	0.0	0.0	0.0	0.0	1.04	161.06	83.72	105.43	153.42	200.63	223.25	363.58	2.71	0.26	259.66
Mul1	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	65.03	30.61	23.1	10.09	72.24	6.78	77.38	58.64	61.77	4.02
Ndufa3	574.09	1.1	401.16	721.44	1576.28	1732.41	913.33	1412.3	17.7	2267.5	1497.27	1122.28	4022.35	1365.02	1725.15	2769.8	3011.05	3181.53	2245.05
Nkiras1	2.65	0.68	2.66	1.46	30.93	1.3	8.37	19.61	40.84	157.41	54.53	89.73	79.57	105.67	47.6	191.06	190.01	25.88	26.09
Pafah1b1	303.3	0.06	0.0	164.64	21.7	0.06	81.04	4.87	44.09	92.24	41.26	51.18	41.85	77.85	55.27	144.18	20.27	41.43	99.91
