	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_182	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	2.05	2.8	0.52	1.44	6.39	0.15	8.99	2.96	3.42	6.26	1.72	0.0	0.0	0.0	14.66	31.78	9.09	9.2	11.25	14.19	20.73	17.56	16.4	17.92
1810014B01Rik	0.0	0.63	0.32	0.19	0.0	0.0	0.0	0.0	3.38	0.0	0.48	0.0	0.0	0.0	0.0	0.07	10.98	0.78	10.48	3.88	0.6	7.0	5.28	5.79
2400003C14Rik	0.0	0.0	4.44	0.18	464.17	0.0	0.0	771.28	0.0	0.0	0.0	0.0	0.0	0.2	338.92	3.11	89.45	60.15	57.34	93.05	185.66	77.32	80.72	75.83
2610316D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49	118.76	36.52	28.06	63.53	11.33	9.95	10.98
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930415O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.38
4930570G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.62	14.0	0.0	15.12	13.62	16.74
5830418K08Rik	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	82.91	0.0	0.0	0.0	0.0	0.0	0.15	1.41	1.41	4.97	3.32	0.03	11.26	8.58	11.26
AW011738	0.0	0.13	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	4.51	3.57	3.82	4.41
Acrbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.05	0.39	0.0	4.75	2.37	10.37	9.2	9.99
Adam4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.76	0.0	0.0	0.32	0.24	0.21
Adat1	0.0	0.0	0.0	0.0	0.15	0.11	0.03	0.0	0.15	0.0	0.0	0.0	0.0	0.62	0.62	1.01	0.22	0.21	6.95	2.48	14.77	6.06	6.33	6.29
Akap9	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.03	107.61	0.0	0.0	0.03	0.0	7.35	0.0	0.03	10.59	18.58	2.01	8.64	2.83	22.5	14.07	24.29
