	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_8	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001D01Rik	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	2.68	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.7	0.0	0.0	0.0	2.08	0.0	0.0	3.33	2.38	0.0	1.33	2.01	0.0	0.0	0.0
1700003G18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.16	0.17
1700030A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.23	0.0	0.35
1700047G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.12
1700047I17Rik2	0.08	5.32	68.13	4.1	1.41	6.33	4.73	0.93	1.41	0.77	3.41	6.09	1.81	0.88	3.43	5.0	8.04	91.79	1.52	1.69	1.23	100.97	2.68	0.86	16.78	5.09	1.99	9.0	0.46	6.69	0.79	6.92	5.88	132.99	1.16	30.06	37.2	56.19	0.54	0.39	137.75	2.32	1.54	1.81	10.32	7.93	14.42	11.21	10.72	13.41	14.19	19.02	17.56	16.4	17.92
1700109H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.71	0.0	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.23	0.0	0.0	6.57	0.0	3.53	2.68	0.43	1.84	1.78	0.0	0.52	1.91	2.56	2.62
2010001E11Rik	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	18.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.13	1.45	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.31	0.45	0.0	0.91	0.52	0.0	0.0	0.57	1.06	1.62	1.09
2610015P09Rik	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	78.95	0.0	0.0	0.0	0.0	37.26	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	20.52	0.0	0.0	0.0	0.0	16.1	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.99	0.0	0.0	0.13	0.0	1.57	0.98	5.33	2.09	1.87	3.95	4.55	4.76	3.84	4.57
2810403D21Rik	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21	0.0	0.0	0.4	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	4.07	2.45	0.0	6.52	0.0	0.31	0.71	1.44	1.42	1.46	1.35
2900053A13Rik	0.0	17.2	29.86	20.87	55.76	23.25	0.0	22.02	26.78	22.1	14.05	66.31	0.0	0.0	30.27	179.29	0.0	0.0	19.8	0.0	7.54	0.0	63.96	19.65	68.58	41.3	27.08	0.0	130.31	0.0	0.0	0.0	72.66	25.49	0.0	102.72	37.92	0.0	27.31	0.0	333.48	0.0	0.0	0.0	57.26	41.97	24.07	21.04	23.56	39.64	46.58	35.03	15.76	14.2	15.63
