	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_104	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_37	PvalbD.Slc32a1_tdTpositive_cell_31	Rbp4_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_66	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
A930001A20Rik	9.74	10.59	6.41	3.59	6.63	2.52	3.14	7.35	4.79	2.83	3.9	8.44	10.53	6.64	2.49	6.98	1.26	1.7	4.09	1.55	5.56	3.35	7.17	9.39	8.32	2.99	9.94	4.47	2.81	4.26	2.59	7.25	5.95	4.29	5.38	5.68	5.76	4.06	3.46	3.06	8.22	4.14	6.05	6.06	5.68	5.85	8.9	4.79	6.01
Ak1	78.91	155.36	0.0	239.53	323.37	0.0	181.4	270.32	129.54	0.23	0.0	0.0	237.22	0.2	416.42	150.24	0.21	0.0	0.0	80.25	100.23	0.0	110.05	281.02	101.73	273.25	0.2	105.6	0.74	89.41	8.73	0.0	0.24	0.24	98.9	104.83	328.68	234.06	167.21	70.59	286.88	119.93	16.63	237.47	213.19	290.51	137.94	257.22	100.03
Amy2a2	0.15	0.09	0.09	0.36	0.24	0.17	2.18	0.53	0.0	0.33	0.27	0.0	0.18	0.33	0.72	0.67	0.08	0.03	0.05	0.09	0.58	0.09	0.12	0.13	0.2	0.49	0.38	0.09	0.0	0.08	0.08	0.0	0.0	0.25	0.24	0.15	0.21	0.16	0.15	0.19	0.28	0.24	0.03	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a3	0.15	0.09	0.09	0.36	0.24	0.17	2.18	0.53	0.0	0.33	0.27	0.0	0.18	0.33	0.72	0.67	0.08	0.03	0.05	0.09	0.58	0.09	0.12	0.13	0.2	0.49	0.38	0.09	0.0	0.08	0.08	0.0	0.0	0.25	0.24	0.15	0.21	0.16	0.15	0.19	0.28	0.24	0.03	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a4	0.15	0.09	0.09	0.36	0.24	0.17	2.18	0.53	0.0	0.33	0.27	0.0	0.18	0.33	0.72	0.67	0.08	0.03	0.05	0.09	0.58	0.09	0.12	0.13	0.2	0.49	0.38	0.09	0.0	0.08	0.08	0.0	0.0	0.25	0.24	0.15	0.21	0.16	0.15	0.19	0.28	0.24	0.03	0.14	0.05	0.28	0.05	0.1	0.08
Asns	887.61	1397.71	992.63	1093.93	2000.66	447.14	2269.03	614.65	0.93	772.62	0.66	0.0	521.65	0.63	1282.82	1158.75	0.23	0.0	0.0	1111.29	1022.0	0.33	591.64	755.72	1484.97	817.93	2334.28	579.49	0.39	526.25	179.91	343.35	116.62	512.68	436.79	1008.51	3351.68	3640.76	394.16	387.74	1085.8	402.08	385.59	230.58	361.54	475.16	401.8	287.9	72.81
Atp1b1	507.31	172.8	273.25	600.2	448.2	360.37	305.59	485.96	60.42	279.42	0.0	198.06	232.71	0.83	463.5	802.3	0.18	0.0	0.0	122.48	408.07	1.04	428.03	502.0	333.88	590.94	684.85	497.53	662.85	69.78	68.44	168.94	12.97	281.17	301.08	285.19	760.62	406.16	371.53	181.87	298.94	301.29	395.97	887.78	415.87	419.97	524.57	485.8	534.99
Atp5c1	1256.5	1333.97	1360.89	1023.81	846.44	1046.58	307.79	529.8	1070.17	771.49	286.28	212.39	1749.46	1213.6	862.42	1940.05	1.14	10.35	497.5	829.72	468.92	447.45	998.92	2486.49	1546.0	1241.59	1.81	915.06	73.45	899.54	811.13	577.62	895.57	851.82	1675.2	1105.61	504.41	816.93	860.52	816.72	829.14	1142.35	1377.47	1007.08	3216.34	1760.83	1192.72	1794.83	1790.47
Atp5g1	883.82	336.22	337.99	653.18	934.38	897.15	697.63	1432.41	736.69	260.58	110.61	771.56	2463.07	230.39	788.42	2078.07	411.81	789.68	278.22	671.27	1597.97	0.42	819.03	1884.4	679.31	799.24	905.75	521.19	525.86	1401.18	932.15	827.45	1567.26	778.12	669.87	697.3	468.34	398.29	640.61	620.93	740.93	715.68	1007.22	668.79	1961.27	982.16	833.65	1371.83	1305.5
Atp5j	1228.57	1171.15	1275.54	1105.93	798.38	944.87	206.51	812.42	827.23	472.05	337.86	0.0	1252.89	131.89	566.89	1544.06	1.2	314.86	0.0	528.05	1592.98	804.44	1029.86	1369.46	696.4	935.3	1585.0	728.9	1333.34	458.55	698.39	864.62	1262.37	767.31	599.3	896.0	826.23	724.63	301.09	463.42	745.13	722.92	1927.3	1232.1	2025.36	1344.68	1209.05	2404.67	2828.85
