	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
1110018G07Rik	0.0	0.0	36.38	40.72	3.83	41.03	96.17	35.48	57.82	22.48	57.21	0.14	66.8	23.17	23.82	11.98	25.03	11.11	12.61	32.85	45.19	0.09	25.83	90.85	0.0	8.32
1500012F01Rik	0.0	0.0	103.14	89.75	45.37	111.21	110.84	62.71	22.41	182.09	114.25	62.74	44.25	87.15	19.87	3.52	47.41	43.52	4.38	5.73	4.65	2.18	14.3	82.06	0.0	0.0
2410091C18Rik	1.95	6.43	177.96	86.54	1.16	306.29	198.47	48.01	69.59	168.48	180.25	71.91	156.3	60.49	54.17	152.21	76.43	66.76	24.61	85.95	13.21	31.56	19.6	114.14	1.63	5.77
2700089E24Rik	426.0	0.0	519.5	493.91	305.85	790.78	415.92	424.82	292.06	551.66	503.68	184.58	207.52	209.7	246.3	241.67	135.56	296.04	218.67	351.66	240.67	246.15	326.21	149.86	0.0	0.0
4921513D23Rik	0.0	0.06	106.68	88.3	19.91	93.14	129.21	92.9	107.63	87.98	45.49	4.17	64.84	24.95	24.37	34.77	30.11	89.43	93.31	31.86	44.47	25.55	36.78	105.83	0.0	0.0
Birc6	15.29	9.01	17.03	30.37	15.38	24.23	36.73	21.16	36.81	56.18	43.47	19.27	23.35	16.31	24.22	27.01	19.34	20.69	25.78	27.1	21.51	20.77	24.69	32.59	3.78	0.0
Blcap	0.0	0.0	253.03	346.04	6.59	212.48	268.02	373.44	121.93	249.45	532.47	73.07	145.61	42.09	98.15	219.35	343.07	139.89	168.2	99.28	140.7	1.71	216.28	185.78	0.0	0.0
Ccnh	0.0	46.31	357.78	325.22	171.74	386.05	651.37	362.09	384.95	809.78	737.29	269.34	328.39	221.67	85.67	171.74	135.12	297.76	279.53	268.99	185.75	254.63	200.34	128.17	0.0	0.35
Cdk4	0.0	0.0	20.26	3.2	42.84	72.01	1.93	55.45	75.95	0.0	147.89	3.12	58.14	27.44	78.97	0.0	34.7	41.03	0.0	21.88	9.42	0.38	0.0	0.0	0.0	0.52
Eef1b2	0.74	0.48	264.44	162.07	192.9	220.36	151.61	152.83	196.22	362.99	71.55	52.38	185.89	160.66	40.24	139.7	123.64	183.66	165.26	241.31	57.48	105.93	51.42	123.87	0.0	23.26
