	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110034B05Rik	0.0	84.05	0.0	352.13	0.0	0.0	0.0	0.0	0.0	0.0	92.02	0.59	129.68	0.0	143.26	121.0	0.0	0.0	50.98	3.95	22.66	0.0	1.02	30.02	29.93	40.58
2310008H09Rik	0.48	14.96	24.43	29.04	0.73	0.68	1.0	0.0	0.35	0.3	0.39	0.0	4.45	0.22	0.13	10.94	0.17	3.19	23.9	0.08	4.36	0.16	0.28	6.43	12.79	10.54
9230114K14Rik	13.36	1.8	4.48	116.95	88.54	5.1	1.18	0.0	3.55	4.61	8.38	5.28	25.27	1.45	2.25	10.83	8.48	1.6	2.17	4.83	6.61	3.68	4.03	5.91	8.84	10.45
A230077H06Rik	1.14	0.31	0.82	3.25	0.72	1.44	0.9	0.0	2.32	1.91	1.64	1.45	1.31	0.71	2.36	1.12	0.41	1.16	1.61	0.67	1.32	0.43	1.63	0.64	1.45	1.15
Abce1	0.0	112.08	54.59	464.31	29.4	10.28	26.09	0.0	10.16	96.08	93.4	134.73	36.99	131.0	0.0	7.94	29.87	0.0	129.78	0.03	25.23	57.97	1.14	167.88	88.9	94.14
Aldh9a1	0.0	65.61	79.23	123.43	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	93.78	53.4	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.68	2.53	6.86
Arpp19	596.93	1050.66	476.49	1404.97	429.36	777.46	996.51	0.0	747.15	1013.82	738.24	1172.99	592.75	1360.96	669.79	502.33	415.39	755.46	367.01	1210.11	564.51	485.0	306.26	1016.56	801.81	850.62
Atp6ap1l	41.57	98.78	1.34	427.08	157.18	193.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	514.51	117.26	0.11	0.0	82.46	58.54	66.58	79.94
Atpaf2	0.33	0.24	98.34	274.25	0.32	377.05	59.84	0.0	0.77	2.89	1.2	43.91	0.38	0.0	0.15	0.25	138.49	210.19	0.43	0.89	3.73	1.44	0.98	46.1	31.65	25.81
Auts2	0.0	35.57	43.67	128.05	88.05	8.85	0.5	40.77	27.57	8.72	39.06	0.07	7.67	0.0	1.66	5.6	0.1	61.86	17.52	8.5	0.37	26.44	4.24	2.61	3.06	1.7
