	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110020G09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.05	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	5.2	0.0	0.49	7.46	0.0	0.0	39.01	0.0	8.42	8.57	6.02	6.71	4.4	4.56	2.96	0.74	4.08	7.12	9.53	7.07	0.0	6.37	7.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.59	0.0	0.0	0.0	0.0	29.23	28.46	28.59
1300002E11Rik	0.0	0.0	0.0	0.1	0.42	0.0	0.0	0.0	0.0	0.0	0.0	34.72	4.48	0.79	0.21	0.08	0.0	48.63	0.0	0.06	0.0	0.0	0.0	111.51	0.0	0.0	1.0	0.24	27.59	0.11	0.0	87.19	0.0	4.35	0.0	0.0	31.41	42.12	5.3	3.42	1.87	9.87	33.12	37.44	1.17	21.27	17.57	19.43	21.08	0.0	0.0	354.78	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	9.78	8.35	8.4
1700011J10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.36	0.0	0.75	0.0	0.0	0.0	0.0	0.67	0.0	0.0	17.68	0.0	0.18	0.0	0.7	0.0	5.58	69.67	0.67	0.09	0.0	0.0	0.0	0.0	0.0	1.92	13.84	18.1	10.03	2.43	1.55	0.22	3.38	2.41	4.64	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.62	0.0	63.59	0.54	0.0	0.0	0.0	14.99	13.73	14.71
1700049G17Rik	0.0	0.0	0.0	0.0	18.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	3.17	0.08	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	6.39	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	3.52	5.08	8.38	1.05	6.67	5.38	3.43	1.34	9.74	1.6	4.42	0.0	0.0	2.64	0.11	3.47	0.0	0.0	51.15	0.0	7.26	2.48	19.65	0.0	0.0	0.0	29.19	5.69	4.98	4.91
1700113I22Rik	0.0	0.0	0.0	0.0	0.55	0.0	46.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.95	0.0	0.0	48.79	47.99	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	28.93	4.15	0.0	0.0	0.0	0.0	0.0	0.0	44.63	0.0	0.0	12.99	43.5	17.79	20.93	16.19	30.82	34.21	14.77	20.4	20.81	0.0	0.37	64.84	0.0	0.0	0.0	85.29	0.0	0.0	29.06	1.16	0.0	46.04	0.0	0.0	52.31	3.37	2.67	2.96
1810043G02Rik	40.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.72	200.88	0.0	0.0	0.46	0.0	129.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.45	84.89	102.31	55.83	0.0	13.77	2.01	4.38	15.95	0.0	91.1	14.55	0.0	44.67	31.19	55.84	22.17	64.81	22.05	35.15	27.74	31.77	31.74	21.59	24.48	0.0	77.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.77	0.0	78.92	39.98	0.0	0.0	118.0	32.91	36.07	32.05
4831440E17Rik	0.0	0.09	0.0	0.0	0.17	0.0	0.0	0.0	0.23	0.0	0.17	0.0	0.0	0.0	0.17	0.0	0.0	0.0	9.31	0.0	0.0	0.1	0.15	0.0	0.62	0.0	0.0	2.84	0.44	0.57	0.21	0.0	0.15	0.16	0.0	0.0	0.0	9.63	0.08	3.23	10.47	1.79	4.87	16.41	5.46	1.71	2.63	3.29	0.22	0.16	7.18	0.06	39.75	20.46	21.18	0.0	0.0	0.16	0.44	61.89	0.14	0.0	0.0	0.0	2.73	2.53	3.78
4930579G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	1.48	1.4	2.72
4932425I24Rik	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.61	0.0	0.0	0.0	9.65	2.27	1.37	1.38	0.0	0.0	0.0	0.0	35.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	1.14	1.18
4933426M11Rik	6.91	0.0	0.08	0.15	0.0	2.41	5.38	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.05	0.06	0.0	83.77	0.0	0.31	0.76	1.03	3.87	0.7	0.38	0.15	1.49	34.61	0.0	0.0	7.59	6.59	0.34	2.74	7.24	9.26	3.78	1.92	2.24	3.34	2.06	0.31	0.12	0.0	0.11	0.0	0.0	1.26	0.0	0.0	0.05	0.08	0.36	0.0	6.95	42.99	13.78	26.72	26.95	27.21
Afg3l2	0.0	0.0	2.59	0.0	28.8	4.63	0.25	51.07	22.53	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.21	0.0	6.22	35.18	35.01	0.08	2.75	0.0	0.19	0.0	6.52	3.45	19.09	6.3	3.2	19.13	0.0	31.81	2.04	2.2	0.21	5.79	8.76	15.1	18.96	28.67	12.64	9.42	6.84	21.51	16.95	11.44	0.0	0.0	4.45	2.56	0.08	0.0	0.0	0.08	2.89	24.33	6.24	7.34	5.27	0.0	0.0	0.0	75.78	70.05	68.28
Amotl1	0.0	0.0	0.1	0.1	0.09	0.23	0.14	0.0	0.1	0.0	0.09	0.04	6.42	0.06	0.0	0.09	0.0	7.18	0.13	0.13	0.0	0.11	0.01	0.0	0.34	0.0	0.08	0.08	0.24	0.35	0.28	0.05	0.09	0.36	0.11	0.11	0.0	4.81	5.12	3.21	7.99	0.36	2.47	2.07	2.92	1.11	2.5	0.96	0.12	0.11	0.03	0.0	0.12	0.0	0.1	0.0	0.0	0.05	0.08	0.06	0.0	0.07	0.04	0.03	9.3	9.24	10.01
Arntl	25.42	0.0	0.0	0.0	0.0	0.39	6.07	81.49	294.94	0.0	40.55	0.0	3.4	0.13	0.16	0.0	3.02	0.0	1.56	0.0	3.08	0.0	0.0	0.0	0.15	0.0	39.16	1.46	19.78	40.67	10.3	36.45	2.17	174.77	66.91	0.0	67.23	7.61	7.13	11.89	1.68	9.99	10.34	16.44	20.12	8.57	17.39	13.43	0.0	0.2	63.41	27.06	0.0	0.0	0.23	0.0	0.0	4.87	0.0	83.17	34.81	0.0	0.0	2.05	28.72	27.5	32.93
Atp4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.48	0.53
Brwd3	0.0	0.0	2.57	0.0	0.0	0.0	7.07	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.01	0.0	22.7	18.87	0.0	2.25	4.72	3.42	2.72	1.45	0.0	7.79	1.05	2.11	1.39	0.0	0.0	5.5	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.19	0.07	0.0	0.0	0.0	0.03	4.98	3.43	4.99
C030048B08Rik	0.0	0.0	0.16	0.0	0.0	0.0	33.51	12.66	0.0	0.0	0.0	0.0	33.5	14.2	80.14	0.0	0.0	109.3	0.0	0.0	0.0	0.81	69.68	0.0	0.0	112.87	1.9	5.65	13.6	93.08	0.3	0.0	0.56	8.03	0.28	0.0	0.0	45.24	35.35	46.81	34.84	30.53	46.92	11.73	4.86	41.57	33.89	21.24	0.0	0.46	0.0	0.0	0.0	0.19	0.52	0.0	0.0	111.2	0.0	19.0	0.0	0.52	0.0	0.0	8.26	7.95	9.22
Calm2	20249.89	18003.48	20813.5	20740.74	17688.69	17910.32	19533.68	19081.81	18790.75	17934.64	18403.02	17061.16	19635.16	19628.74	18662.45	19578.34	24749.41	16961.32	21064.56	18026.74	19971.06	20654.99	19749.13	15278.63	19103.2	18789.68	18742.78	18653.08	18187.15	17343.84	19736.86	17700.79	18784.2	17522.3	20660.56	19581.9	19276.37	15475.49	15887.21	17363.25	14908.0	16198.04	15858.62	15343.8	18644.66	18004.95	16099.57	15686.41	18281.5	19423.54	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	23557.63	18704.89	18134.58	18864.48	19735.95	19141.42	19191.1	18621.16	2887.42	2886.9	2667.18
Caskin2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.94	14.1	14.84
