	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_57	Ndnf_tdTnegative_cell_5	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_81	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930448I06Rik	0.0	0.0	0.0	0.77	2.28	2.13	0.3	1.88	1.08	0.0	0.0	0.0	2.0	0.0	0.0	0.86	0.0	0.0	1.8	0.43	2.27	0.0	7.45	23.18	0.0	1.36	1.12	1.43
Agpat1	44.08	0.0	0.0	45.83	7.17	13.17	0.0	32.59	5.98	11.38	6.87	0.0	4.91	20.4	15.38	4.49	8.42	5.86	21.14	9.69	9.91	0.0	26.44	135.96	11.16	125.67	129.98	132.53
Ankmy2	0.0	0.0	0.0	39.14	0.0	176.87	511.08	2.02	0.0	0.0	0.0	0.0	0.0	25.46	15.39	71.65	48.25	71.28	23.21	107.74	208.13	1.27	384.38	0.0	12.68	48.53	49.16	46.71
Brd9	0.33	0.0	0.0	210.71	24.5	46.57	14.33	36.63	87.84	54.02	0.0	42.2	0.0	30.22	7.8	71.13	38.33	108.18	11.98	13.09	437.07	0.08	124.69	473.12	11.36	76.85	77.62	74.96
Chka	5.22	5.81	10.99	129.58	7.2	14.8	1.7	13.78	56.43	5.87	3.0	694.38	11.7	5.07	5.92	29.77	1.11	5.84	44.58	4.99	40.41	4.76	353.73	113.66	1.2	72.74	69.9	68.95
Dmxl1	0.0	0.0	0.07	38.89	0.0	0.37	0.0	24.7	9.12	5.5	0.0	0.64	0.17	0.03	12.93	9.54	0.19	5.26	13.49	1.7	0.0	0.06	6.56	191.32	0.0	17.64	14.36	17.98
Dnm1	0.0	0.0	0.0	55.68	0.0	15.92	14.41	56.7	48.55	49.95	0.0	0.0	1.38	3.85	13.56	57.89	27.3	115.67	44.65	96.2	160.66	0.05	563.51	242.37	0.0	785.48	840.55	821.55
Dusp28	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.45	0.0	0.0	0.0	0.37	255.44	0.0	26.98	31.47	29.99
Eif2b5	0.0	0.0	0.0	100.03	0.12	1.81	0.0	0.0	30.23	0.76	0.0	0.0	0.0	0.0	0.0	35.68	22.22	52.84	13.83	0.09	403.53	0.0	146.73	28.37	0.0	45.86	49.15	47.86
Eif2c1	0.0	20.58	0.0	34.92	0.0	0.32	0.0	1.86	2.44	4.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.03	0.03	1.33	0.0	70.17	0.0	0.0	38.59	36.53	36.5
Gm14430	0.0	0.0	2.78	25.55	0.06	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	0.23	1.12	6.5	0.0	0.0	23.92	6.94	0.0	0.0	11.54	6.11	0.0	7.67	5.07	7.49
Gm14434	0.0	0.0	2.78	25.55	0.06	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	0.23	1.12	6.5	0.0	0.0	23.92	6.94	0.0	0.0	11.54	6.11	0.0	7.67	5.07	7.49
Gm4724	0.0	0.0	2.78	25.55	0.06	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.06	0.23	1.12	6.5	0.0	0.0	23.92	6.94	0.0	0.0	11.54	6.11	0.0	7.67	5.07	7.49
Gucy2f	0.0	0.0	0.06	0.12	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.46	0.18	0.0	0.43	0.48	0.49
Herc4	11.62	118.43	0.0	99.9	0.0	0.0	37.28	0.49	0.23	0.0	191.9	0.0	0.26	0.0	0.0	42.72	0.12	0.0	0.0	0.0	170.08	0.0	61.36	127.47	0.0	27.03	23.66	24.25
Klf9	0.0	0.0	228.57	31.87	0.0	0.18	0.0	51.02	47.79	78.1	0.0	73.54	25.35	0.0	29.87	0.0	10.77	1.6	21.31	0.97	0.0	0.0	18.69	272.96	0.0	127.72	133.21	122.44
Myo5a	0.0	0.26	0.07	87.26	0.02	4.37	0.04	88.57	28.65	20.66	0.04	0.32	0.97	0.03	21.66	32.77	12.08	74.42	55.38	45.28	10.52	0.02	154.62	120.8	0.0	147.23	132.38	154.8
Nefl	0.0	0.0	0.0	85.4	0.0	24.08	8.37	2.98	133.47	3.23	0.0	0.0	0.53	0.0	26.0	167.62	52.78	121.89	26.25	1.26	2.4	0.0	46.38	0.0	0.0	385.15	425.16	402.43
Nipa2	0.0	0.0	0.0	86.09	0.0	31.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	93.26	28.73	0.0	28.83	0.0	0.0	0.0	177.13	91.04	0.0	27.5	25.96	23.65
Pabpc1	46.21	15.85	0.0	168.02	1.06	11.23	1.99	3.15	1.21	8.37	0.0	101.69	0.0	1.09	121.25	68.08	25.0	11.6	29.09	109.62	2.11	9.55	20.73	54.76	0.0	117.21	122.41	111.85
Pdcd5	0.0	0.0	0.77	75.36	0.0	73.21	414.46	3.31	0.0	0.36	0.85	67.07	1.76	0.0	44.72	0.0	252.53	184.16	54.93	299.85	19.97	0.0	367.43	35.4	0.0	65.78	71.23	59.79
Pde10a	0.0	0.0	0.0	23.52	0.08	1.47	0.0	0.91	31.71	5.54	0.0	0.0	0.27	0.0	0.14	17.57	0.3	22.77	10.18	2.47	8.09	0.0	133.12	33.43	0.0	105.5	95.25	101.22
Ppp1r3b	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.12	0.13	0.0	0.11	0.23	0.0	0.0	0.13	0.06	0.0	0.0	0.0	0.15	0.0	0.3	0.08	0.77	0.0	0.57	0.48	0.69
Ppp1r9a	0.0	0.0	0.05	17.77	0.09	22.31	0.0	19.6	38.94	3.32	0.05	0.25	135.61	0.0	47.25	27.13	15.6	2.95	10.94	1.0	8.16	0.0	94.28	30.24	0.0	116.6	102.97	112.99
Pppde2	0.0	0.0	0.0	83.0	0.0	5.73	0.0	10.18	2.77	3.09	318.37	0.0	5.41	336.04	0.12	4.53	19.46	0.0	1.69	0.31	0.0	0.0	1.78	12.72	178.46	103.5	101.86	107.13
Prps2	0.0	0.0	0.0	89.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	19.13	4.04	0.0	0.0	1.59	0.0	0.0	0.12	76.1	0.14	23.21	20.83	20.13
Rab3c	0.2	0.14	0.78	230.57	0.04	35.07	1.4	108.01	48.16	1.03	0.37	0.65	2.26	1.1	6.85	24.15	26.01	38.68	77.3	3.94	17.62	0.14	114.99	122.67	0.0	153.99	129.19	150.79
Rb1cc1	0.0	0.0	0.0	74.32	0.0	30.29	0.02	14.51	25.63	9.98	21.97	0.0	0.74	0.0	1.11	17.41	12.49	37.02	51.06	1.24	105.33	123.06	260.83	39.85	0.0	36.59	28.31	35.43
