	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	PvalbF.Gad2_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200011I18Rik	0.15	0.31	0.97	24.99	23.85	23.5
2900052N01Rik	0.0	0.0	0.0	25.63	24.14	25.33
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
6330578E17Rik	0.1	0.0	0.12	68.06	63.45	63.56
9430021M05Rik	0.0	0.0	0.0	12.26	13.65	12.7
A930001C03Rik	0.0	0.0	0.0	0.57	1.46	0.63
Abca6	0.0	0.23	0.81	1.95	1.62	2.44
Ace	0.0	0.0	0.0	8.14	9.12	8.0
Adat3	0.0	0.0	0.0	4.12	5.31	4.5
Alk	0.0	0.0	1.69	4.35	4.09	4.66
Amy2a2	0.0	0.0	0.12	0.26	0.19	0.21
Amy2a3	0.0	0.0	0.12	0.26	0.19	0.21
Amy2a4	0.0	0.0	0.12	0.26	0.19	0.21
Apba3	0.0	0.0	0.0	17.6	19.89	18.64
Arhgap4	0.0	0.0	0.0	3.23	3.34	3.76
Arhgdib	0.0	0.0	0.0	18.31	14.23	13.52
Asprv1	0.0	0.0	0.0	1.89	1.17	1.82
Atg4d	0.0	0.0	7.33	24.42	24.85	24.19
Atl3	0.0	0.0	0.0	22.09	20.46	22.45
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC020402	0.0	0.0	0.0	6.15	5.46	5.09
Bin1	0.0	0.0	21.89	228.71	237.59	245.82
Bnip2	0.1	0.0	3.37	38.55	35.42	34.13
C1galt1	0.0	0.0	0.0	11.52	10.26	12.39
C630004H02Rik	0.0	0.0	5.18	83.05	88.74	84.8
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc85c	0.0	0.0	0.0	26.41	28.48	28.95
Ccdc86	0.0	0.0	0.0	7.35	6.58	6.66
Ccl27b	0.54	0.0	1.21	30.63	28.29	22.96
Cep68	0.0	0.0	0.4	17.27	16.32	17.75
Cnnm3	0.19	0.47	0.0	16.26	16.32	16.88
Creg2	0.08	0.17	0.16	76.41	67.53	74.79
Ctdp1	0.0	0.0	0.0	11.1	11.94	11.21
Cxcl11	0.0	0.0	0.0	0.6	0.37	0.89
Ddah2	0.0	0.0	0.0	12.99	16.69	13.27
Dock5	0.0	0.0	0.0	3.36	3.06	3.84
Enox2	0.0	0.0	0.0	7.96	9.2	7.17
Ep400	0.0	0.0	6.44	26.54	25.34	29.25
Etf1	0.0	0.09	45.68	60.18	59.44	55.78
Fam126a	0.0	0.0	0.0	11.02	11.8	11.62
Fam134c	0.0	0.0	0.0	52.08	55.09	51.34
Fbxo47	0.0	0.0	0.0	1.16	1.17	1.1
Flot2	0.19	0.0	0.0	98.88	102.37	104.94
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Frmd6	0.0	0.0	0.0	25.43	22.96	20.81
Gfm1	0.0	0.0	27.42	41.47	39.7	39.58
Gltscr2	0.0	0.0	9.42	82.99	90.06	86.93
Gm13306	0.54	0.0	1.21	30.63	28.29	22.96
Gm1337	0.0	0.0	0.0	27.73	28.82	26.18
Gm14431	0.0	0.0	0.43	8.87	7.17	8.34
Gm1653	0.0	0.0	0.0	0.6	0.58	0.28
Gm19689	0.0	0.0	0.0	0.0	0.18	0.07
Gm2002	0.0	0.0	0.0	1.73	1.86	1.4
Gm2506	0.54	0.0	1.21	30.63	28.29	22.96
Gm8898	0.0	0.0	0.43	8.87	7.17	8.34
Gtf3a	16.37	0.0	0.0	30.54	35.09	33.98
