	Ctgf_tdTpositive_cell_3	Rbp4_tdTpositive_cell_154	Sst_tdTpositive_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700123I01Rik	0.0	0.0	0.0	0.0	0.12	0.19
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930432K21Rik	0.0	0.0	0.0	2.73	2.99	2.72
4930449E01Rik	0.0	0.0	0.0	0.0	0.16	0.0
4930452G13Rik	0.0	0.0	0.0	1.12	1.14	1.16
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4932425I24Rik	0.0	0.0	0.0	1.03	1.14	1.18
9030612E09Rik	0.0	0.0	0.0	2.08	1.91	1.77
9330179D12Rik	0.0	0.0	115.36	4.76	5.26	5.01
Accn2	0.0	0.09	10.06	51.4	49.24	50.01
Adamtsl3	0.0	0.0	0.0	0.75	0.87	0.65
Agpat1	0.0	11.96	13.32	125.67	129.98	132.53
Aloxe3	0.0	0.0	0.12	5.1	5.87	5.73
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bag1	0.0	0.0	95.68	146.96	156.33	154.32
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Btg3	0.0	0.0	0.0	0.0	0.0	6.48
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cab39l	0.0	80.92	290.59	21.41	21.13	20.76
Cand2	0.19	0.64	0.15	2.69	2.78	2.5
Card10	0.0	0.0	0.0	3.63	3.87	3.71
Ccdc125	0.0	0.11	0.0	0.99	0.86	0.62
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chaf1a	0.0	0.0	0.0	4.73	4.51	4.95
Cmtm4	0.0	0.0	0.0	59.02	56.14	57.0
Creld1	0.0	0.0	0.15	81.42	90.54	85.74
Cyp2j13	0.0	1.32	1.06	1.52	1.53	1.89
Dip2a	0.0	5.5	0.0	41.24	40.77	45.1
E2f7	0.0	0.0	0.0	0.16	0.25	0.15
Fat2	0.0	0.0	0.0	0.03	0.08	0.09
Fbxo5	0.0	0.0	0.0	1.06	1.6	2.02
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
G630025P09Rik	0.0	0.0	0.0	0.79	0.84	0.67
Gab2	0.0	0.0	0.0	10.12	9.8	10.74
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gja6	0.0	0.0	0.0	0.25	0.37	0.41
Gm15545	0.0	0.0	0.0	1.32	1.61	1.57
Gm16861	0.58	0.61	0.43	5.71	6.36	5.75
Gm5615	0.53	0.39	0.0	0.0	0.16	0.08
Gna11	0.0	6.76	0.0	93.39	96.94	92.94
Gna12	0.0	0.0	2.43	61.33	66.07	72.07
Gpx2-ps1	0.0	0.0	0.0	1.49	1.78	1.19
Grem1	0.0	0.0	0.0	1.09	1.14	1.57
Has1	0.0	0.0	0.0	1.52	1.52	2.0
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ids	0.0	18.26	0.23	309.23	297.91	298.29
Ifi27l2a	0.0	0.0	0.0	1.37	1.51	2.12
Il21r	0.0	0.17	0.0	1.58	1.55	1.59
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klc1	0.0	96.49	227.43	706.38	755.05	722.85
Lancl2	0.0	17.89	0.0	77.76	75.63	63.63
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lgals6	0.0	0.0	0.0	0.0	2.15	0.09
Lif	0.0	0.09	0.0	0.36	0.44	0.48
Llgl1	0.0	0.0	0.0	33.9	37.16	37.52
Lrrc45	0.0	0.0	0.0	50.3	50.55	54.57
Me2	0.0	0.0	0.62	25.96	23.83	23.18
Morc2b	0.0	6.54	0.0	1.83	1.07	1.5
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Pcdhb22	0.0	0.0	0.0	7.34	6.97	7.49
Pgp	0.0	0.69	0.3	97.56	109.61	115.46
Pigs	0.0	0.42	0.37	48.95	54.99	51.45
Pld6	0.0	0.0	0.17	1.35	1.59	1.74
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sned1	0.0	0.0	0.0	5.35	4.09	5.84
Spn	0.0	0.0	0.0	0.09	0.19	0.03
Srbd1	0.0	0.0	0.0	6.38	7.04	7.44
Src	0.0	0.0	0.16	70.08	73.11	71.61
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem5	0.0	24.19	4.25	34.77	36.92	33.19
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube4b	0.0	13.7	3.09	67.23	68.41	62.94
Vmn1r29	0.0	0.0	0.0	0.0	0.0	0.11
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vwce	0.0	0.0	0.0	0.25	0.31	0.2
Wdr72	0.0	0.0	0.0	0.02	0.04	0.0
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	0.63	335.15	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
