	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
2810433D01Rik	2.6	1.42	20.95	25.55	20.61	8.11	5.94	0.0	15.0	1.86	12.39	13.01	8.8	0.93	18.37	0.0	11.97	7.3	19.73	14.06	11.76	4.3	14.18	0.0	7.06	28.06	10.2	0.0	0.58	2.28	0.0	7.2	23.61	7.01	1.57	2.76	5.0	3.81	1.93
4930455C21Rik	55.86	105.63	13.06	82.74	9.1	10.14	30.22	3.64	10.36	62.54	110.61	26.06	35.14	3.38	6.59	73.61	164.58	58.37	97.38	46.02	21.75	5.61	71.77	1.55	63.84	12.54	52.48	2.08	3.48	3.7	3.93	176.25	113.06	2.5	2.6	23.74	4.83	2.66	9.38
4933407H18Rik	0.34	0.23	5.58	1.3	0.08	0.32	0.43	0.0	23.35	0.33	0.05	14.92	6.66	41.81	33.32	0.56	52.54	15.09	37.5	16.71	33.67	62.09	0.41	0.19	6.72	20.16	0.35	0.0	0.0	0.46	0.0	0.36	23.95	0.0	0.0	5.91	0.0	22.43	0.12
Akap5	2.76	5.14	137.91	181.31	624.23	20.8	16.31	1.28	193.69	161.44	35.39	88.04	50.2	1.82	18.73	1.95	147.89	179.55	92.08	105.0	31.73	19.62	39.23	0.5	257.12	124.88	121.61	0.77	1.3	2.35	1.63	13.27	133.14	115.03	8.35	63.1	32.08	16.21	42.64
Camk2b	12.58	11.42	161.7	83.14	152.97	6.32	59.12	0.0	60.55	158.51	61.71	51.22	145.0	0.79	254.35	0.1	186.54	8.16	169.13	176.81	58.15	153.07	99.71	0.0	194.66	96.57	154.0	0.0	0.0	0.0	0.0	63.4	41.64	87.25	138.39	0.42	31.11	4.98	70.64
Camk2n1	0.0	355.17	137.66	89.45	412.2	4.99	144.84	0.0	72.85	254.32	253.54	147.04	76.87	1.12	81.85	0.0	200.67	173.35	147.02	127.7	54.51	180.6	54.33	0.0	527.41	100.76	108.25	0.0	0.38	0.28	0.0	189.95	243.84	158.9	0.66	64.35	105.27	76.86	27.17
Ccl27b	0.0	6.45	19.36	4.38	9.53	670.98	0.69	0.0	0.25	136.5	352.63	116.18	318.99	0.0	190.26	0.0	0.0	1.96	37.12	95.97	279.74	364.23	161.83	0.0	147.96	145.58	42.53	0.0	0.0	0.0	0.0	30.14	325.47	319.12	80.83	235.31	83.58	97.07	149.77
Cdk14	138.68	13.72	98.73	58.55	54.06	114.15	82.83	0.0	52.93	7.66	12.23	11.75	0.35	1.17	11.53	0.0	203.51	19.69	109.63	106.76	290.43	15.55	115.72	0.0	46.39	13.68	92.44	0.0	13.13	0.0	0.0	9.85	56.27	1.03	79.03	2.38	0.0	0.0	33.46
Celf4	52.85	173.39	82.28	269.46	97.47	330.98	177.49	0.0	269.79	103.22	118.79	78.27	58.22	2.63	119.12	0.17	75.61	251.66	221.63	132.38	153.8	99.96	99.24	0.0	149.98	72.53	317.7	1.58	0.94	2.11	1.11	48.98	256.34	59.09	4.82	71.31	110.75	37.36	40.75
Efha2	169.76	297.92	59.37	455.86	507.82	637.53	546.26	0.0	534.88	300.64	437.6	752.64	73.03	110.04	665.42	0.0	634.53	255.15	535.19	461.09	325.51	791.17	807.63	0.0	162.55	447.84	614.47	0.0	118.44	69.88	0.0	572.02	607.09	318.73	230.62	112.79	211.87	114.77	52.2
Fam18b	0.0	0.0	38.75	91.6	0.0	0.0	81.44	321.3	110.77	0.0	162.02	109.12	0.0	64.28	273.98	0.0	0.0	132.67	98.47	138.85	0.0	0.22	24.29	0.0	170.64	4.75	278.35	0.0	0.0	0.0	0.0	67.04	68.9	0.0	0.16	7.66	0.0	108.84	0.0
Gm11127	26.34	67.17	34.52	42.86	156.29	76.22	33.87	0.0	6.96	109.19	29.56	73.3	31.87	0.91	81.47	98.93	28.34	36.4	41.88	60.75	112.75	20.34	44.2	0.0	36.87	29.71	42.8	0.0	0.0	0.0	0.0	146.18	138.69	15.44	18.65	12.95	10.45	6.85	5.52
Gm13306	0.0	6.45	19.36	4.38	9.53	670.98	0.69	0.0	0.25	136.5	352.63	116.18	318.99	0.0	190.26	0.0	0.0	1.96	37.12	95.97	279.74	364.23	161.83	0.0	147.96	145.58	42.53	0.0	0.0	0.0	0.0	30.14	325.47	319.12	80.83	235.31	83.58	97.07	149.77
Gm14430	0.45	17.46	8.59	1.66	49.31	0.94	0.0	0.0	7.57	5.31	11.42	24.2	0.0	0.0	0.0	0.04	9.82	0.11	0.0	1.95	0.01	0.0	0.21	0.0	13.09	17.44	0.0	0.0	0.0	0.09	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm14431	0.75	1.54	0.0	0.0	0.0	18.85	0.0	0.0	0.09	0.36	0.11	2.08	0.06	0.0	0.0	0.19	35.56	0.0	16.47	6.83	0.13	3.27	2.05	0.0	0.0	0.09	32.55	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	3.76	0.37	3.49
Gm14434	0.45	17.46	8.59	1.66	49.31	0.94	0.0	0.0	7.57	5.31	11.42	24.2	0.0	0.0	0.0	0.04	9.82	0.11	0.0	1.95	0.01	0.0	0.21	0.0	13.09	17.44	0.0	0.0	0.0	0.09	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm19757	83.64	38.19	24.49	45.39	52.39	83.96	54.81	2.54	21.8	47.46	49.91	32.79	19.89	19.71	42.91	44.42	36.68	36.71	26.59	41.79	40.04	33.82	72.68	41.83	45.23	13.44	47.77	2.51	10.12	10.85	5.11	75.35	88.71	17.72	7.48	41.0	20.53	12.67	11.91
Gm2506	0.0	6.45	19.36	4.38	9.53	670.98	0.69	0.0	0.25	136.5	352.63	116.18	318.99	0.0	190.26	0.0	0.0	1.96	37.12	95.97	279.74	364.23	161.83	0.0	147.96	145.58	42.53	0.0	0.0	0.0	0.0	30.14	325.47	319.12	80.83	235.31	83.58	97.07	149.77
Gm4262	25.3	26.84	20.05	30.0	29.34	43.63	24.91	0.0	10.47	26.18	18.11	34.96	18.23	0.45	28.25	27.82	11.18	12.54	24.5	24.63	38.56	11.01	23.78	3.05	25.93	13.21	19.56	0.4	3.18	0.5	0.81	36.79	50.97	6.03	8.28	8.85	6.84	11.15	6.0
Gm4724	0.45	17.46	8.59	1.66	49.31	0.94	0.0	0.0	7.57	5.31	11.42	24.2	0.0	0.0	0.0	0.04	9.82	0.11	0.0	1.95	0.01	0.0	0.21	0.0	13.09	17.44	0.0	0.0	0.0	0.09	0.0	0.0	0.09	2.35	0.0	13.98	0.21	0.0	0.0
Gm5460	2.71	4.04	0.0	0.0	1.09	1.33	1.05	0.0	1.5	0.0	0.0	0.28	0.0	0.0	0.59	0.87	0.31	1.84	1.06	2.63	1.16	1.07	0.69	0.33	0.23	2.96	0.28	0.0	0.76	1.28	0.0	0.0	0.56	0.0	0.0	0.0	0.16	0.15	0.26
