	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610034B18Rik	0.0	0.0	0.0	17.14	15.12	17.88
2900005J15Rik	0.0	0.0	0.82	3.12	2.71	3.78
5430437P03Rik	0.0	0.0	33.53	71.98	80.84	71.14
5930403L14Rik	0.09	0.0	0.1	20.7	19.68	23.03
9430041J12Rik	0.0	0.0	0.0	5.03	4.15	4.55
AI427809	0.0	0.0	0.0	0.36	0.05	0.06
Abca5	0.0	0.0	15.57	24.98	21.47	23.29
Abcb6	0.0	0.0	0.0	17.38	18.47	17.91
Amfr	0.0	0.0	39.48	115.45	125.98	115.58
Amigo1	0.0	0.0	0.0	58.86	60.1	60.6
Ank	0.0	0.0	83.65	150.55	151.95	144.31
Arhgef17	0.0	0.0	11.64	53.82	58.08	58.26
Atg2a	0.0	0.0	0.0	23.55	25.17	24.88
Atp1a3	0.0	0.0	614.93	1301.98	1411.72	1359.05
Bbs2	0.0	0.0	0.0	22.01	24.73	23.72
Btrc	0.07	0.0	6.77	59.2	61.67	60.6
Bysl	0.0	0.0	0.23	15.89	16.34	17.17
C130030K03Rik	0.0	0.0	0.0	7.65	7.5	9.56
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Caml	0.0	0.0	0.0	45.42	46.05	40.27
Ccdc23	0.0	0.0	0.0	22.08	25.53	23.18
Ccdc38	0.0	0.0	0.0	0.64	0.6	0.9
Cetn4	0.0	0.0	0.0	11.71	11.39	12.09
Cic	0.0	0.0	0.45	62.1	63.8	66.06
Cish	0.0	0.0	0.0	6.09	6.85	5.44
D6Ertd474e	0.0	0.0	0.0	0.39	0.54	0.73
Dock7	0.0	0.0	0.16	19.14	18.02	19.98
Dsg2	0.08	0.0	0.0	1.51	1.4	1.76
Ech1	0.0	0.0	0.0	60.56	59.38	60.51
Fam20c	0.0	0.0	0.0	29.59	30.66	29.16
Fam73b	0.0	0.0	23.16	54.96	59.24	58.92
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxj2	0.0	0.0	11.59	20.03	19.9	19.98
Galk1	0.0	0.0	0.0	14.02	13.71	14.02
Galnt13	0.0	0.0	4.19	13.59	12.1	13.48
Gclc	0.0	0.0	6.43	48.12	46.3	44.89
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm14431	0.0	0.0	3.44	8.87	7.17	8.34
Gm1653	0.0	0.0	0.0	0.6	0.58	0.28
Gm8898	0.0	0.0	3.44	8.87	7.17	8.34
Gnb5	0.0	0.0	167.12	177.64	176.99	168.08
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Il17ra	0.15	1.18	0.0	13.28	12.23	11.53
Inhba	0.0	0.0	0.0	5.81	2.46	7.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnj2	0.0	0.0	0.0	12.05	10.54	13.52
Kctd17	0.0	0.0	2.86	172.27	186.86	180.37
LOC329427	0.0	0.0	0.21	3.75	4.93	4.4
Lass1	0.0	0.0	0.0	93.67	94.17	91.77
Magi2	0.0	0.0	0.16	50.5	48.6	53.27
Maneal	0.0	0.0	45.45	49.82	52.61	50.28
Mapk8ip3	0.0	0.0	1.6	224.21	229.53	233.17
March7	0.0	0.0	0.41	39.23	36.68	39.79
Mlph	0.31	0.0	0.59	1.67	1.61	1.82
Morn4	0.0	0.0	0.0	76.1	77.68	74.27
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Myadml2	0.0	0.0	0.0	6.95	7.63	7.26
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Obox3	0.0	0.21	0.0	0.45	0.52	1.06
Pcdh15	0.0	0.0	0.0	9.28	7.24	9.6
Pcdh7	0.0	0.0	2.54	50.86	49.1	53.42
Pcgf6	0.0	0.0	0.0	17.33	16.99	15.5
Pdap1	0.0	0.0	28.53	68.93	75.22	74.29
Phf3	0.0	0.0	20.07	31.68	27.61	31.36
Pias2	0.0	0.0	81.42	50.8	43.89	49.18
Pip5kl1	0.0	0.0	0.0	6.3	7.47	7.97
Ppig	0.0	0.0	5.47	32.2	25.47	29.83
Ppme1	0.0	0.0	8.45	202.91	195.24	212.01
Prim1	0.0	0.0	0.0	6.29	6.31	7.39
R3hdm1	73.87	0.0	16.98	181.8	152.46	190.21
Rab36	0.0	0.0	0.06	25.79	24.56	26.37
Rbck1	0.0	0.0	0.0	79.28	84.43	85.27
Rbfox1	0.0	0.0	51.97	198.25	185.0	193.44
Ric8	0.0	0.0	0.0	43.71	50.81	44.65
Rnf170	0.0	0.0	0.0	27.99	25.56	27.41
Rnps1	0.29	0.0	19.42	142.83	146.1	143.89
Rpf1	0.0	0.0	0.0	18.61	15.75	14.14
Rpgrip1	0.0	0.0	0.0	0.4	0.29	0.41
Sarm1	0.0	0.0	0.0	17.37	17.42	16.05
Sema4g	0.0	0.0	0.26	15.72	16.16	16.98
Slc20a2	0.0	0.0	0.0	35.29	39.15	40.21
Snhg10	0.0	0.0	3.44	6.73	7.27	8.78
Snora2b	0.0	0.0	0.0	3.89	2.45	4.02
Sox5	0.0	0.0	0.0	16.24	14.52	15.03
Spsb1	0.0	0.0	0.0	14.52	15.47	13.49
Sugp2	0.0	0.0	0.0	63.49	63.87	67.29
Sult2b1	0.0	0.0	0.0	10.01	12.76	12.16
Tjp1	0.0	26.04	0.0	44.75	39.86	45.19
Tmem143	0.0	0.0	0.0	18.4	19.05	18.99
Tmem185b	0.0	0.12	0.98	11.19	13.0	10.32
Tmem194	0.1	0.0	0.0	3.2	2.72	3.53
Trmt2b	0.14	0.0	0.0	8.54	11.71	9.89
Ttc27	0.0	0.0	0.0	14.65	14.23	15.16
Ubox5	0.0	0.0	0.0	8.96	10.32	9.38
Usf1	0.0	0.0	0.63	54.86	61.25	51.92
Vasn	0.0	0.0	0.0	11.96	12.71	12.53
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Yipf3	0.0	0.0	0.82	51.44	55.8	50.74
Ythdf1	0.0	0.0	0.0	47.33	48.24	45.94
Zdhhc4	0.0	0.0	0.0	26.62	28.37	25.09
Zfp111	0.0	0.19	3.0	4.11	3.6	4.09
Zfp287	1.74	0.26	1.89	10.47	9.82	10.1
Zfp36l2	0.0	0.0	0.31	19.99	19.15	20.78
Zfp59	0.0	0.0	0.0	6.36	6.26	6.1
Zfp943	0.0	0.0	12.55	14.18	11.74	14.22
Zhx2	0.0	0.0	0.0	7.08	8.25	8.34
Zzz3	0.0	0.0	0.0	23.42	21.15	25.04
c11_LSU-rRNA_Hsa	2.33	6.88	90.02	250.71	241.69	283.2
c13_tRNA-Trp-TGG	0.0	0.0	0.0	0.0	0.0	6.28
mt_AK131586	3744.02	4908.34	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
