	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_48	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700008J07Rik	0.0	0.0	0.0	3.62	3.64	4.36
1700013G23Rik	0.0	0.0	0.0	2.37	1.3	0.61
2310036O22Rik	0.0	0.0	0.0	92.1	105.42	106.0
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930565N06Rik	0.0	0.18	0.0	0.75	0.57	1.26
4930578M01Rik	0.0	0.0	0.0	1.56	2.21	2.19
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
A930005I04Rik	0.0	0.0	0.0	1.98	2.66	2.26
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
AW549542	0.23	0.0	0.0	2.41	2.5	3.16
Alx4	0.66	0.47	0.49	1.44	0.95	1.11
Apbb1	0.0	0.0	84.11	384.22	435.94	424.83
Arpc3	0.0	0.0	0.0	244.0	244.99	234.91
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Aup1	0.28	0.0	5.42	65.11	72.62	66.21
BC048355	0.0	2.86	4.88	6.06	6.83	6.76
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmf	0.0	0.0	0.0	2.16	2.73	2.54
Brsk1	0.0	0.0	0.0	278.89	294.42	291.95
C3	0.0	0.0	0.0	0.1	0.23	0.28
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccnb2	0.0	0.0	0.0	1.42	1.4	1.2
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cyb5rl	0.0	0.0	0.0	3.48	2.22	3.27
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
D8Ertd82e	0.0	0.0	0.0	18.5	18.0	18.03
Ddx58	1.51	0.4	0.0	3.58	2.86	3.2
Dnajc16	0.0	0.0	0.14	44.57	46.18	45.21
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dvl2	0.0	0.0	0.0	17.26	18.66	16.97
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Efhc1	0.0	0.0	0.0	1.52	1.14	1.57
Egln2	0.0	0.0	0.0	70.11	80.45	72.08
Elavl1	0.0	0.0	28.57	31.19	28.89	29.14
Exoc6	0.0	0.0	34.13	36.36	36.95	34.92
Fbxo27	0.0	0.0	0.0	17.1	17.79	17.76
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gab3	0.0	0.0	0.25	1.15	1.01	1.44
Gabbr2	0.0	0.0	0.0	156.54	138.94	168.37
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gcnt2	0.0	0.0	0.13	24.49	23.67	23.19
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Git1	0.0	0.0	0.88	228.58	244.29	233.42
Gm14378	0.0	0.0	0.0	9.28	10.95	8.56
Gm2027	0.0	0.28	0.36	0.83	1.25	1.34
Gm572	0.0	0.0	0.0	0.14	0.14	0.07
Gm7008	0.0	0.0	0.0	1.66	1.01	0.83
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gpn3	0.0	0.0	0.0	20.32	24.79	22.82
Gpr56	0.12	0.0	0.0	35.18	41.0	42.34
Gprc5c	0.1	0.0	0.46	2.54	2.85	3.01
Grk5	0.0	0.0	0.0	12.87	12.3	11.46
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
