	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_3	Pvalb_tdTpositive_cell_74	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700054M17Rik	0.0	0.0	0.0	25.85	0.24	0.0	0.0
1700057H15Rik	0.0	0.0	0.0	0.4	0.0	0.0	0.11
2310028H24Rik	0.0	0.0	0.0	15.49	162.12	167.13	173.94
2310068J16Rik	0.0	0.0	0.0	17.77	0.49	0.48	0.21
2900005J15Rik	0.0	0.0	0.0	75.75	3.12	2.71	3.78
4632415K11Rik	0.0	0.0	0.0	88.11	9.86	10.52	9.7
4930414N06Rik	0.0	0.0	0.0	2.66	0.21	0.57	0.48
4930562C15Rik	0.0	0.0	0.0	4.28	0.08	0.19	0.08
4931403E22Rik	0.0	0.0	0.0	4.2	1.23	1.02	1.11
4931429L15Rik	0.0	0.0	0.25	5.11	0.71	0.58	0.75
6330512M04Rik	0.0	0.2	0.0	11.45	4.39	4.53	4.34
9130019O22Rik	0.0	0.0	0.0	20.53	1.78	1.89	2.45
9630033F20Rik	0.0	4.56	0.0	26.5	22.21	22.38	21.42
A530065N20	0.0	0.17	0.05	0.49	0.31	0.24	0.2
A730036I17Rik	0.0	0.0	0.0	0.31	0.5	0.55	0.72
Abi3	0.0	0.0	0.0	0.2	7.4	6.13	7.27
Actc1	0.0	0.0	0.0	51.72	7.52	0.07	0.0
Ak5	0.0	0.11	0.0	71.24	145.35	145.89	140.03
Akr1c21	0.0	0.0	0.0	3.51	0.0	0.08	0.0
Ankrd28	0.0	0.03	21.56	43.02	35.55	34.01	40.01
B230206H07Rik	0.0	0.12	0.0	0.58	2.4	3.11	4.05
B4galt2	0.0	40.7	0.0	45.53	83.29	92.69	90.06
Bcl3	0.0	0.0	0.0	7.22	0.22	0.41	0.62
Brd1	0.0	20.29	2.45	54.53	30.53	33.71	28.77
C330013E15Rik	0.0	0.0	0.0	51.39	2.89	3.49	4.9
Cables2	0.0	0.0	0.0	115.11	25.74	27.62	25.95
Cc2d1b	0.0	0.2	0.0	70.94	24.99	25.37	24.34
Ccl27b	0.0	0.77	0.0	3.28	30.63	28.29	22.96
Cdan1	0.0	3.6	0.16	14.67	12.72	12.84	12.6
Cdc25b	0.0	0.65	0.0	76.58	18.23	18.87	18.12
Cdt1	0.0	0.0	0.0	8.42	1.72	1.87	2.01
Chek2	0.0	1.07	0.35	2.97	1.82	1.22	1.21
Clec9a	0.0	0.0	0.0	0.12	0.13	0.19	0.03
Ctdsp2	0.0	0.0	3.91	78.03	69.58	68.68	66.09
Cyld	43.34	19.5	14.28	61.21	65.88	57.37	62.1
D19Ertd737e	0.0	0.0	0.0	35.77	18.94	17.62	19.41
Dnajb14	0.0	0.0	0.0	147.35	35.25	29.92	36.5
Efna1	0.0	0.0	0.0	0.26	5.59	5.14	6.39
Fam116a	0.0	0.1	2.41	73.31	25.77	24.91	25.12
Fancf	0.0	0.0	0.0	47.57	3.39	4.32	4.92
Fgfr1op2	0.0	12.05	0.0	217.07	100.83	95.67	92.32
Flna	0.0	0.08	0.0	39.78	33.14	31.66	35.64
Fus	0.0	1.44	0.0	15.81	236.98	238.88	232.01
Fzd9	0.0	0.16	0.0	5.36	4.04	4.87	6.01
Gcdh	0.0	2.02	0.0	177.34	29.17	27.82	28.04
Gfer	0.0	0.0	0.0	71.97	13.27	14.13	14.73
Ggnbp1	0.0	0.0	0.0	64.94	3.02	3.53	3.13
Glb1l	0.0	0.0	0.0	54.88	6.38	7.81	7.17
Gm10649	0.0	0.0	0.0	0.25	0.45	0.37	0.47
Gm12824	0.0	0.0	0.0	0.11	2.37	2.16	2.05
Gm13306	0.0	0.77	0.0	3.28	30.63	28.29	22.96
Gm2002	0.0	0.0	0.0	0.1	1.73	1.86	1.4
Gm2506	0.0	0.77	0.0	3.28	30.63	28.29	22.96
Gm5084	0.0	0.09	0.0	1.0	0.2	0.13	0.12
Gm9376	0.0	0.0	0.0	14.76	0.0	0.6	0.0
Gpx2	0.0	0.0	0.0	0.4	0.0	0.0	0.43
Gpx2-ps1	0.0	0.0	0.0	104.93	1.49	1.78	1.19
Hcn3	0.0	0.0	0.0	64.96	11.89	12.1	12.24
Heatr1	0.0	0.0	0.0	81.37	12.54	12.07	10.87
Hgsnat	0.0	0.0	0.0	182.31	50.84	52.82	50.58
Hif1an	0.0	19.85	0.0	37.94	26.84	25.97	25.72
Hist1h1e	0.0	0.0	0.0	11.54	2.01	1.66	1.91
Hnf1a	0.0	0.0	0.0	23.54	0.12	0.15	0.06
Il11ra2	0.0	0.0	0.0	0.1	1.73	1.86	1.4
Il17rb	0.0	0.0	0.0	3.84	1.35	1.45	1.34
Jag1	0.0	0.0	0.0	3.44	4.5	3.9	3.74
Jmjd7	0.0	0.0	0.0	117.53	4.12	4.84	4.78
Jph3	0.0	2.0	0.0	35.07	145.11	164.46	159.09
LOC627800	0.0	0.42	0.0	1.41	0.55	0.51	0.47
Loh12cr1	0.0	0.0	0.0	77.93	36.13	42.18	38.35
Mex3d	0.0	0.0	0.0	10.65	12.54	16.17	13.63
Nagpa	0.0	0.0	0.0	74.02	10.16	10.63	10.4
Nkapl	0.0	0.0	0.0	31.47	0.14	0.65	0.85
Nrip1	0.0	0.0	0.0	50.16	14.19	14.02	14.58
Olfr78	0.0	0.0	0.0	0.11	1.35	1.66	1.78
Pak4	0.0	0.0	0.34	24.87	7.83	7.46	8.28
Pate2	0.0	0.0	0.0	0.03	0.4	0.08	0.09
Phrf1	0.0	0.06	0.0	20.2	23.3	24.41	24.98
Pla2g4b	3.05	1.64	3.71	20.8	6.32	6.3	5.06
Pou2f1	0.0	0.0	0.0	31.76	9.06	7.29	8.6
Prdm9	0.0	0.66	0.0	3.57	2.41	3.04	2.37
Prr16	0.0	0.0	0.0	45.67	9.3	10.52	10.11
Rab11fip3	0.0	0.0	0.0	119.97	71.82	76.68	77.65
Rad51l3	0.0	0.69	0.42	62.03	8.41	7.93	8.2
Rad9b	0.0	0.0	0.0	6.21	4.06	3.96	3.75
Ranbp3	0.0	3.64	2.17	155.35	67.11	76.65	69.92
Rapgef1	0.0	0.06	0.0	45.65	59.62	59.34	62.33
Rarb	0.0	0.0	0.0	76.63	21.59	22.3	17.81
Rnf123	0.0	0.0	0.0	69.48	37.52	40.09	37.13
Rnf168	1.67	3.28	12.39	42.92	25.77	25.2	23.82
Rundc3a	0.0	10.21	0.0	53.98	259.19	288.36	272.51
Rwdd2b	0.0	0.0	0.1	95.63	9.55	10.72	10.6
Sema4d	0.0	1.53	0.0	45.22	34.11	35.44	37.74
Senp5	1.16	0.17	0.37	40.07	32.11	30.03	30.39
Snora30	0.0	0.0	0.0	59.88	5.56	7.86	0.0
Sowahc	0.0	0.0	0.0	51.58	5.66	5.68	6.56
Spire2	0.0	0.0	0.0	38.17	16.19	16.9	15.6
St13	0.0	109.78	37.46	142.91	141.08	140.69	138.58
Stat5b	0.0	0.0	0.0	44.36	17.97	18.48	16.87
Sumf2	2.82	7.18	14.22	135.84	15.81	16.8	15.29
Syne2	0.0	0.95	0.0	20.2	4.39	3.88	4.57
Synrg	20.22	1.32	34.24	26.85	46.69	43.29	43.22
Taf15	0.0	0.0	0.0	57.41	53.65	49.26	54.28
Tbx15	0.0	0.0	0.0	0.19	0.96	0.73	0.71
Tmem149	0.0	6.83	0.0	234.86	14.15	12.24	11.46
Ttc36	0.0	0.0	0.0	1.56	1.2	0.38	0.69
Tubgcp4	0.0	0.0	0.0	187.32	20.82	17.32	19.72
Uba5	0.0	0.68	0.55	123.79	46.62	45.04	45.31
Vars	0.0	0.0	0.0	58.05	28.26	31.81	30.57
Zdhhc13	0.0	0.82	0.0	97.49	22.75	23.14	22.85
Zfp493	0.0	0.41	0.0	67.37	2.24	1.89	2.04
Zfp58	0.0	0.14	0.0	94.24	5.96	6.55	6.23
c15_5S	0.0	0.0	0.0	165.93	3.61	1.39	0.0
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	9.51	0.0	18796.57	17507.83	18655.33
