	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_18	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810043G02Rik	21.42	24.94	271.13	32.08	0.0	77.66	46.17	0.0	26.79	0.0	26.32	5.43	0.0	0.0	0.17	0.0	0.0	0.0	0.0	27.13	78.51	0.0	26.54	63.78	23.89	0.0	13.77	0.0	0.0	0.17	0.0	19.79	24.87	0.0	32.91	36.07	32.05
2610109H07Rik	0.01	0.04	0.65	0.15	0.0	0.0	0.02	0.01	0.12	0.06	0.11	0.06	0.1	0.06	0.05	0.07	0.0	0.07	0.0	0.06	0.0	0.16	0.0	0.0	0.05	0.0	0.16	0.18	0.0	0.0	0.04	0.26	0.12	0.24	0.66	0.96	0.66
4933407C03Rik	37.32	36.99	51.89	18.16	0.0	12.84	26.96	25.56	7.8	31.29	7.97	37.07	93.11	10.44	47.53	8.84	28.47	35.08	85.66	35.41	12.93	4.75	11.9	54.86	31.93	0.09	36.26	0.0	0.0	24.35	13.48	7.76	20.61	3.87	170.94	165.8	181.82
Abca2	3.13	7.62	55.97	9.59	0.0	0.0	11.51	58.92	0.1	13.88	16.61	2.49	18.88	5.9	0.17	10.52	1.72	1.3	0.0	0.0	0.0	8.57	27.02	21.76	0.0	0.51	6.97	0.0	0.0	0.84	14.47	0.07	10.58	0.26	101.21	104.3	111.02
Apbb1	190.47	274.37	218.68	148.04	0.0	0.45	209.16	101.05	132.89	153.3	140.24	139.06	227.57	74.87	157.61	82.56	185.37	193.35	60.91	113.34	165.84	43.13	119.0	100.3	79.6	0.0	136.48	0.0	0.0	98.9	3.24	103.69	107.92	4.08	384.22	435.94	424.83
Arhgap33	5.78	0.62	28.36	8.94	0.0	0.0	0.02	6.06	1.07	0.25	7.65	0.06	20.41	0.07	0.0	0.17	9.37	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	14.17	0.09	0.0	0.0	0.0	0.86	8.09	36.12	124.52	124.01	136.22
Camk2n1	17.45	11.12	97.65	57.33	0.0	0.0	20.06	38.4	20.67	18.89	48.1	16.31	272.76	16.86	42.49	2.53	42.63	17.15	30.86	0.0	47.83	17.06	27.84	35.88	53.25	0.0	247.67	0.0	0.0	28.87	23.14	6.14	23.35	1.17	1136.92	1095.01	1131.2
Casc3	11.97	0.0	89.73	18.85	0.09	78.21	11.45	0.0	0.04	7.51	19.79	9.45	24.37	1.2	0.0	1.39	0.0	3.77	0.06	0.0	12.36	3.03	0.0	27.73	0.0	0.0	3.03	0.0	0.0	2.28	0.0	36.1	0.0	0.0	46.6	47.1	45.84
Casp9	0.0	3.49	61.23	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.28	7.43	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.14	0.0	0.04	0.0	0.0	3.83	0.1	0.0	0.0	0.0	38.92	0.0	0.0	17.48	18.58	17.96
Ccl27b	0.0	0.0	28.87	8.68	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	18.38	0.27	0.0	0.0	2.47	0.77	0.0	0.29	2.79	1.65	1.9	2.24	4.31	0.0	40.26	0.0	0.0	0.0	4.89	1.61	7.83	0.0	30.63	28.29	22.96
