	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_66	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106
1700023F06Rik	0.0	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	5.43	0.0	0.0	7.54	0.0	13.39
2510012J08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.01	0.0	69.82
2700062C07Rik	0.0	0.0	0.0	0.0	37.92	0.0	0.0	0.0	32.48	111.87	10.91	52.45	0.0	0.0	0.0	0.0	15.63	0.41	99.1	0.0	0.0	0.0	5.85	302.96
A830010M20Rik	0.0	26.38	0.0	0.0	108.83	1.11	93.91	61.49	46.88	81.85	45.59	31.04	25.34	53.12	79.93	42.0	17.74	46.03	26.27	39.88	83.89	147.31	97.08	129.2
Aig1	0.0	71.11	0.0	0.0	155.76	0.0	0.0	16.43	0.0	17.09	80.01	35.85	49.1	105.83	81.74	63.94	64.69	66.18	30.71	48.39	19.64	72.42	41.79	216.56
Anapc1	0.0	0.0	0.0	0.11	1.2	0.0	13.59	2.15	17.19	0.61	23.18	19.44	26.4	23.96	23.67	0.31	11.78	10.01	0.41	0.69	0.11	18.08	21.53	24.9
Ankrd11	0.0	0.0	0.0	0.0	25.93	0.0	0.79	6.05	17.33	7.23	20.17	2.01	7.12	19.78	3.81	2.02	8.1	8.91	11.83	0.46	8.08	20.34	0.0	40.62
Arl6ip4	0.0	0.0	0.0	0.0	37.25	0.0	11.92	40.35	39.04	46.11	34.5	47.24	45.21	4.54	57.2	18.06	99.36	103.1	50.69	34.22	39.39	228.02	46.17	110.68
Atf2	0.12	1.47	0.0	0.21	87.47	0.57	4.74	23.96	104.6	51.62	80.44	62.49	65.18	40.71	103.47	80.28	40.45	26.17	83.16	23.44	71.49	132.91	91.43	169.29
Bcr	0.0	0.0	0.0	0.0	6.97	0.0	3.42	0.65	0.0	0.0	0.41	0.0	0.91	26.64	7.46	1.73	12.42	12.04	0.08	2.03	10.43	16.88	4.88	36.03
Brms1l	0.0	0.0	0.0	0.0	76.76	0.47	88.22	38.24	169.55	57.04	195.01	72.79	9.38	4.22	134.27	39.62	136.07	37.62	136.81	87.98	21.85	202.86	63.07	186.62
Brox	0.0	0.07	0.0	0.0	1.69	0.52	22.56	26.57	137.57	1.81	77.82	73.73	23.77	108.45	0.71	96.8	57.94	31.16	85.76	11.58	28.73	163.46	38.77	333.25
Bzw1	0.0	67.84	2.65	3.66	154.28	0.84	154.37	148.16	283.66	270.59	364.92	206.54	347.4	462.55	326.92	213.1	203.03	242.19	280.42	163.34	368.34	704.7	115.66	487.44
Cgrrf1	1.62	0.0	0.0	0.0	51.31	0.51	117.13	308.2	175.3	208.27	174.59	134.83	106.05	135.47	116.53	87.48	96.02	91.17	9.22	0.0	106.26	10.06	112.34	367.59
Cisd3	2.71	0.0	0.0	0.0	166.79	0.0	60.18	163.33	105.67	23.76	139.85	33.35	118.57	250.02	76.42	115.61	82.27	144.22	157.23	231.37	62.94	188.09	70.76	205.56
Cwf19l2	0.0	6.47	0.0	0.0	16.44	0.0	1.56	1.56	11.01	2.38	15.95	26.49	0.0	7.4	2.08	21.38	24.16	2.36	29.69	13.51	3.14	63.25	12.76	83.31
D5Ertd579e	0.0	0.0	0.0	0.0	30.2	31.52	22.0	6.76	0.45	0.0	0.16	18.66	11.19	1.59	0.68	13.48	26.66	14.44	20.81	13.24	17.05	52.0	4.58	50.32
Dab2ip	0.0	0.0	0.0	0.0	19.39	0.0	6.08	0.0	0.0	0.0	10.46	1.77	0.0	0.0	0.0	0.0	0.0	5.71	8.12	2.74	0.12	16.56	0.0	35.17
Dync1li1	0.23	9.01	0.0	1.47	12.25	2.96	42.15	16.66	29.33	15.7	16.16	18.82	42.78	10.77	19.43	36.48	11.09	9.93	9.35	48.92	8.04	70.81	21.33	67.15
Eml4	0.0	0.05	0.0	1.37	10.9	0.0	0.1	10.28	21.51	0.46	0.84	0.59	18.76	0.22	0.17	0.55	2.26	29.46	3.66	19.36	0.48	31.09	0.68	66.99
Fads1	0.0	46.28	0.0	0.0	21.37	0.0	0.14	2.2	0.0	0.0	0.0	2.04	0.0	4.08	0.8	1.24	0.88	0.0	0.16	65.42	0.22	40.18	38.75	53.79
Frg1	0.0	159.11	0.0	0.0	1.99	0.0	7.57	103.5	100.24	161.48	87.98	33.71	172.66	17.87	203.78	88.7	113.5	151.7	93.13	276.44	52.01	254.6	54.44	237.74
Gfod1	0.0	2.15	0.0	0.0	11.02	0.09	5.75	18.65	53.4	13.95	19.0	21.59	68.32	38.78	0.0	18.14	25.36	14.85	14.56	0.0	16.01	6.83	16.14	71.74
Gm14326	1.12	0.03	0.0	4.02	12.88	3.49	64.2	2.07	63.42	24.53	22.99	16.88	19.33	30.36	15.28	17.29	14.59	25.52	3.64	4.3	33.69	104.36	14.54	154.04
Gtf3c4	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	15.6	0.0	26.92	0.0	15.74	11.22	0.0	5.13	12.59	0.0	0.0	0.76	3.02	22.99	9.99	51.83
Hdlbp	0.0	0.0	0.0	0.0	40.54	0.19	10.21	13.1	40.39	36.78	19.16	41.91	23.55	59.99	92.64	10.19	49.11	22.65	15.24	28.19	30.25	36.14	44.13	97.42
Inpp5k	0.0	0.0	0.0	0.0	41.8	0.0	27.17	52.33	5.84	46.7	8.63	34.0	112.19	68.95	0.0	52.02	10.63	0.0	3.27	0.0	0.0	140.25	0.52	140.72
Jakmip2	0.0	0.07	0.0	0.08	4.99	30.0	32.6	61.1	30.14	12.54	90.73	95.98	70.12	3.59	40.63	8.31	94.18	34.97	127.21	43.54	16.51	71.35	32.92	97.83
Lass5	0.0	131.51	0.0	0.0	0.0	0.0	0.0	5.12	0.0	0.0	0.0	31.51	0.0	52.33	0.0	32.27	31.76	25.62	0.0	47.12	3.63	2.36	109.17	131.98
Ldhb	7486.96	8970.97	0.0	5876.73	8752.31	6399.01	10118.08	10894.4	8892.3	9220.91	9343.6	8808.99	10165.1	11261.44	10004.69	9074.03	13571.31	12546.17	11010.48	10182.84	9082.37	6343.21	11746.38	3304.16
Med11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.11	52.43	60.27	95.52	103.57	0.0	13.47	0.0	0.0	70.44	0.0	74.15	69.71	0.0	152.07
