	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_67	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001O22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	5.85	8.8	7.38
1700010M22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0
1700028D13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.17
1700065J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.52	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.75	0.27
2010001E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.29	0.0	0.21	0.0	1.06	1.62	1.09
2210010C17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
2210417K05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.18	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.88	0.58
4922505G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.04	0.0	0.0	0.0	0.0	0.0	1.74	0.0	15.31	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.75	0.62
8030423J24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.49	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.24
Acaa1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.05	0.65
