	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_32	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_11	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1700088E04Rik	0.0	0.0	12.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.39	0.0	38.97	20.74	0.69	0.0	0.0	0.0	0.0
2010109I03Rik	2.18	0.14	1.48	0.26	0.36	0.79	1.12	1.23	0.3	0.0	0.38	1.26	1.57	28.86	0.48	80.34	0.07	0.17	0.0	0.45	0.16	0.27
2810422O20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.53	0.0	28.8	64.21	0.0	145.19	0.0	0.0	66.44	0.0	0.0	0.0
9130011J15Rik	187.2	118.95	366.84	0.9	400.98	218.97	157.72	0.0	147.56	265.51	272.89	94.08	190.65	242.86	4.41	276.45	0.1	139.47	281.58	230.21	30.91	305.93
A230028O05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.12	0.05	0.15	0.0	0.0	0.0	0.0	0.0	0.0
A430107P09Rik	111.47	14.58	113.81	166.25	74.35	62.71	27.0	43.2	97.25	40.34	88.77	110.12	83.92	79.67	97.93	177.88	39.14	56.15	29.01	46.33	36.03	24.08
A730017L22Rik	119.9	32.91	126.46	158.97	84.26	163.57	33.81	51.59	108.51	74.54	123.36	106.6	92.72	93.18	107.26	194.66	41.83	80.26	24.15	46.32	46.43	42.77
Alox8	9.68	4.33	14.97	20.41	9.2	12.84	10.1	5.08	10.27	5.78	8.81	14.12	12.65	11.18	9.03	15.07	6.25	7.72	5.43	8.39	7.54	4.35
Amy2a2	0.0	0.15	0.71	0.4	0.17	0.28	0.08	0.31	0.2	0.31	0.45	0.54	0.13	0.35	0.32	1.03	0.03	0.14	0.05	0.28	0.1	0.08
Amy2a3	0.0	0.15	0.71	0.4	0.17	0.28	0.08	0.31	0.2	0.31	0.45	0.54	0.13	0.35	0.32	1.03	0.03	0.14	0.05	0.28	0.1	0.08
Amy2a4	0.0	0.15	0.71	0.4	0.17	0.28	0.08	0.31	0.2	0.31	0.45	0.54	0.13	0.35	0.32	1.03	0.03	0.14	0.05	0.28	0.1	0.08
Arhgef1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	0.0	10.47	0.0	0.0	0.0	0.0	0.0	0.0
Arl8b	457.44	284.77	566.29	190.91	835.51	876.71	260.97	0.26	357.73	297.1	588.47	599.96	874.0	792.81	343.4	948.68	139.45	218.4	309.76	339.8	130.72	253.1
Astn1	213.66	0.03	101.94	0.21	82.06	41.43	6.17	0.0	2.55	6.83	0.05	78.01	100.73	100.52	202.9	169.36	1.05	92.17	0.0	0.0	54.12	0.0
Atp9b	0.0	32.02	19.7	0.0	0.0	0.06	0.0	0.0	0.66	0.0	0.0	0.0	0.0	63.6	60.99	41.46	2.81	0.0	0.0	0.0	0.0	0.0
BC061194	0.0	0.0	0.0	0.0	0.0	0.0	57.83	0.0	0.0	0.0	0.0	0.0	0.0	57.04	0.0	110.68	0.0	0.0	0.0	2.3	0.0	0.0
Bambi-ps1	28.03	8.1	69.83	50.45	10.55	27.43	23.4	0.0	24.02	15.82	19.47	59.19	24.04	35.75	21.28	67.45	6.66	14.16	10.29	7.31	4.82	3.09
Bax	0.0	0.25	283.62	111.61	0.0	88.72	24.13	0.0	147.04	49.27	67.05	0.0	103.99	67.38	0.16	333.61	65.25	38.24	0.29	0.0	74.53	11.02
Ccl24	0.89	0.28	0.38	0.41	0.0	0.0	0.0	0.35	0.15	0.0	0.58	0.94	0.49	0.0	0.1	0.97	0.0	0.0	0.0	0.0	0.25	0.0
Ccr9	1.19	0.0	1.61	0.52	0.55	1.53	0.0	0.76	0.47	0.32	0.36	0.53	0.18	0.71	0.65	1.6	0.0	0.24	0.45	0.88	0.21	0.36
Clmn	1.41	0.22	0.49	0.16	0.64	1.22	0.32	242.21	0.4	0.12	0.21	0.51	0.28	12.54	0.47	33.16	0.12	0.1	0.37	0.27	0.05	0.05
Cml3	0.7	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.85	0.0	0.98	0.2	0.21	0.0	0.77	0.0	0.0
Cpeb1	0.0	11.15	109.57	0.0	5.26	11.86	77.02	0.0	0.0	0.0	65.83	141.01	140.45	85.84	2.67	129.72	0.0	19.95	38.09	112.7	18.71	0.0
Cxcr2	61.11	30.21	77.4	89.28	49.81	46.94	31.44	34.52	46.78	30.48	68.1	53.89	134.84	65.78	47.61	88.33	93.16	34.15	31.14	44.15	35.61	45.06
D5Ertd605e	6.66	0.42	10.69	14.74	6.44	7.62	5.24	0.0	8.45	5.17	3.44	10.81	4.59	13.33	2.83	13.63	1.99	2.29	3.03	3.76	1.67	1.75
Dctn4	225.78	4.29	27.69	88.34	214.87	175.47	122.29	205.4	110.08	91.17	123.57	166.12	100.21	198.48	146.9	303.13	44.91	5.07	0.26	15.94	62.02	46.55
Dlst	3.96	1.3	265.61	0.0	1.03	55.72	0.0	0.0	0.08	0.25	203.64	0.0	12.97	35.31	369.12	205.12	34.01	3.85	0.09	135.27	0.77	0.0
E130008D07Rik	5.41	1.66	16.16	4.4	5.57	8.18	2.86	0.9	9.75	6.62	2.62	7.59	8.99	8.6	2.04	13.46	0.97	5.27	4.81	2.4	2.47	1.51
Eif2ak2	53.21	13.23	59.65	282.28	54.76	42.2	18.29	28.69	36.78	23.58	46.35	41.66	59.04	56.78	37.89	118.54	15.29	16.75	7.93	24.55	17.05	28.41
Epha5	0.0	10.09	80.34	0.0	1.03	16.36	0.03	0.0	0.0	0.14	5.27	6.48	18.03	0.91	31.84	50.17	29.83	1.3	0.0	2.75	43.2	5.72
Ermap	4.11	0.51	7.41	7.7	3.96	2.1	0.39	0.26	3.91	1.61	4.56	6.55	4.09	4.31	3.12	10.51	2.09	1.24	1.25	1.62	1.14	1.09
F630111L10Rik	0.08	0.0	78.02	0.07	49.23	0.09	14.96	0.05	0.03	0.09	0.05	0.0	0.0	66.71	2.73	71.2	7.84	0.0	0.0	0.0	17.06	0.0
Fam169b	13.88	4.83	36.66	47.21	10.96	19.08	9.16	3.71	23.89	13.79	12.87	34.97	21.92	28.09	15.86	30.64	4.55	12.23	9.09	9.78	3.4	8.14
Fam185a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.33	10.07	76.46	0.0	0.0	0.08	0.0	0.0	0.0
Fdft1	151.46	328.63	299.38	140.13	605.87	247.44	0.52	0.0	168.82	231.86	350.55	71.26	217.81	507.87	250.1	390.38	103.89	49.53	146.45	1.77	233.72	0.17
Fhl2	3.75	0.55	191.19	259.22	43.19	22.8	0.0	0.0	52.76	6.75	112.51	0.49	0.0	28.58	136.22	132.35	0.92	0.0	0.0	0.0	10.48	4.06
Gm5607	15.49	3.01	19.44	12.8	7.61	10.07	4.2	3.06	14.23	6.77	14.34	16.93	9.73	11.61	8.36	28.56	3.46	7.61	3.51	2.33	3.5	3.01
