	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_76	Rbp4_tdTpositive_cell_186	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700054N08Rik	0.0	21.14	0.19	56.5	60.27	59.05
2310067B10Rik	0.0	1.99	0.1	39.04	41.23	42.57
A330076C08Rik	0.0	0.0	0.53	0.87	0.63	0.69
Add3	0.0	47.56	0.0	68.77	69.59	67.27
Adipor1	41.07	2.63	7.6	76.62	83.36	79.95
Akap8l	0.0	16.68	0.12	131.54	137.91	145.39
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cabp1	0.0	8.27	1.77	158.2	157.48	164.46
Ccdc84	0.0	0.0	6.82	10.79	10.75	9.18
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Coq3	0.0	0.0	0.21	15.72	17.26	17.01
D030016E14Rik	0.0	0.0	8.41	48.89	47.83	46.08
Ddx3x	0.0	49.49	71.59	185.5	147.02	142.87
Dlgap3	0.0	0.0	1.46	226.76	237.6	239.55
Dock8	0.0	0.2	0.21	2.6	1.85	2.05
Dync1h1	0.0	0.68	23.18	143.44	143.12	153.5
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabbr2	0.0	0.72	4.11	156.54	138.94	168.37
Gcat	0.0	0.0	0.11	8.17	8.8	8.4
Glp2r	0.0	0.0	0.0	2.36	1.97	1.85
Gm10052	0.0	1.04	0.0	123.8	132.68	117.96
Hars2	0.0	0.0	1.58	23.06	20.94	19.55
Hdgfrp2	0.0	0.0	3.07	69.64	80.22	74.92
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hs6st1	0.0	0.0	0.0	44.99	46.47	43.97
Itpkc	0.0	0.0	0.0	8.41	8.79	7.99
Ivns1abp	2.21	0.47	47.27	161.93	154.95	147.82
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	0.0	14.96	29.39	57.01	58.93	59.96
Lag3	0.0	0.32	0.64	6.77	7.49	11.34
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Mll5	0.0	1.65	37.29	42.7	38.88	44.87
Mrps34	0.0	0.0	0.0	61.96	78.81	68.15
Mtap1a	0.0	4.15	4.26	314.16	309.4	342.35
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Pde4c	0.0	1.39	1.95	3.15	3.16	2.82
Pdgfra	0.0	0.0	0.0	24.76	23.57	25.11
Pdia3	0.0	0.1	71.12	154.5	153.1	147.09
Sec1	0.0	0.14	0.0	2.92	2.97	3.03
Senp2	0.0	3.08	17.69	66.11	66.28	65.13
Setbp1	0.0	0.0	6.82	12.73	11.74	13.66
Snrnp200	0.0	0.0	11.69	56.11	58.53	58.1
Sox2	0.0	0.0	0.0	33.71	34.34	36.51
Synj1	0.0	1.86	99.25	186.57	176.61	182.9
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d20	0.0	0.0	0.0	47.16	46.92	49.79
Tspan5	0.0	14.44	143.33	148.49	149.54	152.73
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2q1	0.0	0.0	55.52	71.27	73.7	67.97
Ube4b	0.0	6.87	4.34	67.23	68.41	62.94
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wbp7	0.0	0.0	6.27	25.14	25.82	27.79
Wdr24	0.0	1.78	0.0	19.69	21.56	21.33
Wfikkn2	0.0	0.15	0.18	1.98	1.38	1.39
Zfp644	0.0	19.77	0.0	24.87	21.59	26.39
Zfp692	0.0	2.54	0.0	35.85	35.72	38.95
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zswim4	0.0	0.0	9.58	10.77	11.62	10.93
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
