	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700028K03Rik	97.29	0.0	0.0	0.0	3.29	2.92	2.6
1700054N08Rik	80.42	0.0	0.0	0.0	56.5	60.27	59.05
1700120E14Rik	28.57	0.0	0.0	0.0	0.0	0.0	0.0
2610206C17Rik	0.23	0.0	0.0	0.0	0.52	0.05	0.18
4930480K15Rik	55.77	0.0	0.0	0.0	0.32	0.0	0.19
4930488B22Rik	0.92	0.0	0.0	0.0	0.01	0.05	0.26
4930511A02Rik	1.15	0.0	0.0	0.0	0.0	0.05	0.06
4930570G19Rik	108.0	0.0	0.0	0.0	15.12	13.62	16.74
5031425F14Rik	0.39	0.0	0.0	0.0	0.0	0.06	0.06
5530401A14Rik	14.5	0.0	0.0	0.0	0.05	0.0	0.06
5530601H04Rik	17.14	0.0	0.96	0.45	7.47	5.22	6.09
6030458C11Rik	168.78	0.0	28.15	5.34	34.06	33.37	33.72
9330111N05Rik	0.23	0.0	0.0	0.0	0.07	0.13	0.07
A130010J15Rik	75.06	0.0	0.09	0.93	4.05	4.0	4.19
A130022J15Rik	36.8	0.0	0.0	0.13	21.85	18.38	21.81
A730011L01Rik	69.84	0.0	3.98	3.72	18.35	17.54	19.37
Acsl6	389.79	0.0	70.94	70.46	165.64	155.64	169.63
Apobec4	5.71	0.0	0.0	0.0	0.0	0.0	0.07
Armc10	39.44	0.0	2.75	0.0	25.9	22.88	22.82
Ascl2	48.45	0.0	0.0	0.0	0.31	0.29	0.32
Axin1	50.19	0.0	0.0	0.0	16.05	17.05	16.13
BC065397	18.88	0.0	0.0	0.0	2.91	2.03	3.13
Bmp2	46.66	0.0	0.0	0.0	4.05	3.96	3.32
Btc	1.59	0.0	0.18	0.58	1.24	1.37	1.42
Ccdc66	105.75	0.0	7.71	7.99	10.63	7.81	11.03
Ccnyl1	94.09	0.0	0.0	0.0	20.96	19.68	19.73
Cd3e	0.47	0.0	0.18	0.0	0.07	0.13	0.0
Cdc42se2	529.98	0.0	62.36	119.29	149.94	152.27	146.59
Cdc45	104.07	0.0	0.0	0.0	1.69	2.02	1.86
Col12a1	0.95	0.0	0.0	0.0	4.46	4.12	4.34
Col4a4	0.04	0.0	0.0	0.0	0.23	0.26	0.14
Crebl2	122.04	0.0	0.0	0.0	28.82	29.5	26.62
Crim1	13.41	0.0	0.0	0.0	32.44	32.38	31.12
Crip3	68.14	0.0	0.0	0.0	2.33	2.15	1.65
E230029C05Rik	56.62	0.0	0.0	0.0	1.09	0.95	1.61
Edem2	164.8	0.0	0.0	0.0	18.59	18.24	17.45
Efcab9	43.77	0.0	0.0	0.0	0.4	0.5	0.83
Egfl6	0.63	0.0	0.0	0.34	2.35	2.46	2.51
Epha1	9.85	0.0	0.0	0.0	0.21	0.43	0.31
Evi5l	48.04	0.0	0.0	0.0	69.66	60.99	66.1
Fabp12	1.64	0.0	0.1	0.0	0.15	0.12	0.05
Fam172a	85.08	0.0	6.37	0.0	28.96	29.95	29.15
Fam188b	40.04	0.0	0.0	0.0	4.94	5.42	4.83
Fibin	225.15	0.0	0.0	0.0	4.74	3.61	2.42
Fignl2	1.48	0.0	0.0	0.0	0.72	1.08	0.87
Frem2	0.03	0.0	0.0	0.0	1.2	1.04	1.38
Fxr2	46.86	0.0	1.18	0.14	98.68	103.47	95.24
Gm14023	0.18	0.0	0.0	0.0	0.3	0.5	0.29
Gm14635	0.23	0.0	0.0	0.0	0.0	0.39	0.28
Gm16617	41.66	0.0	0.0	0.0	1.0	0.49	0.98
Gm3893	90.43	0.0	18.2	0.0	35.97	29.31	8.42
Gm5465	2.94	0.0	0.56	0.0	1.1	0.99	1.0
Gm5468	47.31	0.0	0.0	0.0	3.45	3.46	3.39
Gm996	37.47	0.0	0.0	0.0	78.71	86.88	83.34
Golm1	71.5	0.0	0.0	0.0	20.66	21.05	20.03
Gpr149	7.38	0.0	0.0	0.12	2.93	2.48	2.37
H2-Eb1	62.76	0.0	0.0	0.0	2.33	2.19	1.85
Heca	57.66	0.0	0.0	0.0	18.02	17.53	17.71
Hist1h2be	14.59	0.0	0.0	0.0	2.16	2.9	2.39
Hpcal1	157.03	0.0	0.0	0.0	81.48	89.83	79.87
Hpn	27.47	0.0	0.0	0.0	1.61	1.01	1.45
Htatip2	118.77	0.0	0.0	0.0	14.94	12.51	13.65
Il1f9	6.91	0.0	1.81	0.5	4.24	4.04	4.25
Inppl1	5.11	0.0	0.68	0.0	22.3	22.21	22.15
Ints2	73.07	0.0	16.61	0.0	13.72	12.66	13.28
Iqcg	51.97	0.0	0.0	0.0	2.25	2.38	1.89
Isg20l2	77.1	0.0	3.36	0.69	12.09	10.79	10.78
