	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_82	Rbp4_tdTpositive_cell_51
4921508A21Rik	0.88	12.61	7.28	10.8	16.54	26.51	24.92	12.25	45.07	35.53	16.38
4932413F04Rik	0.0	0.0	0.0	0.0	9.03	2.89	0.0	0.0	6.43	9.63	0.0
Acadvl	0.0	131.19	74.44	1.8	215.77	97.41	22.92	188.46	192.03	327.55	93.41
Actr2	0.0	582.42	535.6	333.66	401.88	413.8	601.4	598.49	301.63	614.02	549.73
Ankar	0.0	0.0	0.0	0.0	0.08	0.2	0.0	0.44	0.0	1.77	0.0
Armc6	0.0	1.53	0.0	0.0	0.51	0.0	0.0	29.14	0.0	77.53	0.0
Armcx3	0.0	43.87	218.5	0.45	271.32	143.47	85.25	92.06	87.27	295.92	84.27
Capn12	0.0	0.34	2.38	0.27	0.0	0.0	2.78	0.0	0.68	6.86	0.0
Cdc26	0.0	60.34	46.98	119.0	72.83	103.83	118.0	99.86	0.0	207.27	0.0
Cep57	0.0	6.81	25.95	0.0	3.4	35.23	23.22	38.31	2.13	80.68	4.4
Ciao1	0.0	22.48	75.2	26.03	100.38	63.52	59.85	62.42	55.64	126.88	74.48
Cotl1	0.0	10.15	6.83	7.16	0.0	0.0	3.27	4.8	6.68	20.17	4.93
Ctsa	0.0	57.81	109.48	67.96	120.93	121.15	65.0	116.0	30.14	183.37	141.42
D14Abb1e	0.05	17.61	5.84	12.47	15.11	2.51	17.15	8.09	14.24	48.19	14.47
Dolpp1	0.0	0.0	0.0	0.0	0.0	88.09	0.13	0.0	8.84	94.16	0.47
Eif2ak4	0.0	20.64	42.19	15.41	0.0	0.43	0.34	26.38	9.25	43.63	0.66
Fam133b	0.0	29.11	9.06	16.49	10.57	11.51	5.21	14.25	21.17	85.74	36.64
Fam18a	0.0	0.0	4.3	0.0	0.11	32.51	1.51	0.5	0.0	73.46	0.65
Fancg	0.0	0.0	0.0	0.0	63.65	0.0	0.0	0.0	0.0	78.83	0.0
Fkrp	0.0	0.0	22.89	0.0	5.18	0.0	0.1	4.66	0.0	40.3	0.0
Fubp3	0.0	0.0	27.1	24.4	13.77	3.51	10.86	27.15	24.95	87.06	34.96
Gdap1l1	0.0	5.75	32.25	0.0	0.14	118.75	89.39	68.64	42.07	149.21	23.34
Gm14436	0.0	1.79	4.37	0.38	8.82	5.29	3.08	3.55	6.8	27.13	1.37
Gm4285	0.0	0.0	0.81	0.0	3.69	1.21	0.49	23.77	40.47	43.83	14.13
Il2ra	0.0	0.33	0.22	0.0	0.1	0.98	0.22	0.47	0.63	1.3	1.29
Kcnab3	0.0	21.13	73.57	0.3	135.99	37.69	88.22	72.25	110.08	290.24	149.29
Ldhb	2593.67	10894.4	10165.1	9166.61	11261.44	10004.69	13571.31	12546.17	11010.48	6907.68	11746.38
Man2b2	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	5.47	31.98	11.9
Mccc2	0.0	19.24	41.52	0.0	3.18	88.99	0.0	0.0	4.85	125.12	8.66
Mkl1	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.26	22.96	0.0
Mll1	0.0	7.4	11.18	5.72	26.49	17.88	5.31	5.47	11.73	34.24	1.21
Mll2	0.0	9.25	21.8	10.58	11.96	21.75	19.26	16.67	21.4	33.44	9.75
Osbpl8	0.0	0.73	36.59	4.12	35.2	32.08	26.5	36.87	22.8	43.71	21.8
Pax1	0.0	0.0	0.0	0.0	0.57	0.4	0.48	0.16	0.0	0.78	0.0
Ppp4r1	0.0	0.13	1.87	0.0	36.77	33.34	27.98	24.37	20.32	61.99	0.05
Ptprj	0.0	0.06	0.0	0.0	0.0	11.86	0.0	0.0	0.0	23.19	0.1
Pvalb	0.0	2144.98	1316.24	1251.83	1740.57	1769.21	1408.27	1731.8	1295.74	1319.97	3516.69
Reps1	0.0	0.0	16.63	0.0	26.37	2.86	14.66	7.34	15.26	67.33	0.0
Rtkn2	0.09	0.22	0.17	1.28	0.86	2.22	2.69	0.12	1.42	32.12	1.1
Skil	0.0	2.8	33.43	10.42	15.05	50.93	13.93	23.79	7.37	74.57	8.97
Sms	0.0	30.87	43.98	1.82	4.65	123.96	60.09	55.82	48.14	148.47	36.98
Snrnp25	0.0	0.0	3.28	0.0	88.1	0.0	58.65	0.0	59.27	94.6	58.64
St6galnac6	0.0	0.0	1.71	0.0	0.0	0.0	0.37	0.0	0.0	54.32	0.0
Syt13	0.0	0.38	17.79	0.6	1.44	61.6	94.66	26.85	39.06	127.04	0.04
Tardbp	0.0	53.37	10.03	0.0	36.96	22.02	33.08	29.75	22.01	91.13	0.84
Tshz3	0.0	9.37	4.76	0.15	50.63	30.32	3.08	14.72	2.99	61.87	9.93
Txndc16	0.0	19.8	51.07	45.27	43.02	45.63	18.97	0.0	42.03	54.63	0.0
Ylpm1	0.0	2.95	1.91	0.0	5.44	6.63	3.74	7.51	8.1	42.0	0.55
Zfp772	0.0	0.18	0.11	0.28	42.04	7.7	1.12	0.53	0.77	86.34	0.92
Zfyve19	0.0	33.6	2.73	0.0	0.0	88.57	40.09	107.53	77.54	166.06	0.0
c17_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.36	0.0
