	Calb2_tdTpositive_cell_54	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Vip_tdTpositive_cell_9	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110051M20Rik	264.82	13.01	216.81	106.95	8.33	0.0	241.52	0.2	127.28	74.34	483.53	143.82	0.79	296.96	189.34	172.35	76.03	84.98	77.66
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700003M07Rik	1.3	1.18	3.41	2.95	1.84	1.79	0.0	1.25	1.53	1.81	87.79	2.29	1.37	0.92	1.97	2.4	16.32	15.13	17.66
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700011L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700019D03Rik	0.0	208.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.75	0.0	0.0	0.0	58.74	0.0	10.87	8.28	13.99
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2010001M06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.86	0.0	0.0	57.45	0.0	0.0	6.52	8.12	6.52
2300005B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.71	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0
2310014L17Rik	1.46	0.76	0.49	1.84	0.86	0.9	0.11	2.2	3.16	0.91	25.96	1.33	2.37	3.73	1.1	2.46	4.8	4.32	5.71
