	Calb2_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_33	Rbp4_tdTpositive_cell_62	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18
1110038B12Rik	39.23	0.0	58.56	116.36	0.0	33.1	150.41	0.0	230.78	0.0	0.0	11.57	296.45	79.83	56.29	1.07	0.51	0.0	1.26	0.0	167.66	166.19	0.0	90.92	1.1	69.81	0.0	111.45	94.37	1.78	0.85	221.04	0.0	3.1	41.38	118.89	233.76	81.53	0.0	0.0	28.38
4930511M06Rik	38.18	4.99	97.25	131.29	85.43	164.34	127.17	96.32	113.32	29.96	44.14	113.38	91.87	135.9	82.85	107.82	129.0	90.01	45.6	100.93	105.72	106.41	22.75	53.09	68.67	63.57	85.66	164.08	136.41	139.59	103.36	21.21	86.37	3.73	146.45	195.36	158.87	167.05	130.79	122.66	90.05
5330434G04Rik	0.0	0.0	0.79	2.69	0.0	115.28	152.66	1.12	43.67	0.0	0.08	84.78	68.12	1.03	0.1	22.06	0.12	47.69	0.0	0.0	1.14	0.0	0.1	1.06	0.12	105.11	0.0	13.84	62.53	3.66	24.11	0.0	0.0	0.0	29.49	149.98	0.0	0.0	0.0	0.0	0.0
Acsm2	0.29	0.21	0.99	1.3	0.71	0.98	0.67	2.04	2.3	0.25	0.34	1.69	1.35	1.18	1.39	1.11	1.18	0.74	0.77	0.47	1.35	1.29	0.23	0.66	0.89	0.54	1.04	1.55	1.98	1.6	1.33	0.33	0.4	0.08	1.72	2.94	2.52	1.46	2.33	1.47	1.01
Brip1	4.2	3.31	5.4	8.72	6.13	9.21	0.95	10.26	11.84	2.98	7.88	10.78	9.14	6.93	5.15	8.91	9.71	5.86	5.87	7.57	7.79	14.73	7.14	12.44	11.24	5.95	11.27	7.2	7.57	6.77	5.57	4.71	2.08	1.43	5.91	16.9	17.54	13.86	12.42	7.54	5.87
C330024D21Rik	11.46	23.44	35.4	28.99	12.82	46.39	34.14	49.95	40.82	13.2	17.41	102.48	40.96	39.88	35.35	32.01	33.98	26.2	13.04	46.56	37.96	35.66	10.5	42.64	13.89	24.98	17.86	36.87	50.14	37.3	70.94	0.1	18.03	1.03	56.36	84.34	63.78	71.34	36.96	56.88	29.54
Ccdc75	8.4	0.24	1.7	45.36	22.12	51.74	14.85	28.61	12.12	1.71	1.36	3.45	151.9	35.57	70.84	42.62	43.44	131.96	1.18	35.81	31.8	0.53	0.42	4.54	1.08	0.52	151.19	1.62	4.6	2.04	15.59	0.24	19.76	0.71	32.02	182.2	75.38	1.72	219.56	2.08	20.78
Clec4a2	0.14	0.16	0.26	1.07	0.2	0.0	0.16	1.41	1.34	0.8	0.16	2.45	0.59	0.48	0.47	0.45	1.31	0.71	0.84	1.35	0.59	0.39	0.37	0.96	0.0	0.23	0.41	0.63	1.3	0.52	0.05	0.0	0.68	0.23	0.86	1.74	1.92	1.7	0.57	1.65	0.82
Ecd	16.6	0.0	55.53	0.44	8.16	11.18	56.16	85.84	0.27	0.0	0.19	8.7	340.0	0.0	102.28	0.57	0.6	0.0	0.0	108.09	99.24	110.93	0.0	6.34	0.62	6.24	0.51	59.2	8.09	147.82	95.08	202.78	63.59	0.0	277.37	523.08	74.19	32.3	0.68	3.76	202.81
Entpd4	0.05	0.0	0.06	0.43	0.0	0.15	0.0	39.58	103.25	0.0	0.0	0.36	311.93	9.32	0.11	0.12	63.71	0.0	1.94	0.0	0.0	0.0	17.39	54.76	0.14	23.43	35.58	81.28	0.0	65.53	0.11	0.11	0.0	83.94	0.0	197.08	98.97	4.51	0.0	90.99	0.0
G630008E18	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.08	0.22	0.14	0.11	0.0	0.0	0.0	0.0	0.63	0.72	0.08	0.56	0.51	0.0
