	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_102	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007P22Rik	5.03	0.0	0.0	0.0	0.0	257.66	0.48	0.0	8.18	0.0	0.0	0.0	0.0	0.0	124.93	0.0	153.33	124.73	122.41	0.0	2.07	0.0	0.0	0.0	0.0	0.0	192.93	0.0	0.0	0.0	0.0	0.0	13.15	63.3	41.37	1.29	0.9	0.0	224.25	0.0	0.0	139.25	0.0	0.0	0.0	0.0	139.32	0.0	112.17	76.92	0.0	0.0	22.68	22.93	16.26	26.3	18.61	30.68	36.89	31.63
1110008F13Rik	0.0	0.0	62.84	0.0	0.0	156.05	49.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0	0.0	0.0	0.0	0.0	3.04	79.7	31.9	52.37	121.08	0.0	0.0	60.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.39	87.44	0.0	17.31	14.07	19.89	10.86	16.1	82.83	95.29	90.67
1300002E11Rik	0.07	0.11	210.67	0.0	4.06	304.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.01	0.0	0.0	0.0	0.0	0.06	0.1	0.0	0.0	0.0	2.69	0.0	0.13	0.15	0.0	4.56	0.0	37.41	39.96	27.59	0.11	0.55	0.93	0.13	215.54	0.0	126.51	0.0	0.1	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.13	9.87	1.17	21.27	17.57	19.43	9.78	8.35	8.4
1500011H22Rik	278.39	0.0	0.0	74.38	242.51	446.05	0.0	44.0	0.0	0.0	73.65	16.56	108.89	0.0	297.62	0.86	0.0	0.0	3.18	0.0	0.0	0.0	84.36	0.0	0.0	39.58	103.89	0.0	0.0	41.3	45.99	0.0	21.43	7.71	62.37	71.49	356.46	4.84	41.44	0.56	81.21	0.0	169.22	7.34	236.67	0.0	0.0	146.15	0.0	0.0	0.0	0.0	48.6	44.78	66.66	59.7	50.33	90.96	99.25	83.48
1700052N19Rik	0.0	160.41	209.92	0.0	16.41	327.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.36	0.0	0.0	0.0	0.0	0.0	0.0	25.1	0.22	11.5	0.45	0.52	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.06	0.21	0.0	11.44	63.27	35.85	36.52	38.53	22.47	20.67	21.18
1700065D16Rik	0.1	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.36	0.0	0.0	0.0	0.17	0.0	0.0	0.23	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.26	0.24	0.26	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.39	0.0	0.13	0.0	0.0	0.11	0.14	0.0	0.0	0.13	0.33	0.62	0.66
1810007C17Rik	0.0	0.0	0.0	0.0	0.0	24.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.15
2010317E24Rik	0.16	0.0	0.09	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	5.21	0.04	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	1.1	1.19	1.11
2310061I04Rik	0.0	0.0	0.0	0.0	0.0	272.77	129.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	71.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.02	0.0	0.0	0.0	0.0	167.72	0.0	6.93	48.15	26.57	17.44	0.61	0.0	23.55	0.0	105.4	0.0	183.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.35	33.85	17.55	31.62	19.84	76.54	80.37	71.72
4930413F20Rik	0.0	0.0	0.0	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.83	0.76	0.38	0.0	5.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.83	0.47	0.0	0.56	0.55	0.0	0.0	0.0	0.48	0.0	4.84	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	1.8	1.25	0.71
