	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_60	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_81	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
2610001J05Rik	94.9	119.96	0.74	3.97	4.49	268.48	0.0	116.41	207.53	106.08	168.44	0.0	0.0	0.0	0.0	49.25	156.48	124.54	14.94	347.69	0.0	0.77	81.06	225.14	238.82	48.37	58.87	42.07	107.18	0.16	91.35	78.93	0.0	0.17	116.24
2810405K02Rik	166.52	0.0	833.54	304.16	0.0	0.0	115.51	466.87	448.61	0.0	456.6	0.0	0.0	241.75	207.32	263.53	0.74	149.16	0.55	415.38	0.0	148.87	226.15	0.0	25.41	281.37	87.53	76.65	0.38	0.0	223.32	147.66	558.18	0.0	0.0
2810433D01Rik	27.19	14.32	25.26	19.98	23.37	23.8	25.15	18.53	15.87	3.43	0.89	0.58	0.0	20.63	3.69	7.38	3.13	13.6	19.16	4.28	13.42	15.71	34.17	3.93	8.74	14.12	13.32	14.04	7.01	1.57	2.76	5.0	0.69	3.81	1.93
2900055J20Rik	389.55	187.62	774.11	448.26	0.0	156.84	618.28	689.55	553.64	372.51	0.59	0.0	0.0	0.49	0.0	37.92	0.81	0.68	395.32	1.64	0.0	105.89	253.06	0.0	176.73	743.45	94.75	96.14	19.6	0.0	142.51	101.64	0.0	0.0	0.0
4932411L15	133.9	293.93	140.94	365.1	297.8	288.06	405.27	342.21	352.07	9.78	10.58	87.69	23.08	321.05	91.39	176.92	160.38	102.5	220.2	7.42	122.54	140.89	350.75	237.85	227.09	142.78	93.31	92.64	91.6	182.22	84.08	114.95	171.75	96.79	76.68
6820431F20Rik	155.12	8.2	86.01	195.01	66.2	543.69	93.56	74.81	312.78	22.78	111.86	369.21	270.92	176.03	96.35	103.49	0.78	183.54	3.75	0.08	348.01	276.13	2.2	104.3	125.29	106.28	66.95	71.81	20.57	47.62	37.83	75.67	90.41	8.12	0.0
A430107P09Rik	47.31	71.54	64.18	81.42	76.43	135.88	107.91	74.56	121.3	48.61	5.44	18.08	18.04	63.94	29.73	56.17	57.55	59.58	34.01	8.72	65.74	61.13	107.43	74.67	59.64	99.92	35.52	34.58	39.14	56.15	29.01	46.33	30.5	36.03	24.08
Abca3	0.0	26.66	0.0	87.77	0.0	60.34	18.21	35.18	7.29	0.0	0.06	0.0	0.0	13.9	0.05	7.49	0.0	0.0	34.38	0.0	16.05	55.54	0.0	0.0	83.92	0.09	3.23	2.29	0.0	0.0	0.0	0.05	0.0	0.77	0.0
Adarb2	36.64	86.62	0.36	55.0	77.54	159.54	227.58	485.5	89.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	234.43	0.2	194.08	18.63	211.94	12.2	93.95	29.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ank2	291.76	65.76	44.17	165.03	40.05	224.0	353.83	124.45	204.64	18.5	58.87	43.64	44.93	42.34	1.46	95.73	65.11	175.1	147.23	101.36	10.24	30.06	149.68	208.02	124.19	10.4	132.37	138.01	140.31	58.13	52.14	75.16	174.38	56.31	79.96
