	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_61	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
3110056K07Rik	0.0	55.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	26.18	0.0	119.15	94.0	49.79	2.01	6.42	0.0	50.44	0.68	0.0	0.0	14.33	0.0	0.0	0.0	0.0	0.0	0.0	32.98	17.38	30.77	26.74	47.75	26.83	21.81	16.43	55.42	0.0	0.26	0.0	0.0	0.0	0.0	0.0	44.56	88.07
Aldh6a1	0.0	0.54	0.0	0.0	0.0	60.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	1.61	46.95	38.25	81.23	42.42	40.55	146.94	0.0	62.73	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	7.89	0.86	5.43	3.13	12.31	11.92	1.32	4.95	0.0	0.0	0.0	32.85	0.0	0.0	56.4	0.0	0.0
Amy2a2	0.3	0.13	0.06	0.2	0.26	0.38	0.0	0.0	0.0	0.38	0.09	0.61	0.12	0.18	0.19	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.25	0.35	0.06	0.12	0.35	1.23	0.04	0.0	0.24	0.16	0.1	0.0	0.08	0.08	0.04	0.16	0.14	0.28	0.09	0.33	0.6	0.18	0.31	0.27	0.63	0.17	0.13	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a3	0.3	0.13	0.06	0.2	0.26	0.38	0.0	0.0	0.0	0.38	0.09	0.61	0.12	0.18	0.19	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.25	0.35	0.06	0.12	0.35	1.23	0.04	0.0	0.24	0.16	0.1	0.0	0.08	0.08	0.04	0.16	0.14	0.28	0.09	0.33	0.6	0.18	0.31	0.27	0.63	0.17	0.13	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a4	0.3	0.13	0.06	0.2	0.26	0.38	0.0	0.0	0.0	0.38	0.09	0.61	0.12	0.18	0.19	0.18	0.08	0.12	0.16	0.07	0.04	0.07	0.25	0.35	0.06	0.12	0.35	1.23	0.04	0.0	0.24	0.16	0.1	0.0	0.08	0.08	0.04	0.16	0.14	0.28	0.09	0.33	0.6	0.18	0.31	0.27	0.63	0.17	0.13	0.14	0.05	0.28	0.05	0.1	0.08
Ap3b1	0.0	30.93	0.0	14.31	11.27	23.85	0.0	0.0	0.0	0.0	0.19	0.08	0.0	53.49	20.13	0.0	13.62	0.0	0.1	38.5	0.08	0.04	4.7	0.0	31.92	0.0	1.25	1.83	0.0	0.0	0.0	39.25	1.55	0.9	10.16	0.0	0.0	11.57	10.35	11.65	4.67	15.26	29.74	9.37	10.55	11.42	0.0	1.37	14.77	0.0	0.0	0.0	0.0	0.0	0.0
B3gat3	5.34	9.74	15.78	0.0	3.09	54.72	0.0	0.0	0.0	11.69	23.49	10.72	0.0	10.34	0.33	24.43	0.0	13.28	110.4	0.0	1.68	4.9	0.35	20.5	120.09	0.0	1.09	8.29	0.0	0.0	13.58	68.92	10.48	50.07	7.51	0.0	0.0	12.98	11.48	22.87	14.96	25.21	7.55	20.36	23.55	17.5	0.21	18.33	0.0	2.0	2.93	0.0	0.0	0.0	29.57
BC049635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.48	255.54	0.0	0.0	0.0	0.15	0.0	2.36	0.0	0.0	0.11	9.12	0.0	42.13	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	1.32	1.59	2.48	17.09	3.34	3.09	1.51	3.63	0.0	0.0	0.0	0.0	12.37	7.8	0.0	1.68	0.0
Bace1	21.3	51.9	167.6	0.18	22.64	50.37	0.0	0.0	0.0	75.97	27.69	42.04	322.77	1.32	0.04	0.0	0.06	0.0	12.63	10.07	69.7	0.04	40.17	3.55	166.6	28.11	7.99	138.13	0.0	0.0	0.0	78.52	12.5	22.73	38.03	29.87	0.0	35.86	22.75	38.4	64.83	33.84	71.55	35.99	35.96	22.44	137.49	41.69	64.32	5.63	0.29	30.54	0.43	80.85	12.18
Camk4	30.53	18.6	32.96	43.05	27.38	15.4	0.44	0.34	0.0	1.05	2.62	44.67	2.77	42.33	56.24	3.8	8.64	41.98	16.64	50.53	34.8	45.27	6.09	41.55	108.89	1.09	31.1	59.6	0.45	0.16	12.09	92.23	56.5	12.48	0.8	1.23	2.38	44.47	60.11	49.0	47.89	55.57	73.83	35.12	56.48	47.26	64.71	16.52	5.19	9.73	24.92	30.44	37.11	23.72	7.3
