	Calb2_tdTpositive_cell_61	Ntsr1_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_46	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_14	Scnn1a.Tg2_tdTnegative_cell_15	Sst_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.3
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4933402P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0
9530053A07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.05
Adamts17	0.04	0.22	0.0	0.37	0.49	0.93	0.71	0.59	0.33	0.54	0.17	3.0	2.7	2.35
Adipoq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.25
Alox15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.13
Art4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.13
Asmt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Ccng2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.78	0.27	0.0	47.58	48.77	45.6
Cd163	0.0	0.0	0.0	0.71	0.22	0.0	0.0	0.38	0.1	0.45	0.0	1.87	1.67	1.55
Ceacam-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.0
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chrne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.19
Clec2l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.16	0.0	0.0	53.14	54.8	59.77
Col4a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16	0.29
D830046C22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.17
Dnase2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.13
Dock8	0.0	0.11	0.15	0.17	0.38	0.22	0.49	0.62	0.97	0.09	0.22	2.6	1.85	2.05
Dsg1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.32	0.43
Duox2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.03
Fam115e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.07
Fam46d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0
Ffar3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.25
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gata6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.13
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gjb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.05
Glyctk	0.0	0.0	0.0	0.0	0.0	0.28	0.01	0.21	0.46	0.16	0.05	3.95	4.7	4.28
Gm10635	0.18	0.0	0.0	1.27	0.91	0.32	0.0	1.08	0.99	0.52	0.42	2.45	1.99	1.65
Gm13718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.03
Gm15070	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.09
Gm1574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Gm2a	2191.58	1906.69	4897.44	1753.84	2106.84	2076.94	2642.9	3302.25	3183.32	2692.78	3090.43	30.7	32.21	32.08
Gm572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.07
