	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	6.75	9.52	5.31	0.66	2.26	0.32	2.36	26.62	5.1	49.44	4.73	15.13	3.6	61.73	2.13	0.75	4.6	0.97	5.07	7.08	3.74	22.97	12.78	5.51	4.19	4.03	5.27	1.07	11.48	15.79	11.15	2.03	3.87	12.08	9.09	16.78	18.26	23.92	8.08	4.82	15.19	14.63	53.89	6.64	11.25	13.41	14.19	19.02	17.56	16.4	17.92
3110045C21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	47.27	82.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4	55.46	0.0	41.54	0.0	0.0	0.0	0.0	0.0	0.0	9.22	11.57	6.0	1.26	1.0	1.46
4930524B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.3	0.14	0.31
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930529M08Rik	0.0	0.0	0.0	0.45	0.1	0.26	0.0	0.56	0.0	0.0	0.0	17.53	0.0	0.0	0.0	0.0	0.1	0.16	0.0	0.0	0.0	7.47	0.21	0.05	0.16	0.26	0.21	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.23	5.71	0.19	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.35	0.0	0.9	3.39	1.41	0.92	1.57
4931403E22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	1.23	1.02	1.11
4931408D14Rik	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	26.55	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.72	0.0	2.46	0.0	0.0	0.0	0.18	0.89	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.91	0.47	0.0	0.0	2.24	0.0	0.0	0.0	0.12	0.0	3.61	0.19	0.0	2.27	0.76	0.49	0.59
4933401P06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.32	1.17
6530411M01Rik	0.0	0.0	11.86	0.0	0.0	59.88	0.0	0.0	21.74	0.0	6.03	81.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.57	0.0	0.0	0.75	0.0	0.0	1.48	1.47	1.19
6720456H20Rik	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71	76.38	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	15.97	0.0	0.0	0.0	0.0	0.0	0.0	3.53	0.0	0.0	0.0	2.49	0.0	1.17	5.65	0.0	0.0	2.78	0.0	0.0	0.0	0.0	22.58	0.52	3.62	2.61	1.19	13.62	11.4	14.39
A730018C14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.11	0.35
Abcb1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	21.04	19.43	21.98
Acap3	0.0	1.28	0.0	2.99	0.0	0.0	0.0	0.0	0.0	1.89	1.2	24.52	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	7.05	0.49	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.54	3.75	0.0	18.79	0.0	0.0	0.0	0.0	0.0	0.0	5.59	7.41	2.45	8.79	87.43	91.26	87.93
Adam9	1.44	3.19	0.0	8.53	27.34	24.31	0.0	3.68	0.52	0.0	0.0	37.6	6.14	0.0	6.87	0.79	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5	0.0	0.59	2.87	0.0	0.83	0.0	0.0	0.8	15.15	5.72	46.13	0.0	4.02	24.43	0.0	0.0	0.0	0.98	7.68	5.72	5.29	3.72	40.11	39.96	42.21
