	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_23	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_103	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_52	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18
1700029F12Rik	0.0	0.0	0.0	3.61	1.48	2.49	3.15	3.12	0.86	1.91	3.53	0.0	0.0	0.0	3.64	0.76	2.28	0.45	3.33	3.31	1.19	3.82	0.42	1.01	1.45	1.13	0.97	0.8	4.51	5.46	0.0	1.23	7.18	0.92	0.38	4.07	2.35	0.61
2010300C02Rik	0.0	0.0	0.0	44.99	44.4	0.05	0.69	54.27	0.11	122.75	15.35	0.0	0.0	0.0	2.4	0.26	1.44	13.56	38.7	26.56	0.0	38.4	8.96	0.0	23.33	48.4	9.27	11.61	24.32	65.57	23.69	0.91	24.24	0.15	15.14	39.89	0.0	0.0
Adcy1	0.0	0.0	0.0	20.29	0.07	0.02	5.89	46.19	0.19	97.73	2.5	0.0	0.0	0.0	5.04	22.63	2.21	37.71	34.45	11.12	6.91	34.22	14.77	6.02	49.29	1.24	11.98	0.2	32.3	40.65	0.0	13.99	33.47	3.95	16.96	56.58	4.54	1.07
Basp1	0.0	0.0	0.0	79.09	81.12	102.8	39.62	78.09	10.08	52.79	54.62	0.0	0.0	0.0	57.25	82.23	95.49	32.01	96.78	36.45	65.11	104.1	85.11	98.54	125.32	68.6	79.73	56.04	0.83	69.86	59.03	69.12	67.65	100.9	23.49	23.09	156.16	56.97
Bloc1s2	0.0	0.0	0.0	130.55	84.16	86.75	153.03	283.59	16.03	116.29	72.67	0.0	0.0	0.0	43.19	220.64	0.97	105.32	220.09	133.6	109.02	0.0	10.16	0.0	10.33	213.71	176.25	217.07	67.91	108.58	0.0	115.38	40.77	35.48	0.47	209.08	65.0	62.16
Ccl27b	0.0	0.0	0.0	88.08	2.22	7.78	72.87	196.94	0.0	151.88	0.86	0.0	0.39	0.0	2.24	98.78	98.8	157.47	217.8	296.35	120.48	239.42	156.44	4.13	71.38	106.16	180.86	123.99	271.66	370.84	1.37	136.85	76.23	106.88	0.36	29.79	23.72	74.04
Cdk14	0.0	0.0	0.66	18.19	16.47	21.43	81.95	131.95	0.38	0.23	123.96	0.0	22.64	0.0	43.58	47.53	70.02	16.08	36.89	36.51	55.08	113.73	9.6	5.57	6.86	72.62	56.97	29.66	69.78	39.43	2.11	19.32	120.25	86.29	9.03	113.51	12.63	12.5
Cnksr2	0.0	0.0	0.0	27.16	47.56	7.63	28.65	306.48	30.94	63.25	56.98	0.0	0.0	0.11	89.53	25.41	21.47	42.31	104.84	111.5	22.92	84.71	4.93	0.2	9.28	130.62	97.14	47.18	5.92	59.08	20.44	84.28	103.84	29.96	12.45	33.26	19.44	2.07
Csmd1	0.0	0.0	0.0	18.83	0.01	0.03	13.21	27.14	0.88	10.23	10.82	0.0	0.0	0.0	3.45	4.46	17.77	28.92	33.25	20.53	0.29	2.72	2.08	0.0	26.63	8.35	17.61	10.5	6.47	0.02	0.61	9.18	7.34	34.49	3.94	0.07	0.83	0.09
Dgkz	0.0	0.0	0.0	71.35	25.42	1.88	0.11	234.4	0.14	58.01	80.15	0.0	0.0	0.15	4.34	38.15	43.28	107.25	44.79	57.8	70.44	214.26	29.9	0.67	0.63	101.27	32.13	10.27	38.76	78.47	0.1	55.03	43.8	25.5	28.03	0.55	0.0	0.0
